Issue key,Issue id,Created,Resolved,Issue Type,Status,Priority,Due Date,Updated,Resolution,Custom field (Story Points),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint
IBSET-877,3076620,13.01.2026 08:53,,Bug,Ready for Release,Major,,13.02.2026 09:37,,,IBSET PI5:2025 IP Iteration,,,,,,
IBSET-876,3075281,12.01.2026 12:20,,Task,Ready for Release,Major,,25.02.2026 10:23,,,IBSET PI5:2025 Iteration 3&4,IBSET PI5:2025 IP Iteration,IBSET PI1:2026 Iteration1,IBSET PI1:2026 Iteration2,,,
IBSET-870,3069341,06.01.2026 10:31,,Task,Ready for Release,Major,,13.02.2026 09:37,,3.0,IBSET PI5:2025 Iteration 3&4,IBSET PI5:2025 IP Iteration,,,,,
IBSET-869,3068649,05.01.2026 12:41,,Bug,Ready for Release,Major,,12.02.2026 00:49,,,IBSET PI5:2025 Iteration 3&4,,,,,,
IBSET-860,3059135,16.12.2025 10:53,,Bug,Ready for Release,Major,,12.02.2026 00:49,,,IBSET PI5:2025 Iteration 3&4,,,,,,
IBSET-857,3057857,15.12.2025 13:11,,Bug,Ready for Release,Major,,15.01.2026 00:34,,,IBSET PI5:2025 Iteration 2,IBSET PI5:2025 Iteration 3&4,,,,,
IBSET-835,3022015,17.11.2025 16:41,,Task,Backlog,Major,,21.01.2026 13:32,,3.0,,,,,,,
IBSET-830,3011180,12.11.2025 13:04,,Story,In Progress,Major,,25.02.2026 10:32,,,IBSET PI5:2025 Iteration 1,IBSET PI5:2025 Iteration 2,IBSET PI5:2025 Iteration 3&4,IBSET PI5:2025 IP Iteration,IBSET PI1:2026 Iteration1,IBSET PI1:2026 Iteration2,IBSET PI1:2026 Iteration3
IBSET-829,3011376,12.11.2025 13:04,,Task,Backlog,Major,,20.01.2026 22:14,,1.0,IBSET PI1:2026 IP Iteration,,,,,,
IBSET-827,3010591,12.11.2025 11:47,,Task,Backlog,Major,,27.01.2026 10:41,,8.0,IBSET PI5:2025 Iteration 3&4,IBSET PI5:2025 IP Iteration,IBSET PI1:2026 IP Iteration,,,,
IBSET-823,3010544,12.11.2025 11:11,,Task,To Do,Trivial,,12.02.2026 08:31,,0.5,IBSET PI5:2025 Iteration 1,IBSET PI5:2025 Iteration 2,,,,,
IBSET-822,3010696,12.11.2025 11:10,,Task,Ready for Release,Major,,17.12.2025 13:09,,5.0,IBSET PI5:2025 Iteration 2,IBSET PI5:2025 Iteration 3&4,,,,,
IBSET-821,3010661,12.11.2025 11:00,,Task,Backlog,Major,,20.01.2026 22:43,,1.0,IBSET PI1:2026 Iteration3,,,,,,
IBSET-818,3009614,12.11.2025 09:15,,Task,In Progress,Major,,25.02.2026 10:32,,1.0,IBSET PI1:2026 Iteration2,IBSET PI1:2026 Iteration3,,,,,
IBSET-817,3009381,12.11.2025 08:29,,Task,On Hold,Major,,25.02.2026 10:32,,1.0,IBSET PI5:2025 Iteration 3&4,IBSET PI5:2025 IP Iteration,IBSET PI1:2026 Iteration1,IBSET PI1:2026 Iteration2,IBSET PI1:2026 Iteration3,,
IBSET-816,3008682,11.11.2025 16:21,,Task,Ready for Release,Major,,12.01.2026 11:46,,3.0,IBSET PI5:2025 Iteration 3&4,,,,,,
