Type,Key,Resolution Date,Backlog,To Do,On Hold,In Progress,Code review,Ready for Release,Acceptance test,Test,Done,Canceled
,IBSET-731,,28d 0h 25m,,,1d 1h 31m,11d 18h 4m,104d 3h 24m,,0d 0h 7m,38d 5h 10m,
,IBSET-730,,69d 2h 32m,,,18d 12h 41m,5d 17h 43m,48d 2h 43m,3d 11h 52m,,38d 5h 10m,
,IBSET-729,,83d 22h 34m,,,5d 6h 22m,7d 15h 52m,48d 2h 46m,0d 0h 0m,,38d 5h 8m,
,IBSET-726,,130d 21h 49m,,,4d 4h 43m,0d 0h 4m,0d 0h 0m,,,48d 2h 10m,
,IBSET-722,,112d 19h 11m,,,43d 7h 7m,,0d 0h 0m,3d 17h 40m,,23d 8h 49m,
,IBSET-721,,154d 3h 40m,,,5d 18h 25m,,,,,23d 6h 43m,
,IBSET-669,,21d 2h 58m,,174d 7h 16m,6d 15h 55m,,,,,,37d 4h 37m
,IBSET-655,,224d 11h 22m,,,,,,,,,37d 19h 46m
,IBSET-654,,224d 11h 23m,,,,,,,,,37d 19h 46m
,IBSET-649,,50d 22h 54m,,162d 0h 16m,12d 3h 51m,,,,,,37d 4h 37m
,IBSET-605,,98d 5h 1m,,147d 2h 25m,14d 20h 51m,,,,,,37d 4h 37m
,IBSET-586,,279d 1h 36m,,,,,,,,,37d 4h 38m
,IBSET-539,,13d 20h 16m,,285d 3h 28m,3d 0h 16m,,,,,,37d 4h 34m
,IBSET-303,,428d 1h 16m,,,,,,,,,37d 4h 36m
,IBSET-302,,428d 1h 31m,,,,,,,,,37d 4h 34m
,IBSET-301,,428d 1h 32m,,,,,,,,,37d 4h 36m
,IBSET-216,,185d 22h 30m,0d 0h 0m,287d 2h 40m,0d 0h 0m,,,,,,37d 4h 37m
,IBSET-214,,185d 22h 33m,0d 0h 0m,287d 2h 40m,0d 0h 0m,,,,,,37d 4h 37m
