Type,Key,Summary,Resolution Date,Open,To Do,On Hold,Development,Ready for Testing,Testing,Refinement,Code review,Analysis,Done
,,Average time taken (from table),,28d 18h 15m,12d 10h 46m,29d 6h 39m,17d 11h 11m,14d 20h 35m,6d 18h 48m,33d 7h 19m,2d 4h 26m,4d 20h 54m,24d 4h 10m
,CORE-10594,TIDY Index crebit.customer_limit_log,2/24/26,0d 0h 4m,,,0d 2h 10m,0d 20h 19m,0d 0h 4m,,,,3d 4h 5m
,CORE-10590,LT: for arrest reservation end date should be set,2/23/26,0d 16h 13m,,,0d 0h 36m,2d 21h 31m,0d 0h 4m,,,,4d 6h 1m
,CORE-10538,TIDY Add and use accounts attributes table in LDM,2/24/26,0d 0h 0m,0d 0h 54m,,8d 2h 43m,5d 18h 40m,,3d 18h 42m,,,3d 4h 10m
,CORE-10531,GATE environment generated files must be written into the GATE filebarn,2/5/26,0d 0h 42m,,,,,0d 0h 1m,,,,22d 1h 27m
,CORE-10529,Update iBank GATE to use GATE APIs,2/4/26,0d 0h 0m,0d 0h 13m,,,,,,,,22d 21h 55m
,CORE-10528,Update STAR GATE to use GATE APIs,2/5/26,0d 0h 0m,0d 0h 6m,,,,,,0d 21h 13m,,22d 0h 49m
,CORE-10520,API tests: Extend API tests and classes with vaults properties,2/12/26,0d 0h 0m,,,10d 1h 7m,,0d 0h 1m,,,,14d 23h 1m
,CORE-10499,Onboard core-position-keeping-account-balance-api GATE to skyvault as an andromeda application/1,2/10/26,2d 6h 58m,,,5d 23h 39m,5d 20h 49m,,,,,17d 0h 16m
,CORE-10479,Whitelisting Account api GATE,1/22/26,0d 0h 13m,0d 17h 26m,,,,,,0d 0h 37m,,36d 2h 17m
,CORE-10472,Retention rule for crebit.eszr_ctpy_request_type is missing,2/2/26,6d 22h 20m,,,0d 2h 22m,1d 23h 49m,2d 20h 30m,,,,25d 4h 16m
,CORE-10416,TIDY Merge collection and deletion in one batch for local disposal,1/29/26,0d 0h 1m,,,8d 4h 52m,1d 21h 57m,,2d 17h 49m,,,29d 1h 27m
,CORE-10412,Account Ownership API: Additionally providing client's first name swapped with last name,2/26/26,18d 20h 40m,,,1d 2h 49m,6d 21h 28m,14d 0h 43m,,0d 2h 45m,,0d 23h 38m
,CORE-10411,TIDY Reduce execution cycles needed to delete engagement data,1/29/26,0d 0h 0m,3d 20h 2m,,4d 5h 30m,1d 19h 45m,,3d 4h 10m,,,29d 1h 28m
,CORE-10409,"core-transaction-api response attribute ""exchangeRateActual"" value must be rounded to 6 decimal places",1/23/26,0d 0h 4m,,,6d 22h 3m,0d 21h 15m,0d 2h 37m,,,,35d 0h 46m
,CORE-10399,Filebarn API certificate will expire (bca_reports_PB ),2/2/26,0d 0h 18m,5d 3h 45m,,0d 19h 51m,12d 2h 7m,0d 0h 0m,,,,25d 1h 13m
,CORE-10398,Migrate kSQL resources to w663 cluster,2/10/26,10d 21h 7m,,14d 6h 3m,1d 1h 33m,,,,,,16d 22h 41m
,CORE-10397,Filebarn API certificate will expire,2/12/26,1d 0h 15m,3d 9h 43m,,0d 14h 49m,,22d 22h 49m,,,,15d 3h 52m
,CORE-10395,Notification center message generation using RestAPI service,2/5/26,0d 0h 0m,,,7d 13h 13m,4d 2h 13m,1d 23h 45m,,,7d 11h 10m,22d 2h 4m
,CORE-10392,Account Ownership API: Additionally providing names after normalization,2/26/26,20d 18h 40m,,,2d 15h 19m,0d 17h 26m,14d 8h 22m,,4d 9h 43m,,0d 23h 38m
,CORE-10390,TIDY Implement double identification for disposal candidate records,1/19/26,0d 0h 0m,0d 0h 51m,,2d 21h 34m,2d 3h 31m,,0d 0h 0m,,,38d 21h 49m
,CORE-10387,"TIDY Add account types CE, CG, and CL to LDM setup",1/29/26,0d 0h 1m,,,,0d 23h 33m,0d 0h 54m,14d 23h 3m,,,28d 22h 55m
,CORE-10386,LV: Custom booking for Easy Saver,1/23/26,2d 6h 28m,5d 13h 24m,,,0d 23h 25m,0d 0h 58m,,1d 0h 49m,,35d 2h 21m
,CORE-10385,"Onboard Azure NS to Andromeda Portal (DEV, TEST, GATE)",2/27/26,0d 0h 0m,,44d 20h 5m,,,,,,,0d 5h 50m
,CORE-10383,Ibank get interest rate from Deposits API in deposits product page,2/3/26,0d 0h 0m,,,7d 0h 56m,0d 3h 13m,10d 22h 13m,,3d 0h 49m,,24d 2h 31m
,CORE-10376,TIDY New batch to check shadow tables structure,2/19/26,0d 0h 0m,15d 18h 31m,,5d 13h 45m,8d 11h 54m,1d 2h 30m,10d 4h 22m,,,8d 0h 3m
,CORE-10369,TIDY Create shadow tables for data backup,2/20/26,0d 0h 1m,9d 17h 49m,,11d 8h 19m,7d 15h 43m,3d 8h 0m,10d 22h 45m,,,6d 20h 52m
,CORE-10358,TIDY Update disposal summary record when global disposal is canceled,1/30/26,0d 0h 1m,,,,0d 23h 11m,0d 22h 4m,22d 22h 21m,,,28d 0h 47m
,CORE-10341,Onboard worker-ldm-task-exec GATE to skyvault as an andromeda application,2/26/26,13d 20h 25m,1d 3h 15m,,16d 22h 58m,20d 3h 11m,,,,,0d 20h 7m
,CORE-10301,Onboard worker-statementsdb-sync GATE to skyvault as an andromeda application/1,2/10/26,13d 20h 28m,2d 23h 34m,,11d 22h 3m,6d 22h 56m,,,,,17d 5h 1m
,CORE-10285,Onboard core-deposit-guarantee-fund-api GATE to skyvault as an andromeda application,2/4/26,9d 19h 58m,,,19d 3h 34m,1d 1h 7m,0d 0h 13m,,,,22d 21h 37m
,CORE-10269,Onboard core-vop-request-processor-api GATE to skyvault as an andromeda application,2/12/26,16d 20h 40m,,,11d 23h 4m,9d 4h 37m,,,,,14d 22h 10m
,CORE-10261,Onboard core-vop-match-engine-api GATE to skyvault as an andromeda application,2/12/26,16d 2h 13m,,,12d 17h 31m,9d 4h 37m,,,,,14d 22h 10m
,CORE-10253,Onboard core-vop-acc-ownership-api GATE to skyvault as an andromeda application,2/10/26,15d 19h 6m,,,13d 1h 0m,7d 2h 56m,0d 0h 1m,,,,16d 23h 30m
,CORE-10245,Onboard core-deposits-api GATE to skyvault as an andromeda application,1/29/26,8d 2h 31m,,,12d 23h 4m,2d 22h 22m,0d 0h 0m,,,,28d 22h 37m
,CORE-10221,Onboard baltic-stmt-trx-core-api GATE to skyvault as an andromeda application,1/30/26,10d 0h 1m,,,12d 0h 49m,2d 17h 34m,,,,,28d 4h 22m
,CORE-10213,Onboard baltic-stmt-res-core-api GATE to skyvault as an andromeda application,2/6/26,10d 2h 10m,,,17d 19h 33m,2d 0h 16m,2d 4h 57m,,,,20d 22h 10m
,CORE-10205,Onboard pricing-api GATE to skyvault as an andromeda application,1/29/26,9d 22h 40m,,,12d 7h 4m,1d 21h 7m,0d 0h 1m,,,,28d 22h 17m
,CORE-10197,Onboard core-cash-handling-api-baltic GATE to skyvault as an andromeda application,1/29/26,9d 23h 37m,,,12d 1h 25m,1d 21h 6m,,,,,29d 3h 4m
,CORE-10189,Onboard core-position-keeping-res-api GATE to skyvault as an andromeda application/1,2/4/26,0d 0h 9m,7d 20h 28m,,21d 7h 11m,0d 23h 49m,0d 0h 16m,,,,22d 21h 27m
,CORE-10181,Onboard core-position-keeping-trx-api GATE to skyvault as an andromeda application/1,2/10/26,0d 0h 12m,11d 0h 18m,,17d 22h 0m,1d 0h 22m,6d 2h 13m,,,,17d 0h 21m
