Type,Key,Summary,Resolution Date,Open,Ready for Refinement,On Hold,Reopened,Investigation,Backlog,On-hold,Funnel,In Development,Ready for test,In Testing,Refined,Selected for Development,In Progress,Waiting for acceptance,Under Investigation,Done,Abandoned
,SMARTPAY-763,Domestic (iBank and STAR) regression testing on Skyvault in LV [27.10-29.10],10/30/25,158.67h,,,,,,,,0.00h,0.00h,25.95h,,,,,,4342.90h,
Production bug,SMARTPAY-762,"iBank: Instant payment warning message is not showed when exceeded instant, daily and monthly payment limits",11/10/25,116.93h,,337.15h,,,,,,,,,,,,,,,4078.78h
,SMARTPAY-940,6. BH-data-manager: create API end point to update payment data,,0.52h,4532.37h,,,,,,,,,,,,,,,,
,SMARTPAY-941,7. BH-worker: process signed batches - send payments to FLM,,1968.47h,2564.48h,,,,,,,,,,,,,,,,
,SMARTPAY-761,Update API end point name and description,11/5/25,0.00h,22.87h,,,,,,,93.32h,218.97h,0.03h,,,,,,4197.83h,
,SMARTPAY-815,Order dedicated remote server for manual connection to PROD SQL Servers,3/24/26,1489.47h,,,,2211.63h,,,,,,,,,,,,860.73h,
,SMARTPAY-819,Open firewalls to Databases from terminal servers,,1489.48h,,,,3072.38h,,,,,,,,,,,,,
,SMARTPAY-822,Order and configure MSSQL DB for production,1/15/26,1489.57h,,,,580.95h,,,,0.00h,,,,,,,,2491.37h,
,SMARTPAY-760,[payment-services] add for loging requestt ID and in general fix about accounts,10/15/25,0.00h,,,,,,,,18.62h,3.65h,0.12h,,,,,,4700.75h,
Production bug,SMARTPAY-759,[ibank] vop audit data not cleared in session,10/15/25,0.00h,,,,,,,,2.90h,22.47h,0.47h,,,,,,4700.40h,
,SMARTPAY-758,iBank: Refactor Import of Payment(second iteration - execution part),11/13/25,147.25h,21.25h,,136.40h,,,,,264.77h,97.37h,52.75h,,,,,,4008.92h,
,SMARTPAY-782,"iBank - Permanent solution: Implement VoP response ""Close match"" presentment in SMART payment form to handle cases when received Beneficiary's name is longer than 70 symbols",12/12/25,0.33h,241.10h,,,743.20h,,,,221.22h,117.10h,100.28h,94.87h,,,,,3305.92h,
,SMARTPAY-757,iBank: Refactor Import of Payment(first iteration - validation part),10/14/25,0.38h,4.53h,,,,,,,69.18h,3.60h,18.90h,0.00h,,,,,4727.73h,
,SMARTPAY-756,[payment-services] can't save payment,10/14/25,0.00h,,,,,,,,0.52h,71.87h,28.28h,,,,,,4726.22h,
,SMARTPAY-936,5. BH-worker: Create Kafka topic for publishing payment id to FLM,,357.53h,4488.57h,,,,,,,,,,,,,,,,
Production bug,SMARTPAY-755,payment-services-errors are alerting wrongly,10/10/25,0.03h,2.48h,,,,,,,6.53h,19.08h,26.22h,,,,,,4821.37h,
Production bug,SMARTPAY-754,iBank - national chars issue with VOP close match name correction in cross-border payments,10/8/25,0.00h,16.15h,,,0.15h,,,,8.65h,19.18h,1.30h,0.00h,,,,,4868.95h,
,SMARTPAY-939,4. BH-data-manager: create API end point to find payment by dp.id,,2351.37h,2564.50h,,,,,,,,,,,,,,,,
,SMARTPAY-751,iBank: Private and Business PB: SmartForm: Changing recipient name twice to incorrect name allows to proceed with payment without any pop-up VOP warning messages,10/15/25,23.02h,32.88h,,,,,,,20.72h,93.90h,49.40h,,,,,,4701.63h,
,SMARTPAY-750,iBank: Private and Business PB: Re-factor display of payment types when user navigating from the List Of Payment to The Smart Form,10/17/25,0.03h,67.10h,,25.03h,,,,,55.48h,66.77h,117.15h,,,,,,4656.70h,
Production bug,SMARTPAY-753,iBank: Warning message is lost on editing amount,10/30/25,0.27h,428.82h,25.38h,,,,,,221.20h,,,,,,,,,4339.58h
Production bug,SMARTPAY-752,"iBank: Instant payment warning message is not showed when exceeded instant, daily and monthly payment limits",10/24/25,0.02h,170.47h,,,,,,,264.60h,0.13h,100.63h,,,,,,4479.47h,
,SMARTPAY-749,[payment-services] new parametr for controlling payment type for Vop checking,10/10/25,0.00h,,,,,,,,167.68h,2.50h,25.23h,,,,,,4822.35h,
,SMARTPAY-748,[iBank] No usageId for FiDAViSta and ASCII format imported single payments,10/10/25,237.27h,,,,,,,,,,,,,,,,,4821.67h
,SMARTPAY-747,[ibank] archived payments can't open,10/1/25,0.00h,,,,,,,,25.68h,0.03h,2.75h,,,,,,5035.00h,
,SMARTPAY-746,[LT] Mandatory VoP tests,9/30/25,4.90h,,,,,,,,18.13h,0.00h,1.78h,,,,,,5058.52h,
,SMARTPAY-745,[EE] Mandatory VoP tests,9/30/25,4.90h,,,,,,,,18.13h,0.00h,1.78h,,,,,,5058.52h,
,SMARTPAY-744,[LV] Mandatory VoP tests,9/30/25,4.90h,,,,,,,,18.13h,0.00h,1.78h,,,,,,5058.52h,
,SMARTPAY-742,[payment-services] add rest template requests log file,10/1/25,0.00h,,,,,,,,1.90h,141.02h,3.65h,,,,,,5035.23h,
,SMARTPAY-739,[payment-services] fix compiling problem because of changed by another task,10/1/25,0.00h,,,,,,,,17.25h,146.97h,,,,,,,5034.93h,
,SMARTPAY-738,[iBank] Updated payment in list of payments done without limit usage,9/25/25,23.43h,,,,,,,,16.48h,1.08h,5.75h,,,,,,5179.88h,
,SMARTPAY-737,[VoP] Making urgent payments cause VoP requests to be executed,9/26/25,18.85h,,,,,,,,0.67h,47.33h,23.50h,,,,,,5160.15h,
,SMARTPAY-736,[ibank] vop not need to init in ibank on disabled fields,9/29/25,0.00h,,,,,,,,0.90h,94.55h,72.92h,,,,,,5083.42h,
,SMARTPAY-733,"Limit exceeded exception when adding first accept or making payment between own accounts, business users",10/21/25,1.60h,5.95h,671.72h,,,,,,87.12h,,,,,,,,,4560.53h
,SMARTPAY-731,Payments opened and executed from list of payments are done without limit usage,9/23/25,2.93h,0.50h,,,,,,,23.45h,6.23h,89.97h,,,,,,5227.65h,
,SMARTPAY-729,[vop] DuplicateKeyException: a different object with the same identifier value was already associated,9/19/25,0.00h,,,,,,,,71.90h,3.32h,18.33h,,,,,,5328.78h,
,SMARTPAY-728,[Vop] add more params to vop requst for controling payment type,9/19/25,0.00h,,,,,,,,31.80h,47.58h,16.57h,,,,,,5330.53h,
,SMARTPAY-727,[iBANK] Tech Error when changing amount in an already saved payment,9/18/25,1.87h,0.00h,,,,,,,3.10h,138.78h,6.20h,0.00h,,,,,5347.18h,
,SMARTPAY-726,"[vop] modify current solution for vop, for mobile team needs",9/18/25,0.00h,,,,,,,,2.60h,165.28h,0.00h,,,,,,5354.22h,
,SMARTPAY-725,Store limitUsageId this parameter into DP table,9/10/25,0.00h,,,,,,,,,,,,,,,,,5536.35h
,SMARTPAY-724,Store new parameter limitUsageId into PAYMENT_REFERENCE table,9/30/25,15.03h,,,0.00h,,,,,335.30h,7.35h,119.52h,,,,,,5059.18h,
,SMARTPAY-723,Configure SSO for authentification,3/26/26,4725.92h,,,,,,,,,,,,,,,,,817.22h
,SMARTPAY-722,Create AD groups,3/26/26,4725.92h,,,,,,,,,,,,,,,,,817.22h
,SMARTPAY-721,Order certificates for exp-payment-batch-handler-recovery,1/28/26,3165.77h,,,,,,,,199.47h,,,,,,,,2177.90h,
,SMARTPAY-720,Create Andromeda application on Batch Handler namespace,1/29/26,3071.18h,,,,,,,,312.50h,,,,,,,,2159.47h,
,SMARTPAY-719,After VoP check SIGN button become enabled,9/16/25,0.17h,,,,,,,,9.35h,136.05h,0.95h,,,,,,5399.58h,
,SMARTPAY-718,Outgoing and Incoming VoP request/response tests,9/12/25,72.60h,,,,,,,,0.03h,,,,,,,,5491.30h,
,SMARTPAY-708,Remove VoP message from Successful Page,9/12/25,1.67h,,,,,,,,0.27h,168.52h,1.93h,,,,,,5491.77h,
,SMARTPAY-707,[iBank] Double accept check done for private users in smart form,9/19/25,0.00h,,,,,,,,97.18h,70.37h,165.60h,,,,,,5331.13h,
,SMARTPAY-706,Labels for Payment Limit Service UC's,9/19/25,2.27h,0.58h,,,,,,,17.37h,337.38h,9.18h,,,,,,5317.72h,
,SMARTPAY-705,[TEST][UI iBank Private and Business PB]: Implement VoP check initiation and response presentment in SMART payment form in 'Domestic/ European' payment tab,9/30/25,0.10h,,,1.52h,,,,,75.70h,64.30h,485.68h,,,,,,5060.33h,
,SMARTPAY-704,[TEST][iBank Private and Business PB]: Introduce VoP Request Control: Attempt Cap and Rapid Call Handling in SMART payment form,9/16/25,0.22h,,,,,,,,0.00h,0.00h,286.97h,,,,,,5400.58h,
,SMARTPAY-703,Latency test_homebank,10/17/25,1075.22h,0.00h,,,,,,,,0.00h,0.02h,0.00h,,,,,4655.90h,
,SMARTPAY-701,Latency test_International Payments Baltic,10/17/25,1076.68h,0.00h,,,,,,,,0.05h,0.68h,0.00h,,,,,4653.78h,
,SMARTPAY-691,EPE latency performance test results analyses 4th of Sept 2025,9/9/25,168.40h,,,,,,,,,,,,,,,,5565.43h,
,SMARTPAY-690,[payment-services] cen't init certs in prod for payment services deploy in prod,9/3/25,0.00h,,,,,,,,19.03h,29.50h,0.00h,,,,,,5708.90h,
,SMARTPAY-689,S3.6 - [iBank Private and Business PB]: Add labels for cases when VoP request counter has reached or exceeded 100 in the client session or client session has been flagged due to sending multiple VoP requests within one second,9/18/25,0.18h,142.20h,,,0.00h,,,,53.52h,258.88h,76.88h,,,,,,5347.12h,
,SMARTPAY-687,S.3.5 - [iBank Private and Business PB]: Do not initiate VoP check again in case beneficiary's data is not changed in SMART payment form in 'Domestic/ European' payment tab,9/16/25,0.30h,75.52h,,,16.40h,,,,92.67h,320.52h,18.13h,,,,,,5399.78h,
,SMARTPAY-686,Payment Limit service - Add isSecondAccept flag when creating limit usage requests,8/25/25,0.02h,,,,,,,,1.02h,,,,,,,,,5928.12h
,SMARTPAY-714,Setup standalone Liquibase for Archive DB for change deployments,3/12/26,432.85h,0.00h,,,,,,,674.67h,405.08h,76.52h,3261.78h,,,,,1148.28h,
,SMARTPAY-685,"[DB] Storage of ""usageId"" in DB table PAYMENTS.PAYMENT_REFERENCE (1st) Missing grants",8/21/25,0.02h,,,,,,,,0.33h,45.42h,0.03h,,,,,,6026.02h,
,SMARTPAY-684,S3.5 - [payment - services - VoP] Vop DATA save to payment.DP_VOP table,9/15/25,352.25h,,,,,,,,71.48h,169.12h,72.83h,,,,,,5424.17h,
,SMARTPAY-682,All SEPA domestic urgent payments get stuck in EPE,8/18/25,89.70h,,,,,,,,1.97h,0.00h,0.02h,,,,,,6094.87h,
,SMARTPAY-711,Implement fraud screening initiation recovery process,3/26/26,648.20h,0.00h,,,,,,,194.93h,23.48h,670.55h,3859.75h,,,,,817.40h,
,SMARTPAY-709,Implement status report initiation recovery process,,648.33h,3838.00h,,,,,,,197.33h,665.38h,865.40h,0.00h,,,,,,
,SMARTPAY-681,S3.5 - [payment-services VoP] create monitoring and charts to see vop requests,9/30/25,551.50h,,,,,,,,381.78h,22.38h,122.77h,76.72h,,,,,5060.92h,
,SMARTPAY-680,[payment-form-service - vop] update web page where will be emulated swagger for vop check,10/30/25,550.15h,,,,,,,,961.57h,74.07h,143.90h,143.68h,,,,,4342.90h,
,SMARTPAY-679,S3.5 - [payment - services - VoP] Save VoP check audit data in DP_VOP table,9/4/25,2.47h,,337.40h,,,,,,125.47h,64.47h,,,,,,,5687.85h,
,SMARTPAY-715,Create API to calculate whether sub-sequent status report should be initiated,10/31/25,674.45h,0.00h,,,,,,,0.00h,626.37h,73.22h,551.70h,,,,,4315.12h,
,SMARTPAY-717,"Create API to get payment counts by signing batch sid, grouped by fraud screening status",10/3/25,552.32h,562.90h,,,,,,,37.07h,74.30h,20.03h,,,,,,4994.35h,
,SMARTPAY-678,[payment-services] create mechanism to response audit data for saving in DP_VOP table,9/4/25,0.00h,,337.40h,,,,,,22.78h,195.00h,,,,,,,5687.87h,
,SMARTPAY-712,Create API to get all fraud screening requests created for the batch,10/3/25,1195.58h,,,,,,,,6.55h,65.45h,2.27h,,,,,,4991.83h,
,SMARTPAY-710,Configure monitoring parameters and alerts,,698.40h,,,,4080.85h,,,,284.32h,1201.62h,,,,,,,,
,SMARTPAY-713,Create UI interface for batch handler recovery application,,765.58h,0.00h,,,,,,,788.82h,385.05h,,4392.97h,,,,,,
,SMARTPAY-716,[Experience] Configure separate experience application for batch handler recovery process initiation,1/29/26,765.57h,0.00h,,,,,,,,0.00h,,3362.70h,,,,,2156.23h,
,SMARTPAY-676,UC14: Instant transactional limit exceeded,9/5/25,553.28h,,,,,,,,0.00h,172.65h,0.05h,,,,,,5658.40h,
,SMARTPAY-675,UC13: Instant daily limit exceeded,9/5/25,553.38h,,,,,,,,0.00h,172.37h,0.25h,,,,,,5658.47h,
,SMARTPAY-674,UC12: Instant payments not allowed,9/5/25,553.38h,,,,,,,,0.00h,172.72h,0.05h,,,,,,5658.33h,
,SMARTPAY-673,UC11: Double accept limit exceeded,9/19/25,553.40h,,,,,,,,0.00h,477.40h,27.83h,,,,,,5325.87h,
,SMARTPAY-672,UC10: Account monthly limit exceeded,9/8/25,553.40h,,,,,,,,0.00h,152.48h,91.83h,,,,,,5586.80h,
,SMARTPAY-671,UC9: Account daily limit exceeded,9/8/25,553.42h,,,,,,,,0.00h,152.48h,91.17h,,,,,,5587.45h,
,SMARTPAY-670,UC8: Agreement monthly limit exceeded,9/8/25,553.42h,,,,,,,,0.00h,152.48h,90.88h,,,,,,5587.73h,
,SMARTPAY-669,UC7: Agreement daily limit exceeded,9/8/25,553.43h,,,,,,,,0.00h,152.48h,90.83h,,,,,,5587.80h,
,SMARTPAY-668,UC6: Locking error,9/19/25,553.45h,,,,,,,,0.00h,364.03h,148.60h,,,,,,5318.48h,
,SMARTPAY-667,UC5: Invalid authentication method,9/19/25,553.45h,,,,,,,,0.00h,364.03h,148.65h,,,,,,5318.43h,
,SMARTPAY-666,UC4: incorrect workflowID,9/19/25,553.48h,,,,,,,,0.00h,442.48h,70.32h,,,,,,5318.32h,
,SMARTPAY-665,UC3: Nonexistent limit,9/15/25,553.90h,,,,,,,,0.00h,342.35h,70.42h,,,,,,5418.37h,
,SMARTPAY-664,UC2: Invalid input,9/19/25,554.00h,,,,,,,,0.00h,442.48h,70.32h,,,,,,5318.32h,
,SMARTPAY-663,UC1: Customer has enough limit,9/8/25,0.50h,0.00h,,,,,,,,140.62h,104.62h,553.58h,,,,,5585.90h,
,SMARTPAY-662,"Storage of ""usageId"" in DB table PAYMENTS.PAYMENT_REFERENCE (1st)",9/2/25,0.07h,291.30h,,41.63h,,,,,30.20h,133.63h,158.07h,,,,,,5730.55h,
,SMARTPAY-661,S3.5 - Payment Limit Service Usage of sysglobal PMNT_LIMIT_SERVICE_START (5th),8/25/25,0.02h,0.00h,,,,,,,274.97h,65.60h,114.82h,0.75h,,,,,5929.73h,
,SMARTPAY-660,S3.5 - Payment Limit Service Create sysglobal PMNT_LIMIT_SERVICE_START (4th),8/8/25,0.03h,0.17h,,,,,,,1.38h,51.47h,0.02h,0.00h,,,,,6333.37h,
,SMARTPAY-659,[vop] create sysglobal for VOP enabling,8/8/25,0.00h,,,,,,,,1.67h,51.75h,0.38h,,,,,,6333.07h,
,SMARTPAY-658,Grants on payments.dp_vop_arch,8/6/25,0.00h,,,,,,,,2.28h,24.52h,0.72h,,,,,,6384.72h,
,SMARTPAY-657,Set skip_on_error for PAYMENTS.DP_VOP_ARCH table archiving,8/5/25,0.00h,,,,,,,,0.52h,18.87h,0.78h,,,,,,6409.43h,
,SMARTPAY-656,"S3.5 - Payment Limit Service functionality ""Validation of Limit"" (2nd)",9/4/25,0.25h,60.73h,,0.00h,,,,,343.73h,219.20h,21.42h,123.40h,,,,,5678.75h,
,SMARTPAY-821,Add new ISO status reason codes for table crebit.dp_error_status_reason and for Batch handler database,1/8/26,2450.88h,1361.07h,,,,,,,32.28h,0.03h,23.57h,,,,,,2658.95h,
,SMARTPAY-655,Change first debiting date of SOA in Estonia,8/1/25,17.85h,,,,,,,,0.20h,7.08h,19.48h,,,,,,6502.58h,
Production bug,SMARTPAY-653,RT1Uploader: there is not possible to process RSF file:,7/22/25,0.15h,,,,1.83h,,,,19.25h,3.35h,0.00h,,,,,,6739.60h,
Production bug,SMARTPAY-652,[aq-mq-mediatorpb_vm] small fix of keystore name,7/24/25,0.00h,,,,,,,,0.03h,52.77h,19.53h,,,,,,6697.22h,
,SMARTPAY-651,Update initiation of status report creation,10/17/25,0.00h,1291.98h,,,,,,,193.18h,,,717.52h,,,,,4657.43h,
Production bug,SMARTPAY-649,[EPE] Logging of application logs is broken,7/22/25,0.08h,101.82h,,,,,,,1.77h,15.42h,1.40h,,,,,,6745.10h,
Production bug,SMARTPAY-650,[ibank EE] Mass payment form - Beneficary ID is not saved,7/24/25,0.00h,170.70h,,,,,,,20.17h,2.42h,19.53h,,,,,,6697.75h,
Production bug,SMARTPAY-646,[ibank] Fix SOA Signing Date Validation for New Easy Saver Agreements,7/17/25,95.68h,,,,,,,,48.32h,0.00h,0.77h,,,,,,6859.17h,
Production bug,SMARTPAY-647,Missing currency in List of Payments,7/23/25,149.90h,,,,,,,,94.87h,25.02h,20.18h,,,,,,6719.90h,
,SMARTPAY-645,[aq-mq-mediator_W670] after incident make refactoring of configurations,7/11/25,0.00h,,,,,,,,12.92h,1.53h,0.47h,,,,,,7005.83h,
,SMARTPAY-644,[iBank LV] Beneficiary residence country and balance code values are not saved when executing payments over 10000 EUR,7/23/25,0.22h,,,,,,,,164.68h,21.08h,125.57h,,,,,,6716.87h,
Production bug,SMARTPAY-643,aq-mq-mediator expired certificate,7/10/25,0.02h,,,,,,,,1.40h,0.02h,,,,,,,7032.15h,
,SMARTPAY-640,[ibank] Standing orders agreement implement sysglobal value,7/28/25,48.97h,312.15h,,,,,,,7.12h,40.48h,75.40h,,,,,,6598.02h,
,SMARTPAY-639,Tracker: change snake_case to CamelCase (reading from Flow manager Kafka topic),9/23/25,0.82h,1534.53h,,,,,,,14.38h,,,323.85h,,,,,5229.97h,
Production bug,SMARTPAY-641,Mass/Salary payments fail to be processed,7/11/25,0.73h,97.48h,,,0.22h,,,,47.32h,18.83h,0.70h,,,,,,7009.48h,
,SMARTPAY-637,SOA fraud prevention report,7/9/25,3.85h,,,,,,,,113.45h,,,,,,,,7059.62h,
,SMARTPAY-636,[ibank ] SOA fraud prevention measures,7/7/25,26.30h,,,,,,,,73.85h,0.10h,2.10h,,,,,,7100.85h,
,SMARTPAY-632,DB: store ISO status reason codes in Batch handler database,7/15/25,0.00h,426.22h,,,,,,,4.30h,0.22h,2.48h,0.00h,,,,,6907.37h,
,SMARTPAY-631,DB: store ISO status reason codes in created table crebit.dp_error_status_reason,7/14/25,0.00h,403.90h,,,,,,,2.00h,1.07h,3.10h,0.00h,,,,,6930.57h,
,SMARTPAY-630,Decommission not needed service account (Used for Camunda POC),,7342.32h,,,,,,,,,,,,,,,,,
,SMARTPAY-629,[payment-services] create gRPC endpoint for VoP check,7/28/25,412.15h,,,,,,,,192.45h,145.65h,0.07h,,,,,,6596.05h,
,SMARTPAY-628,[Blocker for smartpay-533] Update API which updates payment status and checks if response is needed,10/10/25,596.13h,1201.20h,,,,,,,196.45h,242.18h,169.60h,141.88h,,,,,4818.20h,
,SMARTPAY-626,Provide permanent test customers with restrictions for temp. blocking of instant payments,3/30/26,6820.03h,,,,,,,,,,,,,,,,716.53h,
,SMARTPAY-623,[payment-services] Add information about VoP in payments payload for MQ,7/23/25,0.03h,823.38h,,,,,,,20.18h,,,,,,,,,6718.23h
,SMARTPAY-618,S3.5 - Payment Limit Service Requests and Responses Handling (6th),9/19/25,0.43h,0.00h,,,,,,,92.95h,140.55h,372.88h,1655.68h,,,,,5317.70h,
,SMARTPAY-619,"S3.5 - Payment Limit Service functionality ""Restoration of Limits"" (3rd)",9/16/25,0.43h,0.00h,,18.97h,,,,,113.82h,376.70h,137.00h,1534.67h,,,,,5398.67h,
,SMARTPAY-615,"S3.5 - Payment Limit Service functionality ""Usage of Limits"" (1st)",9/15/25,0.43h,0.00h,117.27h,,,,,,197.43h,37.08h,653.92h,1155.13h,,,,,5419.15h,
,SMARTPAY-613,S3.3 - [payment-services] Vop check via payment-services,9/3/25,12.43h,0.00h,,,25.58h,,,,449.77h,557.50h,0.73h,843.65h,,,,,5709.05h,
,SMARTPAY-612,[payment-services] Implement backend restrictions and logic for external API call handling,6/18/25,15.00h,,,,25.90h,,,,,,,,,,,,,7560.42h
,SMARTPAY-611,[payment-services] Analyze and interpret VoP request processor API response data for business insights,6/18/25,15.35h,,,,24.67h,,,,,,,,,,,,,7561.65h
,SMARTPAY-610,S3.3 - [payment-services] Store VoP request processor response results into DP,9/4/25,15.43h,,883.25h,,869.63h,,,,145.55h,,,,,,,,5687.88h,
,SMARTPAY-609,[payment-services] Create a connection pool to VoP request processor API,7/23/25,15.52h,0.00h,,,24.57h,,,,597.25h,178.18h,16.52h,53.00h,,,,,6716.77h,
,SMARTPAY-608,S-3.2. [DB] Create new column in DP table for VoP result,7/3/25,15.55h,0.00h,,,24.48h,,,,23.15h,45.92h,5.65h,290.43h,,,,,7196.65h,
,SMARTPAY-607,Update API updating payment status and checking if response is needed,10/10/25,0.00h,220.40h,,,,,,,16.97h,2377.77h,169.68h,,,,,,4818.78h,
,SMARTPAY-625,Increase latency in test,6/19/25,0.00h,66.40h,,,,,,,,,,,,,,,7537.47h,
,SMARTPAY-624,EPE performance test results analyses,6/20/25,0.05h,66.73h,,,,,,,0.00h,,,23.30h,,,,,7514.23h,
,SMARTPAY-601,Change CMBD ID for fraud screening Kafka topic schema,7/16/25,0.00h,,,,,,,,3.45h,723.20h,0.02h,,,,,,6883.35h,
,SMARTPAY-600,Data manager: update APIs to use updated payment_file_sid name,11/12/25,0.00h,2133.33h,150.63h,,,,,,324.10h,502.23h,168.80h,393.30h,,,,,4028.97h,
,SMARTPAY-599,Data manager: Create API to get Payment file data by batch SID,6/13/25,0.00h,22.40h,,,,,,,2.60h,3.75h,0.17h,,,,,,7675.60h,
,SMARTPAY-602,[iBank Private and Business PB]: Implement VoP check re-initiation in SMART payment form,6/13/25,24.48h,,,,190.80h,,,,,,,,,,,,,7677.65h
,SMARTPAY-596,[core-payment-batch-handler-data-manager] refactoring API for improve relation with STATUS table,6/16/25,2.15h,,,,,,,,115.32h,102.02h,72.00h,,,,,,7602.50h,
,SMARTPAY-605,S3.3 - [iBank Private and Business PB]: Introduce VoP Request Control: Attempt Cap and Rapid Call Handling in SMART payment form,9/4/25,23.17h,3.62h,310.98h,,1198.28h,,,,282.33h,410.27h,,,,,,,5687.77h,
,SMARTPAY-603,S3.4 - [UI iBank Private and Business PB]: Implement VoP check response presentment in SMART payment form,9/4/25,0.50h,688.48h,435.22h,,649.63h,,,,23.90h,241.93h,189.73h,,,,,,5687.57h,
,SMARTPAY-597,Add validations to all APIs,7/11/25,47.32h,146.02h,,18.57h,,,,,48.10h,487.42h,165.93h,,,,,,7006.68h,
,SMARTPAY-606,S.3.4 - [iBank Private and Business PB]: Implement VoP check initiation in SMART payment form in 'Domestic/ European' payment tab,9/4/25,28.28h,163.50h,,138.18h,650.05h,,,,902.77h,140.52h,234.38h,,,,,,5687.57h,
,SMARTPAY-614,Show payments rejected by Fraud screening in Forms Teller,8/11/25,0.00h,1361.80h,2.72h,,150.90h,,,,18.02h,7.80h,140.83h,0.00h,,,,,6265.40h,
,SMARTPAY-937,3. BH-worker: store file and batch for payments from iBank,,3428.63h,4532.35h,,,,,,,,,,,,,,,,
,SMARTPAY-938,2. BH-worker: start reading batch session information from AQ,,5396.58h,2564.50h,,,,,,,,,,,,,,,,
Production bug,SMARTPAY-588,[ibank] improve sending to NA,5/29/25,0.00h,,,,20.93h,,,,0.00h,142.33h,52.12h,,,,,,8036.52h,
Production bug,SMARTPAY-592,S3.3 - Transaction on corresponding account registered twice for RETURN payment,4/27/26,74.55h,166.97h,7123.93h,,194.10h,,,,742.93h,,,,,,,,49.80h,
,SMARTPAY-585,Provide application name in API header,6/9/25,0.00h,16.42h,,,,,,,7.55h,334.85h,240.05h,,,,,,7772.22h,
,SMARTPAY-584,[core-payment-batch-handler-data-manager] Improvements for Base Entity,5/15/25,0.52h,,,,,,,,0.00h,,,,,,,,8372.78h,
Production bug,SMARTPAY-583,[sepa-exchange] not needed sequence ID for DP table executed after restriction engine implementation,6/3/25,0.00h,,,45.17h,,,,,6.95h,194.32h,216.52h,,,,,,7914.18h,
,SMARTPAY-582,DB: create new error code for fraudulent transactions in TH schema and create mapping,5/14/25,16.08h,,,,,,,,0.97h,0.80h,6.62h,,,,,,8394.50h,
,SMARTPAY-581,DB: create new error_code (if payment type cannot be set to instant),5/15/25,18.23h,,,,,,,,1.22h,54.10h,,,,,,,8371.98h,
,SMARTPAY-580,[ibank]on the reloaded Ibank page - show message to customer,5/27/25,20.52h,,,,,,,,48.73h,147.27h,141.97h,,,,,,8088.63h,
,SMARTPAY-579,[sepa-exchange]Rejected outgoing instant payment made directly from List of Payment has wrong status,5/13/25,5.50h,,,,,,,,3.68h,18.85h,1.42h,,,,,,8419.27h,
,SMARTPAY-578,DB: create place to store mass payment priority,5/15/25,0.25h,20.80h,,,,,,,3.08h,46.85h,5.38h,0.00h,,,,,8372.48h,
,SMARTPAY-577,[sepa-exchange] restriction engine timeout error change log level to warning,5/12/25,0.22h,,,,,,,,64.07h,3.23h,,,,,,,8447.12h,
Production bug,SMARTPAY-576,[ibank] restriction engine list of payments error in logs,5/13/25,0.83h,,,,,,,,64.45h,29.65h,2.00h,,,,,,8418.70h,
,SMARTPAY-575,SMARTPAY-520 Rollback,5/13/25,0.00h,0.02h,,,,,,,67.45h,5.28h,19.70h,,,,,,8425.58h,
Production bug,SMARTPAY-574,[sepa-exchangeRT1EE] fix certificate alias in keystore for restriction engine connection,5/8/25,0.12h,,,,,,,,0.00h,,,,,,,,8539.37h,
,SMARTPAY-568,Setup access and grant permissions to Kafka,5/9/25,0.00h,,,,,,,,220.55h,,,,,,,,8515.60h,
,SMARTPAY-565,DB: implement data archiving,9/9/25,0.00h,,,,,,,,3292.58h,,,,,,,,5565.18h,
,SMARTPAY-564,[sepa-exchange] Restricted incoming instant payment is not findable in Forms Teller,,8881.77h,,,,,,,,,,,,,,,,,
,SMARTPAY-563,[sepa-exchange]Instant payment to a restricted customer gets rejected with wrong error code,4/24/25,18.80h,,,,,,,,,,,,,,,,,8881.32h
,SMARTPAY-562,3. Data manager: Create API to update batch and payment status,6/13/25,0.48h,811.93h,,,,,,,197.98h,195.18h,46.23h,,,,,,7675.82h,
,SMARTPAY-561,[Test] test fraud screening results from OFD broker,6/2/25,595.60h,0.00h,,,,,,,0.00h,0.00h,448.68h,30.90h,,,0.00h,,7945.40h,
,SMARTPAY-560,[sepa-exchange] Request for getting outgoing restriction data is done twice,4/23/25,142.40h,,,,,,,,,,,,,,,,,8901.42h
Production bug,SMARTPAY-566,IBank: Mass payment view is not visible,4/29/25,166.13h,91.77h,,,,,,,7.87h,15.80h,1.63h,,,,,,8760.93h,
,SMARTPAY-559,[sepa-exchange] Restricted Incoming instant payments have wrong status after their processing,4/24/25,162.47h,,,,,,,,,,,,,,,,,8881.93h
,SMARTPAY-557,"[sepa-exchange] server type cert will expire, connection to queues",4/28/25,167.12h,,,,,,,,3.38h,140.77h,4.95h,,,,,,8781.05h,
,SMARTPAY-553,Providing views for DWH,4/15/25,23.38h,,,,,,,,118.47h,2.13h,,,,,,,9098.28h,
,SMARTPAY-550,DB: Create extract to share with Pricing team,4/9/25,17.42h,,,,,,,,,,,,,,,,9242.30h,
,SMARTPAY-549,[ibank] Improvements of current fraud sending from list of payments page,5/8/25,473.25h,0.00h,,,101.32h,,,,97.42h,18.27h,32.60h,0.00h,,,,,8537.63h,
,SMARTPAY-545,Preparation for go-live,5/9/25,383.92h,0.00h,,,,,,,70.65h,262.12h,5.50h,25.68h,,,,,8516.67h,
