Type,Key,Summary,Resolution Date,Open,Ready for Refinement,On Hold,Reopened,Investigation,Backlog,On-hold,Funnel,In Development,Ready for test,In Testing,Refined,Selected for Development,In Progress,Waiting for acceptance,Under Investigation,Done,Abandoned
Production bug,SMARTPAY-918,The new payment beneficiary dropdown displays the same payment/name multiple times,3/20/26,147.38h,,,,,,,,0.00h,21.05h,0.48h,,,,,,959.57h,
Production bug,SMARTPAY-920,NullPointerException: Cannot invoke ChronoLocalDate,4/2/26,0.00h,260.42h,,,0.05h,,,,44.00h,193.85h,4.78h,,,,,,643.40h,
Production bug,SMARTPAY-915,No beneficiary address field in International payments form,3/25/26,0.12h,45.18h,34.17h,,157.18h,,,,,,,,,,,,122.55h,838.60h
Production bug,SMARTPAY-914,validity check of EE reference number in Estonia has disappeared,3/18/26,0.07h,25.07h,,,,,,,52.27h,18.03h,127.95h,,,,,,1001.48h,
Production bug,SMARTPAY-913,EPE PROD servers critically low on available RAM,3/16/26,0.02h,0.42h,,,242.93h,,,,0.00h,0.00h,0.58h,,,,,,1052.27h,
,SMARTPAY-912,BH: create unique constraint for status-report table and update status report creation,3/16/26,0.63h,19.03h,,,,,,,217.20h,0.00h,76.87h,,,,,,1049.98h,
,SMARTPAY-911,[tracker] Recovery process guarantee sending to KAFKA,,0.00h,,,,,,,,21.52h,1179.80h,166.60h,,,,,,,
,SMARTPAY-910,[BH] Timeout reading big pain.001 files from filebarn,,17.53h,887.48h,,,,,,,18.10h,463.23h,,,,,,,,
,SMARTPAY-907,BH: update how payments are created to increase performance,,66.42h,,,,,,,,559.48h,718.03h,115.85h,,,,,,,
Production bug,SMARTPAY-908,Ibank: Error related to benef name validation,3/19/26,2.00h,68.70h,,,,,,,167.55h,193.95h,51.65h,,,,,,979.73h,
,SMARTPAY-906,Investigate slow performance of payments processing from file,,0.00h,1002.90h,,,1.25h,,,,0.00h,481.33h,,,,,,,,
,SMARTPAY-905,Create new status in status table,3/2/26,0.00h,17.17h,,,,,,,2.80h,97.27h,2.17h,,,,,,1386.27h,
,SMARTPAY-904,Update fraud screening creation if unique constraint is violated,3/6/26,0.00h,17.57h,,,,,,,145.18h,0.60h,50.00h,2.48h,,,,,1290.13h,
,SMARTPAY-903,"[tracker] local enviromnment development, local kafka",2/26/26,0.00h,,,,,,,,17.68h,,,,,,,,1489.92h,
,SMARTPAY-902,[DB] Prepare Archive DB scripts (strucutre/logic),,2.23h,,,,,,,,1510.10h,,,,,,,,,
,SMARTPAY-901,[tracker] refactoring common loger,2/25/26,0.00h,,,,,,,,0.78h,,,,,,,,1512.87h,
