Type,Key,Summary,Resolution Date,Open,Ready for Refinement,Investigation,Reopened,On Hold,Backlog,To Do,Refined,In Development,Ready for test,In Testing,In Progress,Waiting for acceptance,Done,Abandoned,,,
Bug Sub-Task,EASYPAY-1333,Payment file is not saved in DB when Kafka message contains more than 1 signature,1/2/26,99.92h,,,,,,,,,,,,,,2804.67h,,,
Bug Sub-Task,EASYPAY-1331,"total_amount, total_number_of_trx, orgnl_msg_id are not stored when payment file status is rejected",12/29/25,164.73h,0.00h,,,,,,0.00h,,0.67h,5.63h,,,2897.78h,,,,
,EASYPAY-1398,DB: Create new error code,3/23/26,0.17h,1964.18h,,,,,,197.95h,117.02h,0.30h,1.80h,,,884.33h,,,,
,EASYPAY-1332,BH-worker: add trace id and logging for easier testing and maintenance,1/5/26,0.00h,282.48h,,,,,,168.02h,,0.00h,0.00h,,,2737.22h,,,,
,EASYPAY-1330,BH-worker: manually set offset after storing payment file information,1/5/26,0.00h,0.10h,,,,,,22.45h,451.60h,0.00h,0.00h,,,2736.97h,,,,
,EASYPAY-1329,Payment-services: clean-up payment-services not to check Sysglobal SEPA_SINGLE_FORM_START,2/9/26,0.00h,18.42h,,,,,,267.98h,403.50h,629.43h,0.00h,,,1892.85h,,,,
Production bug,EASYPAY-1328,[DB] fix crebit.dp_utility.reverse_limits procedure to log only errors,12/16/25,0.02h,0.00h,,,,,,0.00h,17.00h,5.25h,0.00h,,,3214.02h,,,,
,EASYPAY-1327,"[STAR] Add ""Procurement number"" field to ""SWIFT"" agreement page",1/5/26,0.00h,459.07h,43.73h,,,,,,,,,,,,2733.95h,,,
,EASYPAY-1326,10. Update API end point updating data for fraud screening request,3/30/26,0.00h,1656.47h,,,,,,0.12h,123.53h,165.58h,647.53h,,,716.77h,,,,
,EASYPAY-1325,Insert missing error codes to DP_ERROR table,12/23/25,0.00h,18.53h,,,,,,1.12h,263.20h,0.42h,2.77h,,,3045.90h,,,,
,EASYPAY-1323,Update API end point providing data for fraud screening request,12/11/25,0.00h,0.78h,,,,,,0.00h,0.83h,26.65h,20.67h,,,3334.22h,,,,
,EASYPAY-1321,"[DB] Add ""Procurement number"" field to SWIFT related Periodical Fees",1/5/26,0.02h,503.25h,147.47h,,,,,,,,,,,,2733.97h,,,
,EASYPAY-1319,ValidateAndEnrich GRPC endpoint removes necessary values from response,12/11/25,0.35h,21.85h,0.22h,,,,,0.07h,25.58h,22.57h,0.08h,,,3337.15h,,,,
,EASYPAY-1318,"E-invoices regression testing on Skyvault in LV, LT, EE [15.12-17.12]",12/16/25,0.00h,71.37h,,,,,,95.52h,,2.58h,21.80h,,,3217.43h,,,,
,EASYPAY-1317,"Homebank regression testing on Skyvault in LV, LT, EE [15.12-17.12]",12/16/25,0.00h,71.47h,,,,,,95.52h,,2.58h,21.48h,,,3217.75h,,,,
,EASYPAY-1316,[DB] Create new attribute for Procurement Number in crebit.swr_contract table,1/5/26,0.00h,650.83h,96.77h,,,,,,,,,,,,2733.97h,,,
,EASYPAY-1315,[Einvoice-payment-machine] Error while debiting automated e-invoices payment because of SEPA_RB_2025_START syglobal,12/12/25,1.28h,0.00h,,89.45h,,,,0.72h,0.02h,76.98h,19.63h,,,3313.48h,,,,
,EASYPAY-1314,[incoming-swift-msg-processor] Error processing swift orders because of SEPA_RB_2025_START syglobal,12/4/25,0.00h,1.92h,,,,,,0.00h,,0.00h,0.55h,,,3501.20h,,,,
,EASYPAY-1313,[Go-live scope ] Set VABAKONT value for new Ledger Accounts,12/8/25,0.05h,0.00h,,,,,,0.00h,,101.88h,0.12h,,,3403.23h,,,,
Production bug,EASYPAY-1311,[DB] Incorrect beneficiary value date is shown for incoming international payment,12/3/25,0.02h,19.47h,,0.00h,,,,0.00h,22.23h,2.87h,3.37h,,,3524.33h,,,,
,EASYPAY-1310,Enhance GRPC ExecuteSaved for batch processing,12/15/25,0.02h,283.57h,,,,,,0.70h,23.22h,0.00h,145.32h,,,3240.08h,,,,
,EASYPAY-1302,Set XKONT value for new Ledger Accounts,11/24/25,0.00h,0.00h,0.22h,,,,,0.00h,,95.97h,71.97h,,,3741.13h,,,,
,EASYPAY-1301,[DB] Create new queue to store faked file upload from SGW and procedure to enqueue it,11/27/25,0.60h,0.00h,,,,,,0.00h,235.42h,0.00h,0.00h,,,3673.52h,,,,
,EASYPAY-1280,[Go-live scope ] Refresh application cache memory due to changes in op_param,12/10/25,0.00h,0.00h,0.15h,,,,,0.00h,,601.35h,44.88h,,,3358.48h,,,,
,EASYPAY-1282,DB: clean-up iBank not to check Sysglobal SEPA_SINGLE_FORM_START,1/12/26,0.15h,460.45h,,,,,,4.55h,65.33h,3.70h,905.03h,,,2570.05h,,,,
,EASYPAY-1279,Link SWIFT service OP_ID's to SLA number - W715,12/10/25,0.07h,0.00h,0.42h,,,,,0.00h,,647.95h,44.87h,,,3358.48h,,,,
,EASYPAY-1278,[DB] Migrate Instant Payment party ID data to new structure,11/14/25,0.03h,0.05h,,,,,,0.00h,,46.62h,29.92h,,,3980.32h,,,,
,EASYPAY-1365,[iBank] Double Acceptance test case,,,,,,,673.78h,,1368.67h,1007.53h,,,1007.93h,,,,,,
,EASYPAY-1276,[DB] add new input parameters to payments.fpo_payment.ps_validate_payment,11/26/25,0.00h,0.00h,,,,,,0.00h,380.82h,0.00h,0.00h,,,3696.98h,,,,
,EASYPAY-1364,[Sepa-exchange] update existing SEPA payments test cases with rulebook changes,3/27/26,,,,,,694.90h,,534.50h,1007.18h,0.00h,40.30h,1008.02h,,794.22h,,,,
,EASYPAY-1275,Remove automated fee calculation button for OP_ID’s - XSCP/YSCP,11/24/25,0.12h,0.12h,,,,,,0.00h,0.00h,336.12h,71.97h,,,3741.12h,,,,
,EASYPAY-1277,Set BH application timezone to UTC,11/11/25,0.00h,95.00h,,,,,,,,,,,,,4057.27h,,,
,EASYPAY-1406,Status report SID should be added to outgoing.reports kafka message header,2/25/26,1.22h,2158.90h,,,,,,287.43h,52.98h,18.82h,122.87h,,,1511.30h,,,,
,EASYPAY-1274,Create VAT set-up for Custom Booking Fee OP_ID - T3SW,12/10/25,0.08h,0.00h,,,,,,0.00h,457.92h,312.08h,44.72h,,,3358.63h,,,,
,EASYPAY-1273,Create VAT set-up for Return of Custom Booking Fee OP_ID - T4SW,12/10/25,0.03h,0.00h,,,,,,0.00h,457.98h,312.12h,44.83h,,,3358.52h,,,,
,EASYPAY-1272,Recreate Kafka topics to have more partitions,12/8/25,0.00h,313.27h,,,,,,450.52h,5.37h,0.00h,0.00h,,,3404.82h,,,,
,EASYPAY-1363,Automate forms teller part,,139.07h,,,,,,,546.50h,1760.40h,,,1629.15h,,,,,,
,EASYPAY-1271,[Go-live scope ] Create VAT set-up for Return of Custom Booking Fee OP_ID - YSCP,12/10/25,0.03h,0.00h,,,,,,0.00h,486.43h,312.17h,43.52h,,,3359.83h,,,,
,EASYPAY-1270,Create VAT set-up for Return of Custom Booking Fee OP_ID - YSW,12/10/25,0.05h,0.00h,0.00h,,,,,0.00h,484.92h,313.75h,43.47h,,,3359.88h,,,,
,EASYPAY-1269,[Go-live scope ] Create VAT set-up for Custom Booking Fee OP_ID - XSCP,12/10/25,0.05h,0.00h,,,,,,0.00h,484.50h,314.52h,44.67h,,,3358.68h,,,,
,EASYPAY-1268,Create VAT set-up for Custom Booking Fee OP_ID - XSW,12/10/25,0.05h,0.00h,,,,,,0.00h,484.88h,314.63h,43.33h,,,3360.00h,,,,
,EASYPAY-1267,Create VAT set-up for Periodical Fee OP_ID - TN7SW,12/9/25,0.03h,0.00h,,,,,,0.00h,484.93h,314.75h,22.05h,,,3381.30h,,,,
,EASYPAY-1266,Create VAT set-up for Periodical Fee OP_ID - TG7SW,12/9/25,0.05h,0.00h,,,,,,0.00h,484.95h,314.80h,22.05h,,,3381.30h,,,,
,EASYPAY-1265,Create VAT set-up for Periodical Fee OP_ID - TN6SW,12/9/25,0.03h,0.00h,0.00h,,,,,0.00h,484.93h,314.87h,22.05h,,,3381.32h,,,,
,EASYPAY-1264,"Homebank regression testing on Skyvault in LV, LT, EE [24.11-26.11]",11/26/25,18.53h,0.00h,,,,,,453.22h,,4.02h,50.62h,,,3691.18h,,,,
,EASYPAY-1263,"E-invoices regression testing on Skyvault in LV, LT, EE [24.11-26.11]",11/26/25,18.52h,0.00h,,,,,,453.23h,0.00h,4.02h,50.65h,,,3691.13h,,,,
,EASYPAY-1262,Create VAT set-up for Periodical Fee OP_ID - TG6SW,12/9/25,0.05h,0.00h,,,,,,0.00h,501.43h,314.97h,22.03h,,,3381.32h,,,,
,EASYPAY-1483,"DB: create sysglobal for instant payment priority in files (Import of payments, Mass/Salary, List of payments)",3/13/26,0.00h,3066.50h,,,,,,0.23h,1.50h,22.22h,5.48h,,,1124.07h,,,,
,EASYPAY-1261,Create VAT set-up for Periodical Fee OP_ID - 20SW,12/9/25,0.43h,0.00h,0.00h,,,,,0.00h,501.43h,316.22h,22.02h,,,3381.33h,,,,
,EASYPAY-1256,[DB] Enhance executeSaved GRPC API to change valDt to current date for FPO payments,10/31/25,17.15h,0.00h,,,,,,47.15h,6.98h,22.98h,0.13h,,,4316.00h,,,,
,EASYPAY-1400,iBank: change representation of payments with in_channel_code = HGW,3/16/26,169.07h,2925.48h,,,,,,1.98h,2.65h,258.40h,2.88h,,,1052.70h,,,,
,EASYPAY-1255,7. Update API end point updating fraud screening data,11/13/25,0.00h,69.30h,,,,,,287.22h,29.20h,20.33h,3.10h,,,4005.37h,,,,
,EASYPAY-1254,9. Preparation for testing,,0.00h,4417.23h,,,,,,,,,,,,,,,,
Production bug,EASYPAY-1252,Large payment file processing failure,,0.00h,862.17h,3644.10h,,,,,,,,,,,,,,,
Production bug,EASYPAY-1253,[IBank] GIRO Payments cart doesn't allow to make payments,10/27/25,90.47h,0.00h,,,,,,0.18h,1.10h,2.10h,1.85h,,,4412.15h,,,,
Production bug,EASYPAY-1251,[Forms] Electronical payments does not show FPO with priority Express,10/28/25,23.68h,0.03h,,,,,,4.62h,0.00h,69.55h,26.33h,,,4387.38h,,,,
,EASYPAY-1250,Homebank regression testing on Skyvault in LV [27.10-29.10],10/30/25,110.45h,0.00h,,,,,,0.00h,,5.75h,69.53h,,,4341.73h,,,,
,EASYPAY-1249,E-invoices regression testing on Skyvault in LV [27.10-29.10],10/30/25,110.30h,0.00h,,,,,,0.00h,,6.58h,68.88h,,,4341.73h,,,,
,EASYPAY-1397,DB: create DB user for batch handler,3/17/26,0.00h,3332.98h,,,,,,0.20h,170.07h,2.03h,0.20h,,,1028.93h,,,,
,EASYPAY-1396,DB: create procedure for data restoring from exceptional to normal AQ,2/6/26,0.03h,2541.15h,,,,,,1.12h,4.73h,17.90h,1.38h,,,1968.13h,,,,
,EASYPAY-1288,DB: remove sysglobal SEPA_SINGLE_FORM_START,2/17/26,0.02h,1871.17h,,,,,,150.18h,21.58h,433.23h,354.88h,,,1705.28h,,,,
,EASYPAY-1246,EPE: remove check for SEPA rulebook SysGlobal - SEPA_RB_2025_START,11/14/25,0.02h,90.50h,,,,,,504.92h,0.00h,75.67h,0.00h,,,3981.77h,,,,
,EASYPAY-1245,DB: Remove/delete SEPA rulebook SysGlobal - SEPA_RB_2025_START,2/9/26,0.08h,119.20h,,455.35h,,,,842.12h,147.67h,761.35h,463.03h,,,1892.83h,,,,
,EASYPAY-1244,Create possibility to fake file upload from SGW,12/18/25,1.03h,40.87h,,,,,,175.12h,1097.18h,240.70h,0.00h,,,3169.48h,,,,
,EASYPAY-1243,"EINVOICES: if einvoice is paid manually with double acceptance, payment is not linked with einvoice",10/22/25,1.85h,0.00h,17.52h,,,,,0.10h,147.25h,21.95h,23.62h,,,4537.33h,,,,
,EASYPAY-1466,8. Process fraud screening requests which reached timeout,,0.02h,4076.47h,,,,,,363.85h,310.12h,,,,,,,,,
,EASYPAY-1242,7. Create API end point to find fraud screening request which reached timeout,2/25/26,240.13h,2351.60h,,99.38h,,,,98.00h,408.07h,21.27h,21.07h,,,1513.50h,,,,
Production bug,EASYPAY-1239,iBank: successful transaction above Payment Limit,10/13/25,0.42h,1.27h,14.45h,,,,,0.00h,2.77h,68.55h,5.05h,,,4749.75h,,,,
Production bug,EASYPAY-1238,[DB] Standing payment transaction is missing party ID,10/10/25,0.02h,0.18h,,,,,,0.35h,15.77h,1.22h,3.38h,,,4823.10h,,,,
Production bug,EASYPAY-1237,Incoming SIPI Crediting issue. error code = 12899,10/13/25,0.00h,96.42h,,,,,,0.03h,1.02h,0.93h,3.92h,,,4748.53h,,,,
Production bug,EASYPAY-1236,Incoming instant Return error in EPE,10/9/25,0.17h,0.35h,,,,,,0.53h,3.20h,0.03h,2.58h,,,4844.15h,,,,
Production bug,EASYPAY-1235,[DB] Payments with huge amount gets stuck and is not sent out,10/13/25,0.00h,0.33h,,,,,,0.02h,2.93h,18.43h,101.72h,,,4747.80h,,,,
,EASYPAY-1233,Payment Services: remove check for SEPA rulebook SysGlobal - SEPA_RB_2025_START,11/14/25,0.00h,191.67h,,,,,,290.07h,46.83h,363.80h,0.00h,,,3981.72h,,,,
,EASYPAY-1232,Sepa-web: remove check for SEPA rulebook SysGlobal - SEPA_RB_2025_START,11/14/25,0.00h,191.73h,,,,,,289.85h,,410.80h,0.00h,,,3981.73h,,,,
,EASYPAY-1231,Sepatransfer: remove check for SEPA rulebook SysGlobal - SEPA_RB_2025_START,10/16/25,0.02h,191.77h,,,,,,,,,,,,,4682.40h,,,
,EASYPAY-1230,Sepa-exchange: remove check for SEPA rulebook SysGlobal - SEPA_RB_2025_START,11/14/25,0.00h,191.83h,,,,,,267.18h,22.58h,410.80h,0.00h,,,3981.75h,,,,
,EASYPAY-1234,[CORE DB] Update value of sysglobal USTRD_ADDRESS_END,10/8/25,0.00h,0.78h,,,,,,0.00h,2.80h,3.02h,0.08h,,,4867.58h,,,,
,EASYPAY-1228,[DB] Processing of standing orders payments in LT,10/6/25,0.05h,0.00h,,,,,,0.00h,4.05h,0.00h,1.82h,,,4915.68h,,,,
,EASYPAY-1226,DB: remove check for SEPA rulebook SysGlobal - SEPA_RB_2025_START,10/24/25,0.03h,311.02h,,,,,,100.88h,25.23h,18.62h,46.50h,,,4491.02h,,,,
,EASYPAY-1225,Forms Teller: remove check for SEPA rulebook SysGlobal - SEPA_RB_2025_START,10/16/25,0.05h,311.28h,,,,,,,,,,,,,4682.27h,,,
,EASYPAY-1224,STAR: remove check for SEPA rulebook SysGlobal - SEPA_RB_2025_START,10/31/25,0.50h,311.35h,,,,,,100.08h,237.72h,5.40h,22.47h,,,4316.50h,,,,
,EASYPAY-1223,[DB] Change format for RT1_LIMIT and RT1_INCOMING_LIMIT,10/2/25,0.02h,0.00h,,,,,,0.00h,0.32h,0.30h,21.18h,,,5015.02h,,,,
Bug Sub-Task,EASYPAY-1222,iBank Private and Business PB: Update cases when other forms pass payment values to smart form,10/2/25,0.08h,0.27h,,,,,,0.00h,2.43h,41.45h,4.58h,,,5013.38h,,,,
,EASYPAY-1220,Update API checking if payment file is a duplicate,10/14/25,0.00h,89.65h,,,,,,0.00h,98.40h,21.73h,146.30h,,,4728.75h,,,,
,EASYPAY-1218,[DB] FPO archiving,10/1/25,0.00h,0.00h,,,,,,0.00h,3.17h,0.00h,40.58h,,,5044.10h,,,,
Bug Sub-Task,EASYPAY-1217,iBank Private and Business PB: Payment Priority not changing when Value date switched over,10/1/25,0.02h,0.00h,0.00h,,,,,0.00h,,47.65h,6.13h,,,5035.80h,,,,
,EASYPAY-1215,Update Kafka topic and publishing to it - add total sum and message id,10/22/25,0.00h,430.88h,,,,,,1.83h,191.53h,0.00h,0.00h,,,4536.85h,,,,
,EASYPAY-1213,Update payment status after it's sent to FLM,10/2/25,0.00h,0.02h,,,,,,1.98h,166.00h,0.00h,0.00h,,,5017.60h,,,,
,EASYPAY-1212,"SEPA RT1 and STEP2 do not start, after rel282 deployment",9/25/25,0.27h,3.43h,,,,,,0.07h,0.32h,0.00h,0.00h,,,5186.08h,,,,
,EASYPAY-1216,iBank Private and Business PB: Re-factor error and warning messages behavior when Instant Payment Limits are reached,10/2/25,0.72h,24.82h,,,,,,,70.27h,97.50h,0.00h,,,5013.37h,,,,
,EASYPAY-1209,Smart Form: Technical error occurred when calling limit service if another user's account was selected,9/22/25,0.02h,,,,,,,,23.35h,27.85h,2.42h,,,5252.02h,,,,
,EASYPAY-1210,"Foreign payment executed in another currency, limits are used twice",9/23/25,1.43h,,,,,,,,43.08h,26.60h,19.25h,,,5235.18h,,,,
,EASYPAY-1208,[ibank] TPH incoming payment displaying issues,10/14/25,0.07h,0.00h,,,,,,141.90h,262.70h,171.37h,23.27h,,,4726.40h,,,,
,EASYPAY-1206,[iBANK] Error in Payment list due to incorrect limits check from EPE during file import,9/22/25,0.05h,0.02h,,,,,,,1.12h,18.58h,96.17h,,,5258.18h,,,,
,EASYPAY-1247,iBank Private and Business PB: Re-factor error and warning messages UI presentment in SMART payment form,10/31/25,0.58h,696.78h,0.00h,,12.30h,,,4.87h,150.53h,0.13h,218.38h,,,4318.28h,,,,
,EASYPAY-1201,Change sysglobal SEPA_RB_2025_START value for RT1/STEP2 RB go-live date,9/23/25,0.12h,145.25h,0.00h,,,,,136.07h,0.05h,2.70h,0.00h,,,5233.50h,,,,
,EASYPAY-1200,Not possible to re-submit payments via EPE,9/9/25,0.00h,0.58h,,,,,,0.00h,0.22h,0.05h,0.52h,,,5568.03h,,,,
,EASYPAY-1199,[DB] Save error_code in crebit.dp table,10/1/25,0.00h,0.00h,,,,,,0.00h,40.88h,390.15h,116.30h,,,5040.87h,,,,
,EASYPAY-1190,[DB] Create new table in payments schema to save SOA VoP requests,9/29/25,0.17h,426.53h,,,,,,0.00h,53.20h,93.73h,3.47h,,,5085.78h,,,,
,EASYPAY-1189,iBank Private and Business PB: Enable regular and urgent payments in SMART payment form in case customer has disabled or already exceeded instant payments limit,9/8/25,0.03h,,93.13h,,,,,,,,,,,,5589.68h,,,
,EASYPAY-1188,Sysglobal PMNT_LIMIT_SERVICE_START with auto-activation on 05.10.2025 (no need for actions),9/23/25,453.23h,,,,,,,,,,,,,,5230.88h,,,
,EASYPAY-1395,[IBank]: If changes made in payment uploaded via SGW - new payment must be created instead of initial one,4/22/26,1028.23h,3361.05h,,,,,,3.88h,595.37h,504.25h,29.12h,,,163.50h,,,,
,EASYPAY-1186,4. Create API end point to get all payments and their statuses by fraud screening sid,,865.83h,1489.78h,,,,,,769.23h,1202.57h,1359.90h,,,,,,,,
,EASYPAY-1185,3. Update API endpoint providing dp.id of the payment,12/12/25,867.52h,1489.93h,,,,,,0.00h,17.78h,0.55h,1.70h,,,3311.52h,,,,
,EASYPAY-1184,1. Read Kafka topic from OFD broker and store information,,1175.25h,2308.45h,,,,,,1003.83h,244.18h,164.78h,793.03h,,,,,,,
,EASYPAY-1180,[iBank Private and Business PB]: Do not initiate VoP check again in case beneficiary's data is not changed in Standing Order Agreement conclusion,3/27/26,0.07h,3814.85h,214.88h,,,,,1105.03h,,,,,,,788.28h,,,
,EASYPAY-1179,[DB] Archiving of ST_UPDATE message,9/5/25,0.00h,0.02h,,,,,,0.00h,215.87h,0.00h,43.17h,,,5665.68h,,,,
,EASYPAY-1468,12. Implement fraud screening recovery process,,1105.13h,4821.47h,,,,,,,,,,,,,,,,
,EASYPAY-1394,iBank: update signing via list of payments - change payment processing process,,3818.60h,980.25h,1223.00h,,,,,,,,,,,,,,,
,EASYPAY-1175,3. Rename and update API geting data for fraud screening request,11/3/25,0.00h,1031.50h,,,,,,291.52h,145.82h,332.10h,5.33h,,,4243.52h,,,,
,EASYPAY-1402,Implement status report recovery process,,497.08h,5690.60h,,,,,,,,,,,,,,,,
,EASYPAY-1405,Implement payment file recovery process - sending payments for processing,,497.33h,3817.45h,,,,,,0.00h,223.40h,135.72h,1514.02h,,,,,,,
,EASYPAY-1403,Implement payment file recovery process - validating batches,2/10/26,497.60h,3697.07h,,,,,,27.93h,95.60h,0.00h,0.00h,,,1870.00h,,,,
,EASYPAY-1404,Implement payment file recovery process - reading and parsing the file,2/4/26,497.78h,3529.03h,,,,,,0.97h,149.93h,0.00h,0.00h,,,2010.65h,,,,
,EASYPAY-1174,[iBank Private and Business PB]: Introduce VoP Request Control: Attempt Cap in Domestic and European Standing Order Agreements conclusion,3/27/26,0.17h,3672.60h,645.98h,,,,,1105.03h,,,,,,,788.28h,,,
,EASYPAY-1171,[SEPA_EXCHANGE] outgoing SEPA message's original transaction information taken from old/new Party ID structure,9/3/25,0.00h,69.28h,0.15h,,,,,338.92h,68.28h,7.18h,139.32h,,,5712.78h,,,,
,EASYPAY-1170,Change sysglobal RT1_INCOMING_LIMIT value for incoming messages,9/23/25,0.02h,886.85h,,,,,,282.77h,3.45h,23.57h,0.05h,,,5231.60h,,,,
,EASYPAY-1169,Update publishing mass payment header and payment information,9/9/25,0.00h,337.53h,,,,,,0.83h,508.88h,21.48h,0.00h,,,5565.30h,,,,
Production bug,EASYPAY-1167,Incoming International payments: Ultimate beneficiary's ID printing works incorrectly,7/29/25,0.10h,94.22h,,,,,,,,,,,,,6578.90h,,,
,EASYPAY-1166,Add needed select rights for PAYMENTS.PAYMENT_PARTY_IDENTIFIER table,7/29/25,0.12h,0.00h,,,,,,0.00h,0.33h,92.88h,21.67h,,,6578.68h,,,,
,EASYPAY-1164,[payment-services] Implement new endpoint in Payment services client library to expose FlmSupportingService for clients,10/9/25,0.12h,0.03h,,,,,,19.77h,412.13h,1487.28h,0.00h,,,4846.53h,,,,
,EASYPAY-1163,[payment-services] Improve PaymentPriorityOutChannelCode RPC endpoint to set the priority as normal for future dated instant payments,7/18/25,16.93h,95.72h,0.07h,,,,,0.07h,24.68h,47.25h,27.13h,,,6839.32h,,,,
,EASYPAY-1162,"Change SQL monitoring for ""RT1 file not received"" errors",9/19/25,0.08h,1631.50h,0.13h,,,,,169.10h,45.85h,0.00h,0.20h,,,5326.28h,,,,
,EASYPAY-1161,"(RT1, LV) FS027: Receive pacs.008 from TIPS participant to TIPS BIC",9/15/25,0.38h,1704.65h,0.00h,,,,,0.00h,,0.00h,7.45h,,,5419.13h,,,,
,EASYPAY-1160,"(RT1, LV) FS026: Send and receive pacs.008 with TIPS participant",9/15/25,0.35h,1780.35h,,,,,,0.00h,,0.00h,4.33h,,,5418.60h,,,,
,EASYPAY-1159,"(RT1, LV) FS023, FS024: Send pacs.008 and receive reject with timeout - OPTIONAL",9/16/25,0.32h,1711.62h,,,,,,0.00h,,0.00h,94.38h,,,5397.30h,,,,
,EASYPAY-1158,"(RT1, LV) RR001: Receive and process PSR and RSF files",9/16/25,0.30h,1790.38h,,,,,,0.00h,,0.00h,15.75h,,,5397.20h,,,,
,EASYPAY-1157,"(RT1, LV) FS014: Send and receive pacs.028 (ST_UPDATE) on camt.056 (RECALL)",9/11/25,0.27h,1655.93h,,,,,,0.00h,,0.00h,30.43h,,,5516.97h,,,,
,EASYPAY-1156,"(RT1, LV) FS013: Send and receive pacs.028 Payment Inquiry (INQUIRY)",9/15/25,0.25h,1782.58h,,,,,,0.00h,,0.00h,0.00h,,,5420.78h,,,,
,EASYPAY-1155,"(RT1, LV) FS012: Send and receive camt.029 (REC_REFUSE)",9/10/25,0.23h,1655.97h,,,,,,0.00h,,0.00h,3.68h,,,5543.73h,,,,
,EASYPAY-1154,"(RT1, LV) FS011: Send and receive pacs.004 (RETURN)",9/10/25,0.22h,1178.03h,,,,,,0.00h,,0.00h,477.93h,,,5547.43h,,,,
,EASYPAY-1153,"(RT1, LV) FS010: Send and receive camt.056 (RECALL)",9/9/25,0.18h,1178.07h,,,,,,0.00h,,0.00h,462.85h,,,5562.52h,,,,
,EASYPAY-1152,"(RT1, LV) FS002: Send and receive pacs.002 confirmation with valid OrgnlMsgNmId element",9/15/25,0.15h,1160.08h,,,,,,0.00h,,16.57h,602.63h,,,5424.17h,,,,
,EASYPAY-1151,"(RT1, LV) FS008, FS009: Send and receive pacs.008 with hybrid address",9/11/25,0.13h,1152.93h,,,,,,0.00h,,503.28h,34.45h,,,5512.82h,,,,
,EASYPAY-1150,"(RT1, LV) FS007: Send and receive pacs.008 with multiple Org ID",9/12/25,0.12h,1152.75h,,,,,,0.00h,,556.12h,3.38h,,,5491.25h,,,,
,EASYPAY-1149,"(RT1, LV) FS004, FS005, FS006: Send and receive pacs.008 with NEW ""AccptncDtTm"" element",8/20/25,0.10h,1132.13h,,,,,,0.00h,,2.23h,26.28h,,,6042.88h,,,,
,EASYPAY-1148,"(RT1, LV) FS001: Send and receive pacs.008 within new timeframe (7 seconds)",9/12/25,0.08h,1708.90h,,,,,,0.00h,,2.95h,0.00h,,,5491.70h,,,,
,EASYPAY-1147,"(RT1, LV) FS003: Send and receive pacs.008 with amount over EUR 100.000,00",8/19/25,0.05h,773.73h,,,,,,0.00h,,0.00h,357.10h,,,6072.75h,,,,
,EASYPAY-1146,"(RT1, LV) FR001: Receive and processes RT1 RTF",8/19/25,0.03h,1130.92h,,,,,,0.00h,,0.00h,3.48h,,,6069.17h,,,,
,EASYPAY-1145,[LV] Execute mandatory testcases for RT1 Q4 2025,9/16/25,0.42h,768.72h,,,,,,0.12h,,1037.22h,0.00h,,,5397.17h,,,,
,EASYPAY-1144,"(RT1, LT) FS027: Receive pacs.008 from TIPS participant to TIPS BIC",9/15/25,0.73h,1793.38h,,,,,,0.00h,,0.00h,7.42h,,,5418.63h,,,,
,EASYPAY-1143,"(RT1, LT) FS026: Send and receive pacs.008 with TIPS participant",9/15/25,0.68h,1793.43h,,,,,,0.00h,,0.00h,6.92h,,,5419.15h,,,,
,EASYPAY-1142,"(RT1, LT) FS023, FS024: Send pacs.008 and receive reject with timeout - OPTIONAL",9/16/25,0.65h,1728.30h,,,,,,0.00h,,2.43h,91.30h,,,5397.47h,,,,
,EASYPAY-1141,"(RT1, LT) RR001: Receive and process PSR and RSF files",9/16/25,0.63h,1797.68h,,,,,,0.00h,,23.88h,0.00h,,,5397.98h,,,,
,EASYPAY-1140,"(RT1, LT) FS014: Send and receive pacs.028 (ST_UPDATE) on camt.056 (RECALL)",9/11/25,0.62h,1678.78h,,,,,,0.00h,,0.00h,24.03h,,,5516.75h,,,,
,EASYPAY-1139,"(RT1, LT) FS013: Send and receive pacs.028 Payment Inquiry (INQUIRY)",9/15/25,0.58h,1677.07h,,,,,,0.00h,,121.67h,1.72h,,,5419.12h,,,,
,EASYPAY-1138,"(RT1, LT) FS012: Send and receive camt.029 (REC_REFUSE)",9/10/25,0.57h,1673.40h,,,,,,0.00h,,0.00h,2.23h,,,5543.98h,,,,
,EASYPAY-1137,"(RT1, LT) FS011: Send and receive pacs.004 (RETURN)",9/10/25,0.53h,1512.72h,,,,,,0.00h,,0.00h,159.60h,,,5547.33h,,,,
,EASYPAY-1136,"(RT1, LT) FS010: Send and receive camt.056 (RECALL)",9/3/25,0.50h,1194.28h,,,,,,0.00h,,0.00h,318.38h,,,5706.98h,,,,
,EASYPAY-1135,"(RT1, LT) FS002: Send and receive pacs.002 confirmation with valid OrgnlMsgNmId element",9/15/25,0.43h,1176.35h,,,,,,0.00h,,0.00h,619.23h,,,5424.13h,,,,
,EASYPAY-1134,"(RT1, LT) FS008, FS009: Send and receive pacs.008 with hybrid address",9/12/25,0.30h,1673.60h,,,,,,0.00h,,0.00h,49.20h,,,5497.08h,,,,
,EASYPAY-1133,"(RT1, LT) FS007: Send and receive pacs.008 with multiple Org ID",9/12/25,0.15h,1481.95h,,,,,,0.00h,0.00h,0.00h,249.28h,,,5488.80h,,,,
,EASYPAY-1132,"(RT1, LT) FS004, FS005, FS006: Send and receive pacs.008 with NEW ""AccptncDtTm"" element",9/3/25,0.13h,1149.68h,,,,,,0.00h,,0.00h,357.40h,,,5712.95h,,,,
