Type,Key,Summary,Resolution Date,Open,Ready for Refinement,Investigation,Reopened,On Hold,Backlog,To Do,Refined,In Development,Ready for test,In Testing,In Progress,Waiting for acceptance,Done,Abandoned,,,
,EASYPAY-1498,[FLM | Validate and Enrich] - FPO's - chrgBr - Urgent SEPA cross-border payments,4/7/26,0.05h,67.10h,,,,,,68.15h,3.30h,52.85h,138.72h,,,530.37h,,,,
,EASYPAY-1497,[FLM | Validate and Enrich] Creditor agent account in correspondent bank validation (FPO),4/14/26,16.65h,94.05h,0.22h,,,,,0.57h,52.67h,24.33h,172.47h,,,598.63h,,,,
,EASYPAY-1496,DB [FLM | Validate and Enrich] Creditor agent data saving (for FPO),3/25/26,0.00h,95.20h,0.37h,,,,,2.63h,3.45h,17.32h,3.95h,,,838.05h,,,,
,EASYPAY-1495,Giro,,980.23h,,,,,,,,,,,,,,,,,
,EASYPAY-1494,"[FLM | Validate and Enrich] - RmtInf Unstructured and Structured combined max 130 chars( SEPO, RTGS)",3/27/26,0.03h,24.02h,,,,,,0.50h,74.78h,69.22h,22.85h,,,793.93h,,,,
,EASYPAY-1510,[FLM | Validate and Enrich] Creditor Reference enrichment for Homebank/MX (FPO),4/7/26,0.22h,311.43h,,,,,,4.00h,19.10h,25.58h,101.52h,,,523.95h,,,,
,EASYPAY-1493,[FLM | Validate and Enrich] Budget code (only for LV domestic),3/26/26,0.00h,19.05h,1.85h,,,,,0.88h,3.50h,120.28h,44.75h,,,816.05h,,,,
,EASYPAY-1492,[DB] Fill agreement start dates in all Standing Order Agreements,4/3/26,146.17h,0.02h,,,,,,2.43h,185.58h,23.10h,24.97h,,,625.90h,,,,
,EASYPAY-1490,DB [Validate&Enrich] FPO creditor address gives incorrect error code,3/24/26,0.02h,144.03h,,,,,,3.57h,18.05h,2.65h,3.30h,,,860.92h,,,,
,EASYPAY-1487,[DB] Fill agreement start and end dates in closed Homebank (SWIFT service) agreements,4/9/26,0.00h,146.22h,47.03h,,,,,75.68h,260.80h,18.73h,23.77h,,,482.98h,,,,
,EASYPAY-1525,[ISO Exchange] Change RT1 camt.052 from V10 to V12,4/1/26,455.58h,,,,,,,,,,,,,,667.12h,,,
,EASYPAY-1520,[ISO Exchange] Change RT1 camt.054 from V06 to V12,,456.10h,472.62h,,,,,,3.60h,3.43h,187.35h,,,,,,,,
,EASYPAY-1547,[DB] archiving step crebit.dp_utility.archive_dp runs too long in runJobs_LT CL,4/17/26,0.48h,18.72h,815.40h,,,,,0.00h,26.70h,0.00h,0.00h,,,287.38h,0.00h,,,
,EASYPAY-1507,[FLM | Validate and Enrich] LT Creditor Reference enrichment for Homebank/MX (local payments),4/14/26,193.85h,283.37h,,,,,,151.22h,39.90h,0.25h,123.80h,,,358.97h,,,,
,EASYPAY-1509,[FLM | Validate and Enrich] EE Creditor Reference enrichment for Homebank/MX (local payments),4/13/26,148.85h,352.37h,,,,,,46.72h,104.48h,17.25h,120.75h,,,384.95h,,,,
,EASYPAY-1508,[FLM | Validate and Enrich] LV Regulatory reporting enrichment for Homebank/MX,4/16/26,27.15h,474.18h,,,,,,23.13h,23.53h,97.13h,223.10h,,,307.25h,,,,
,EASYPAY-1529,[CORE DB] Create sysglobal for June release ***,4/1/26,0.17h,484.40h,,,,,,20.37h,3.05h,0.02h,0.83h,,,669.93h,,,,
,EASYPAY-1482,Error on fraud screening process,,136.88h,0.00h,,796.57h,,,,0.00h,29.25h,232.42h,0.00h,,,,,,,
,EASYPAY-1484,Create BitBucket repository,3/17/26,22.77h,44.77h,,,,,,0.18h,120.62h,0.35h,0.00h,,,1032.28h,,,,
,EASYPAY-1478,DB [Execute&Saved] FPO payment waiting funds - missing error code,3/23/26,0.88h,403.02h,,,,,,,,,,,,,888.20h,,,
,EASYPAY-1477,Recovery process doesn't work/stops when payments are duplicates,,627.08h,,692.88h,,,,,,,,,,,,,,,
,EASYPAY-1474,[DB] 18. Payload messages generation on DAY0 load for Account alias agreements,3/18/26,307.18h,0.00h,,,,,,0.00h,22.68h,0.72h,1.10h,,,1008.82h,,,,
,EASYPAY-1473,[DB] 17. Payload messages generation on MDM requests for Account alias,3/17/26,285.22h,0.00h,,,,,,0.00h,21.77h,0.57h,5.52h,,,1027.53h,,,,
,EASYPAY-1472,[DB] 16. Track changes in agreements for Account alias,3/17/26,192.87h,0.00h,,,,,,0.00h,113.53h,0.70h,6.43h,,,1027.20h,,,,
,EASYPAY-1471,[DB] 15. Payload messages generation for Account alias,3/16/26,191.97h,0.00h,,,,,,0.00h,1.20h,89.33h,8.47h,,,1050.05h,,,,
,EASYPAY-1469,[FLM | Validate and Enrich] - BIC derivation for Any currency to EU/EEA country,3/13/26,0.10h,17.97h,,,,,,3.45h,0.80h,113.05h,102.82h,,,1123.55h,,,,
,EASYPAY-1465,[FLM | Validate and Enrich] International payment with provided address for beneficiary bank in pain.001 actually is rejected with error F3221 Address of beneficiary bank is missing,3/16/26,0.80h,43.80h,,,,,,0.00h,,0.68h,263.58h,,,1055.98h,,,,
Bug Sub-Task,EASYPAY-1464,Recovery process status is not updated to completed when status report does not exist for batch,,7.22h,0.00h,,,,,,0.00h,301.68h,1058.23h,,,,,,,,
Bug Sub-Task,EASYPAY-1461,BH doesn't send mass payment header to Kafka topic payment.orders when recovery process was initiated,3/2/26,0.55h,0.00h,,,,,,0.00h,1.82h,0.82h,1.42h,,,1387.02h,,,,
,EASYPAY-1475,[FLM | Validate and Enrich] Post box is not saved to database for part of addresses,3/13/26,0.83h,137.93h,,,,,,0.20h,1.02h,94.30h,97.13h,,,1128.63h,,,,
,EASYPAY-1470,"[FLM | Validate and Enrich] - If Postal Address is used, and if Address Line is present, then Country can/must be used",3/13/26,0.03h,335.97h,,,,,,,,,,,,1124.32h,,,,
Bug Sub-Task,EASYPAY-1458,Batch is not split to payments when recovery process was initiated,2/27/26,0.03h,0.00h,,,,,,0.00h,2.60h,0.48h,0.72h,,,1459.02h,,,,
Bug Sub-Task,EASYPAY-1457,Recovery process status is not updated to completed when status report does not exist,2/27/26,0.05h,0.00h,,,,,,0.00h,1.42h,0.72h,3.52h,,,1459.37h,,,,
Production bug,EASYPAY-1456,DB cache is not refreshed,3/2/26,0.43h,0.35h,,,,,,1.07h,2.17h,0.00h,68.65h,,,1393.50h,,,,
Bug Sub-Task,EASYPAY-1455,Recovery process fails when related batches are not found for payment file(payment file was no split to batches),2/26/26,0.17h,0.00h,,,,,,16.40h,2.75h,2.03h,2.40h,,,1483.05h,,,,
,EASYPAY-1459,[FLM | Validate and Enrich] Creditor MIG address validation,3/6/26,161.88h,2.48h,,1.17h,,,,1.10h,5.27h,48.33h,20.27h,,,1290.73h,3.25h,,,
,EASYPAY-1453,Payment file recovery process fails when trying to update recovery status,2/26/26,0.00h,1.52h,,,,,,0.00h,19.70h,51.23h,0.00h,,,1483.03h,,,,
,EASYPAY-1452,Logging is missing when calling end-point,2/24/26,0.58h,23.88h,,,,,,0.00h,,2.03h,1.17h,,,1531.08h,,,,
,EASYPAY-1451,Update end point collecting payments for fraud screening,3/3/26,0.00h,66.12h,,,,,,0.00h,4.85h,19.50h,172.67h,,,1364.42h,,,,
,EASYPAY-1450,Update mapping to OFD broker end point - some fields should be nullable,,0.00h,73.87h,,,,,,0.00h,46.63h,1509.95h,,,,,,,,
,EASYPAY-1454,[FLM] ( LV )BOP code is not being validate,3/5/26,0.00h,142.52h,,,,,,26.82h,72.97h,72.98h,1.30h,,,1314.87h,,,,
,EASYPAY-1449,Add BH application to OFD broker whitelist,2/20/26,0.00h,16.10h,,,,,,0.00h,1.35h,0.00h,0.00h,,,1632.17h,,,,
,EASYPAY-1447,[DB] latest Star changes in Payments printouts slows query & stops Star App,2/24/26,0.07h,0.00h,,,,,,0.07h,24.68h,68.95h,30.78h,,,1529.47h,,,,
,EASYPAY-1489,Switch Instant payments to Gate environment 1 day prior to performance testing,,1657.00h,,,,,,,,,,,,,,,,,
,EASYPAY-1488,"Payment performance testing on Skyvaut in EE, LV,LT [18.03.2026]",3/18/26,624.87h,0.00h,,,,,,0.00h,,26.27h,2.45h,,,1003.45h,,,,
Production bug,EASYPAY-1446,RT1 flow: Invalid processing flow `RT` for message type `PACS_008` after Linux server patching,3/6/26,0.00h,0.65h,,,,,,4.93h,22.33h,338.28h,,,,1291.32h,,,,
Production bug,EASYPAY-1445,[IBank] No possibility to make instant payment when IP is enabled in limits,3/2/26,0.00h,17.05h,,,,,,0.08h,192.20h,0.00h,71.73h,,,1393.40h,,,,
,EASYPAY-1521,[SEPA Exchange] Receive and process TIPS admi.004 (Test only?),,1536.57h,,164.65h,,,,,,,,,,,,,,,
,EASYPAY-1442,[FLM | PaymentPriorityOutChannelCode - LV] - FPO - payment_priority not set as Express,3/3/26,17.53h,146.28h,,,,,,1.17h,50.13h,136.48h,1.45h,,,1368.25h,,,,
,EASYPAY-1438,Payment-form-service-ee - NullPointerException occurred inside PriorityAvailabilityLegacy.isAvailableForDate,3/6/26,16.75h,0.00h,0.00h,,,,,22.70h,2.40h,388.25h,0.00h,,,1291.32h,,,,
,EASYPAY-1441,[FLM | PaymentPriorityOutChannelCode] - FPO - LocalInstrument values not used for payment type determination,3/9/26,18.40h,146.22h,,,,,,1.22h,50.15h,137.97h,146.28h,,,1221.95h,,,,
Production bug,EASYPAY-1444,For some clients not possible to make defined payment,2/19/26,46.08h,0.00h,2.78h,,,,,0.00h,1.32h,14.72h,6.75h,,,1651.55h,,,,
,EASYPAY-1440,[FLM | Validate and Enrich] - Mass payment can be sent without instrId,3/3/26,20.77h,146.15h,,,,,,1.22h,0.35h,162.58h,23.77h,,,1369.75h,,,,
,EASYPAY-1439,"[FLM | Validate and Enrich] - FPO's - chrgBr - missing or not valid code, will be treated as SHAR",2/26/26,115.02h,146.08h,,,,,,1.30h,0.07h,66.62h,5.63h,,,1484.13h,,,,
Bug Sub-Task,EASYPAY-1437,PODM end-point is not reachable,2/24/26,0.00h,186.10h,,,,,,0.00h,,71.90h,31.75h,,,1530.38h,,,,
,EASYPAY-1435,[FLM | Validate and Enrich] Missing validations for FPO payments,3/30/26,0.00h,0.05h,1.10h,,,,,111.53h,343.23h,622.07h,26.37h,,,720.15h,,,,
,EASYPAY-1434,[FLM | Validate and Enrich] Missing validations for non-FPO payments,3/18/26,0.00h,0.18h,2.28h,0.47h,,,,24.88h,19.58h,838.23h,0.00h,,,1011.08h,,,,
,EASYPAY-1436,[FLM | Validate and Enrich] TEST FPO cdtrAgt - Name can be sent without BIC and Postal address,3/16/26,17.77h,121.20h,,153.83h,,,,192.53h,1.50h,284.85h,21.42h,,,1048.77h,,,,
,EASYPAY-1433,Test sending payments to fraud screening,,0.00h,1848.03h,,,,,,,,,,,,,,,,
,EASYPAY-1432,[Batch Handler] Null Cd in rgltryRptg gets error,2/10/26,0.00h,5.95h,,,,,,,,,,,,,1866.07h,,,
,EASYPAY-1430,[FLM | Validate and Enrich] Regulatory reporting (only for LV),3/18/26,0.00h,165.10h,7.02h,,,,,40.72h,7.55h,424.23h,221.03h,,,1006.68h,,,,
,EASYPAY-1431,Add grants PAYMENT_RO and PAYMENT_SUP on tables crebit.pc_field and crebit.pc_screen,2/13/26,0.25h,0.00h,,,,,,0.02h,1.05h,1.47h,74.33h,,,1795.45h,,,,
,EASYPAY-1429,GIRO: add label in Ibank and STAR,2/24/26,0.00h,0.60h,,,,,,0.00h,6.05h,18.67h,312.83h,,,1534.92h,,,,
,EASYPAY-1426,[FLM | PaymentPriorityOutChannelCode] Intragroup payment with currency != Euro returned as SEPGO not FPO,2/13/26,1.62h,66.47h,,,,,,27.08h,0.70h,1.07h,0.58h,,,1795.72h,,,,
,EASYPAY-1428,[FLM | Validate and Enrich] Creditor residence country (only for LV),2/25/26,0.00h,189.63h,6.72h,,,,,40.68h,7.53h,139.67h,7.37h,,,1504.92h,,,,
,EASYPAY-1427,"[FLM | Validate and Enrich] Creditor address (handling in EE, LV domestic payment)",2/23/26,0.00h,191.15h,71.27h,,,,,40.67h,7.53h,94.07h,3.08h,,,1554.82h,,,,
,EASYPAY-1513,[Investigation] Plan go-live activities,,1799.28h,,164.63h,,,,,,,,,,,,,,,
,EASYPAY-1532,[TEST] EURO1 Mandatory connectivity test,,0.02h,1624.28h,,,,,,339.78h,,,,,,,,,,
,EASYPAY-1425,"[FLM | Validate and Enrich] Ultimate party address (only for RTGS, FPO)",2/20/26,0.00h,191.90h,95.08h,,,,,40.65h,7.52h,20.83h,3.47h,,,1627.67h,,,,
Bug Sub-Task,EASYPAY-1423,Ultimate debtor name should be non-mandatory field for payment,2/13/26,17.77h,0.00h,,,,,,99.70h,26.65h,16.82h,30.52h,,,1795.75h,,,,
,EASYPAY-1424,[FLM | Validate and Enrich] Intermediary agent1 data (only for FPO),2/20/26,0.00h,191.92h,97.32h,,,,,40.63h,7.52h,24.37h,1.68h,,,1625.93h,,,,
,EASYPAY-1422,[FLM | Validate and Enrich] TEST Creditor agent BIC without name+address (FPO),3/30/26,0.02h,291.30h,0.08h,34.50h,,,,339.08h,1.50h,566.00h,41.67h,,,720.17h,,,,
,EASYPAY-1420,[Batch Handler] Error in batch handler when Debtor name is not filled in file,3/2/26,0.07h,47.62h,,,,,,130.97h,136.50h,0.47h,76.08h,,,1625.27h,,,,
,EASYPAY-1418,Update namespace used for reading fraud screening and status report Kafka topics,2/4/26,40.33h,0.25h,,,,,,0.00h,0.70h,0.00h,0.00h,,,2016.40h,,,,
,EASYPAY-1411,BH-data-manager: update API providing payment file data - include entitlement information,2/2/26,0.00h,0.72h,,,,,,0.00h,24.17h,66.98h,6.72h,,,2059.02h,,,,
Production bug,EASYPAY-1416,GIRO: can't edit giro payment name,2/3/26,0.00h,93.95h,,,,,,0.60h,26.10h,0.43h,0.12h,,,2038.15h,,,,
,EASYPAY-1401,DB: create procedure to write session information to the queue,2/5/26,0.00h,0.12h,,,,,,141.62h,46.60h,20.68h,7.32h,,,1987.00h,,,,
,EASYPAY-1407,Create scheduler to find entries in need of recovery for worker,3/3/26,23.65h,,821.68h,,,,,,,,,,,,1362.38h,,,
,EASYPAY-1409,CVUL0074647,3/6/26,46.75h,1.12h,,,,,,0.00h,363.18h,506.75h,0.00h,,,1291.33h,,,,
,EASYPAY-1410,CVUL0074545,3/6/26,46.77h,1.10h,,,,,,0.00h,363.18h,506.75h,0.00h,,,1291.33h,,,,
Bug Sub-Task,EASYPAY-1371,Payment type information (with all data under it) isn't taken correctly for mass payment,1/26/26,0.23h,,,,,,,,,,,,,,2228.33h,,,
,EASYPAY-1415,"[FLM | Validate and Enrich] TEST Ultimate party address without town, country (RTGS, FPO)",2/20/26,0.00h,524.17h,2.07h,,,,,0.00h,,50.33h,21.43h,,,1631.17h,,,,
,EASYPAY-1414,[FLM | Validate and Enrich] TEST Invalid country code,3/18/26,0.00h,410.15h,25.42h,18.58h,,,,0.00h,,362.22h,402.78h,,,1011.10h,,,,
,EASYPAY-1413,[FLM | Validate and Enrich] TEST Ultimate party name without address (European urgent to EU/EEA),2/19/26,0.00h,527.88h,,,,,,0.00h,,50.35h,4.13h,,,1648.45h,,,,
