Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Defect),Inward issue link (Defect),Inward issue link (Defect),Outward issue link (Defect),Outward issue link (Defect),Outward issue link (Defect),Inward issue link (Dependency),Inward issue link (Dependency),Inward issue link (Dependency),Inward issue link (Dependency),Inward issue link (Dependency),Inward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Implements),Outward issue link (Implements),Inward issue link (Issue split),Inward issue link (Issue split),Inward issue link (Issue split),Outward issue link (Issue split),Inward issue link (Problem/Incident),Outward issue link (Problem/Incident),Inward issue link (Reference),Outward issue link (Reference),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Inward issue link (Validation),Inward issue link (Validation),Inward issue link (Validation),Inward issue link (Validation),Inward issue link (Validation),Inward issue link (Validation),Inward issue link (Validation),Inward issue link (Validation),Inward issue link (Validation),Inward issue link (Validation),Inward issue link (Validation),Inward issue link (Validation),Inward issue link (Validation),Inward issue link (Validation),Inward issue link (Validation),Inward issue link (Validation),Outward issue link (Validation),Outward issue link (Validation),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (AI Involvement),Custom field (AI System),Custom field (ALM id),Custom field (AccTest Report Attached?),Custom field (Acceptance Criteria),Custom field (Activation Status),Custom field (Active Lead Time),Custom field (Activity´s impact on workforce (FTE/FTC)),Custom field (Additional Information),Custom field (Affected Apps),Custom field (Affected Architecture Domain),Custom field (Affected customers),Custom field (Agile Product Owner),Custom field (Aligned to Target Architecture),Custom field (Analyst),Custom field (Appointed Security Reviewer),Custom field (Approval given by),Custom field (Approved),Custom field (Approved By),Custom field (Architect),Custom field (Architecture Categorization),Custom field (Architecture Categorization Comments),Custom field (Architecture Description),Custom field (Architecture Description URL),Custom field (Architecture Status),Custom field (Architecture Status (IO)),Custom field (Architecture Tracker),Custom field (Architecture Verification),Custom field (Assessment),Custom field (Assessment Decision),Custom field (Assignees),Custom field (Associated DSA(s)),Custom field (Automation level),Custom field (BA/GF),Custom field (BA/GF - Architecture Domain),Custom field (BA/GF - Value Stream),Custom field (BAGF Head architect Security Survey),Custom field (BDC Role),Custom field (BI SM),Custom field (BI Service impact),Custom field (Benefit distribution method),Custom field (Benefit hypotheses),Custom field (Benefit receiver),Custom field (Bug cause),Custom field (Bug resolution),Custom field (Business Area/ Group Function),Custom field (Business Outcomes),Custom field (Business Priority),Custom field (Business Reporter),Custom field (Business Reviewer),Custom field (Business Rules),Custom field (Business Value),Custom field (Business area),Custom field (Business case),Custom field (Business description),Custom field (Business owner),Custom field (Business readiness),Custom field (Business tester(s)),Custom field (Business value),Custom field (Business value delivered),Custom field (CAS/Big Bet),Custom field (CP1 Checklist),Custom field (CP2 Checklist),Custom field (CP2 Status (IO)),Custom field (CP2 status),Custom field (CP3 confirmation),Custom field (CP3 status),Custom field (CP3 transition date),Custom field (CP4 Checklist),Custom field (CSAT Assignee),Custom field (CSAT Category),Custom field (CSAT Comment),Custom field (CSAT Rating Date),Custom field (CSAT Rating Type),Custom field (CSAT Recipient),Custom field (CSAT Score),Custom field (CSAT Trigger Date),Custom field (Candidates Refusement reason),Custom field (Candidates refused job offer),Custom field (Capitalized investment),Custom field (Certificates needed),Custom field (Challenges),Custom field (Change request prepared),Custom field (Channel),Custom field (Channels),Custom field (Checklist),Custom field (Cloud initiative),Custom field (Comment to Compliance),Custom field (Comments to estimated costs),Custom field (Compliance confirmation),Custom field (Compliance status),Custom field (Comprise functionality for the Savings Banks),Custom field (Conditions),Custom field (Confirmation),Custom field (Confirmation date),Custom field (Consequence if denied),Custom field (Corporate strategic focus area),Custom field (Cost Centre Baltic),Custom field (Cost Centre Sweden),Custom field (Cost Centre Sweden (old)),Custom field (Cost and ROI),Custom field (Cost of Delay),Custom field (Country),Custom field (Cross-area dependency),Custom field (Cross-portfolio dependency),Customer Request Type,Custom field (Customer complaint),Custom field (Cycle time),Custom field (DPIA full assessment),Custom field (DPIA pre-assessment),Custom field (Data steward),Custom field (Data strategy Focus Area),Custom field (Data strategy alignment),Custom field (Decision committees),Custom field (Delivering team/project),Custom field (Delivery ID),Custom field (Delivery Includes),Custom field (Delivery Responsible),Custom field (Delivery Type),Custom field (Dependencies),Custom field (Dependent on),Custom field (Detected in environment),Custom field (Developer),Custom field (Development),Custom field (Development Value Stream),Custom field (Development deadline),Custom field (Direct unit),Custom field (Distribution Dependencies),Custom field (DoD),Custom field (Drop version),Custom field (E2E Portfolio/CoE),Custom field (EST Benefit %),Custom field (Employee name),Custom field (Employee start date),Custom field (Enterprise Domain - Architecture Domain),Custom field (Epic Architect),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Owner),Custom field (Epic Sponsor),Custom field (Epic Status),Custom field (Epic Type),Custom field (Epic/Theme),Custom field (Estimated cost for aligning with Target Architecture),Custom field (Execution risk),Custom field (Exit criteria),Custom field (External cost (Non-IT)),Custom field (External issue ID),Custom field (External resources (current year)),Custom field (External resources (next year)),Custom field (Feature Flag),Custom field (Final Candidates Age),Custom field (Financial Service ID),Custom field (Financial frame),Custom field (Flagged),Custom field (GL code Baltic),Custom field (GL code Sweden),Custom field (Gender),Custom field (Go /No-Go decision),Custom field (Grand-parent link),Custom field (Groups),Custom field (HR Partner),Custom field (Health),Custom field (Health (IO)),Custom field (Health comment),Custom field (Health updated),Custom field (Hired),Custom field (Hired from),Custom field (IMA Change),Custom field (IMA Materiality),Custom field (IT Cost YTD (MSEK)),Custom field (IT Maintenance cost impact in other portfolios),Custom field (IT Maintenance cost impact within the portfolio),Custom field (IT Recovery plan updated),Custom field (IT testing deadline),Custom field (Implementation plan provided (when applicable)),Custom field (In scope),Custom field (Incident number),Custom field (Information Management comment),Custom field (Information Management impact),Custom field (Information Management requirements fulfilled),Custom field (Infrastructure Alignment),Custom field (Integrators),Custom field (Internal business resources (MSEK)),Custom field (Internal cost (Non-IT)),Custom field (Internal resources (current year)),Custom field (Internal resources (next year)),Custom field (Investment ID code),Custom field (Investment category),Custom field (Investment plan),Custom field (Investment type),Custom field (Invoice percentage),Custom field (Is Entry Criteria 1 fulfilled?),Custom field (Issue class),Custom field (Jira Projects in use),Custom field (Jira project admin/s),Custom field (Job Size),Custom field (Job category),Custom field (Job grade),Custom field (Justification),Custom field (Key risk impact),Custom field (Key risk reducing actions),Custom field (Key stakeholders),Custom field (LAT Benefit %),Custom field (LIT Benefit %),Custom field (Lead Architecture Domain),Custom field (Lead time),Custom field (Lead time),Custom field (Leading indicators),Custom field (Licenses & Other (current year)),Custom field (Licenses & Other (next year)),Custom field (Link to CP3 Checklist (old)),Custom field (Link to Final Architecture Decision),Custom field (Linked major incidents),Custom field (Location for position),Custom field (Main strategic focus area),Custom field (Migration Status),Custom field (Milestones),Custom field (Monitoring (Event handling) updated),Custom field (NPAP Approval (IO)),Custom field (NPAP Screening),Custom field (NPAP Screening (IO)),Custom field (NPAP review),Custom field (News Flash Delivery),Custom field (No Deployment Reason),Custom field (Nonfunctional Requirements),Custom field (Number of  External Applications),Custom field (Number of  Internal Applications),Custom field (Number of Interviews held),Custom field (Offering gap),Custom field (Operational Value Stream),Custom field (Opportunity Canvas),Custom field (Ordering team/project),Custom field (Organizations),Custom field (Original story points),Custom field (Out of scope),Custom field (PCI DSS Significant Change),Custom field (Parent Link),Custom field (Platform),Custom field (Portfolio),Custom field (Potential features),Custom field (Potential impact),Custom field (Problem description),Custom field (Process Type),Custom field (Product),Custom field (Product manager),Custom field (Progress),Custom field (Progress Status),Custom field (Project),Custom field (Project Manager),Custom field (Project Name),Custom field (Project Tag),Custom field (Project time code),Custom field (Purpose),Custom field (RAF Number),Custom field (RR/OE Value),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Ranking),Custom field (Recruiting Manager),Custom field (Recruitment service),Custom field (Recruitment type),Custom field (Regulatory compliance date),Custom field (Regulatory framework),Custom field (Regulatory requirement),Custom field (Replacement or New),Custom field (Request ID),Custom field (Request participants),Custom field (Requirement Type),Custom field (Requirements),Custom field (Requires deployment),Custom field (Resilience Target),Custom field (Review),Custom field (Risk Assessment),Custom field (Risk Assessment (IO)),Custom field (Role type),Custom field (SNAP),Custom field (SQA),Custom field (SWE Benefit %),Custom field (SWIC Release Item),Satisfaction score (out of 5),Custom field (School/University),Custom field (Security Architecture Status),Custom field (Security Architecture Status (IO)),Custom field (Security Decision Comments),Custom field (Security Requirements Description),Custom field (Security Review Decision),Custom field (Security Verification),Custom field (Service Impact Model updated),Custom field (Service Offering),Custom field (Service Offering),Custom field (Service Offering Information),Custom field (Service Offering Updated),Custom field (Services),Custom field (Severity),Custom field (Solution analysis),Custom field (Source),Sprint,Sprint,Sprint,Sprint,Custom field (Standard Operational Procedure),Custom field (Status Comment),Custom field (Status comment (IO)),Custom field (Story Points),Custom field (Strategic direction),Custom field (Strategic focus area),Custom field (Strategic initiative (old)),Custom field (Strategic targets),Custom field (Sub BA ID),Custom field (Sum Of Benefit %),Custom field (Swedbank's corporate service model),Custom field (System Test),Custom field (System documentation updated),Custom field (T-shirt size),Custom field (TDC),Custom field (TDC (IO)),Custom field (TDC Info),Custom field (Target effect area),Custom field (Target effect value),Custom field (Target end),Custom field (Target start),Custom field (Task Type),Custom field (Team),Custom field (Team name),Custom field (Team/Teams),Custom field (Test),Custom field (Test Summary Report approved by APO),Custom field (Test plan),Custom field (Test plan review),Custom field (Test type),Custom field (Tester),Custom field (Testing Level),Custom field (Time Criticality),Custom field (Time code status),Custom field (Timecode),Custom field (To Release),Custom field (Topic),Custom field (Total estimated cost (current year)),Custom field (Total estimated cost (next year)),Custom field (Total estimated effect (MSEK)),Custom field (Traditional AD or New DSAD),Custom field (Transformation plan),Custom field (User Experience),Custom field (VDE Project),Custom field (VDE name),Custom field (VS/VDE),Custom field (Value Stream),Custom field (Value description),Custom field (Value realization),Custom field (Value stream ID),Custom field (Verified in Pre-Prod),Custom field (Weighted Shortest Job First (WSJF)),Custom field (Workforce Plan (WFP) comparison to 2021 activities),Custom field (X-code),Custom field (Zephyr Teststep),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Batch handler: test file parsing and sending payments to FLM,EASYPAY-883,2707361,,Story,Done,EASYPAY,Payments Baltic - e-PAY,software,p997afs,Payments Baltic - e-PAY,,Major,Done,,p998hdf,p998hdf,13.03.2025 13:35,31.03.2026 07:43,29.04.2026 10:58,13.02.2026 14:06,,,,,,,,,,,,,,,,,,,,,,0,M1_Pilot_SGW,,,"*Why:* Test file parsing and storing single payments
*When:* pre-condition: SGW is publishing to Kafka topic EASYPAY-827

And testing EASYPAY-882 is finished

*Where:* 
*What:*

Test file parsing:
 * Split file to batches and store batch information EASYPAY-847 PAYME-1040 EASYPAY-942
 * Validate batches EASYPAY-899
 * Split batch to payments and store payment information EASYPAY-843
 * Create Kafka topic and publish to it EASYPAY-842 EASYPAY-950 EASYPAY-1169 EASYPAY-1213 EASYPAY-1215{-}{-}
 * Update batch and payment file status EASYPAY-938  EASYPAY-1028 EASYPAY-1063

When testing test that correct status codes are used EASYPAY-1024

Process description [https://wiki.swedbank.net/spaces/DPAY/pages/2364834233/Payment+file+parsing+process]",,p998hdf,,,,,,,,,,,,,,,,,,,,,,,,EASYPAY-1244,,,,,,,,VOID-36,VOID-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASYPAY-847,EASYPAY-888,EASYPAY-843,EASYPAY-900,EASYPAY-842,PAYME-1039,EASYPAY-874,EASYPAY-899,EASYPAY-938,EASYPAY-942,EASYPAY-950,EASYPAY-983,EASYPAY-1169,EASYPAY-1213,EASYPAY-1215,EASYPAY-1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,,,,,,,,,,,,Ignore field - to be decommissioned,,,,,,,,,,,,,,No link to Security Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"* *Acceptance criteria* met, i.e. functionality works as expected.
 * Clear *testing summary* provided: what, where, and what's the result.
 * *BAs* updated user guides and describe the delivery in the data dictionary, if relevant.
 * *PO* accepted the item.
 * *Documentation* as a separate task with separate estimation",,,,,,,,,VDE19-145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,Not Started,,,,,,,,,,,,,,,,,,,,,,,,Not specified,,,,,,,,,,,,,,,Not yet decided,,Not yet requested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hu6033:",9223372036854775807,,,,,,,,,,,,,,NA,,,,,,,,,,,Not reviewed,,,No link to Security Requirements Description,,Not decided,,,,,,,,,,,,,,,,,13.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New DSAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kafka requires non-mandatory fields to be filled for payment,EASYPAY-1338,3067569,2707361,Bug Sub-Task,Done,EASYPAY,Payments Baltic - e-PAY,software,p997afs,Payments Baltic - e-PAY,,Major,Done,,p998hdf,p998hdf,02.01.2026 08:31,31.03.2026 07:27,29.04.2026 11:00,04.02.2026 15:49,,,,,,,,,,,,,,,,,,,,,,0,,,,"There are some fields in Kafka schema, that are mandatory only if their parent field is provided. When publishing Payment information to Kafka currently they are still required (no problems with mass payment header - as all these fields are under CreditTransferTransactionInformation:
 # All account identification - even if IBAN is provided, Kafka expects other identification to be provided  !image-2026-01-02-09-26-29-958.png!
 # Party identification - even if PrivateIdentification is provided, Kafka expects OrganisationIdentification to be provided  !image-2026-01-02-09-28-11-567.png!
 # Purpose is required by Kafka  !image-2026-01-02-09-29-03-456.png!
 # Structured remittance information is required by Kafka even if Unstructured is provided:  !image-2026-01-02-09-31-00-585.png!
 # Service level code is required by Kafka, even if it Service level was not provided: !image-2026-01-14-09-42-25-718.png!",,p997bay,p997cay,p998hdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02.01.2026 08:26;p998hdf;image-2026-01-02-09-26-29-958.png;https://jira.swedbank.net/secure/attachment/1821301/image-2026-01-02-09-26-29-958.png","02.01.2026 08:27;p998hdf;image-2026-01-02-09-27-50-093.png;https://jira.swedbank.net/secure/attachment/1821300/image-2026-01-02-09-27-50-093.png","02.01.2026 08:28;p998hdf;image-2026-01-02-09-28-11-567.png;https://jira.swedbank.net/secure/attachment/1821099/image-2026-01-02-09-28-11-567.png","02.01.2026 08:29;p998hdf;image-2026-01-02-09-29-03-456.png;https://jira.swedbank.net/secure/attachment/1821098/image-2026-01-02-09-29-03-456.png","02.01.2026 08:31;p998hdf;image-2026-01-02-09-31-00-585.png;https://jira.swedbank.net/secure/attachment/1821097/image-2026-01-02-09-31-00-585.png","14.01.2026 08:42;p998hdf;image-2026-01-14-09-42-25-718.png;https://jira.swedbank.net/secure/attachment/1829981/image-2026-01-14-09-42-25-718.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,,,,,,,,,,,,Ignore field - to be decommissioned,,,,,,,,,,,,,,No link to Security Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"* *Acceptance criteria* met, i.e. functionality works as expected.
 * Clear *testing summary* provided: what, where, and what's the result.
 * *BAs* updated user guides and describe the delivery in the data dictionary, if relevant.
 * *PO* accepted the item.
 * *Documentation* as a separate task with separate estimation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,Not Started,,,,,,,,,,,,,,,,,,,,,,,,Not specified,,,,,,,,,,,,,,,Not yet decided,,Not yet requested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hu603s:",9223372036854775807,,,,,,,,,,,,,,NA,,,,,,,,,,,Not reviewed,,,No link to Security Requirements Description,,,,,,,,,,,,,,,,,,,3.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New DSAD,,,,,,,,,,,,,,,"04.02.2026 15:49;p997cay;Tested with both file types: pain.001.001.09 and  pain.001.001.03;;;","04.02.2026 15:49;p997bay;Tested with pain.001.001.09 and pain.001.001.03.  (/);;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incorrect creditor postal address  conversion  for pain.001.001.03,EASYPAY-1369,3094114,2707361,Bug Sub-Task,Done,EASYPAY,Payments Baltic - e-PAY,software,p997afs,Payments Baltic - e-PAY,,Major,Done,p997cay,p997cay,p997cay,23.01.2026 13:01,31.03.2026 07:27,29.04.2026 11:00,03.02.2026 10:25,,,,,,,,,,,,,,,,,,,,,,0,,,,"Now in kafka message structure which is published into payment. Order topic, doesn't follow postal address conversion  rules when payment file is pain.001.001.03(the issue was found with mass payment file)

 

*Expected result:*
 * If no address line and no town are provided -> save all other provided address data t{*}o address line (concatenation rules below){*}
 * If no address line and no country are provided -> save all other provided address data to *address line (concatenation rules below)*

*Concatenate address fields in this order:*
 # Country
 # Country sub-division
 # Municipality
 # Town name
 # Town area
 # Post code
 # Post box
 # Street name
 # Building number
 # ""-"" Apartment number
 # Floor
 # House name
 # Department
 # Subdepartment

{*}Actual result{*}:

creditor address information from file

!image-2026-01-23-13-52-47-440.png|width=367,height=146!

 

the Kafka message structure

!image-2026-01-23-14-00-03-527.png|width=429,height=261!",,p997cay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASYPAY-950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23.01.2026 12:52;p997cay;image-2026-01-23-13-52-47-440.png;https://jira.swedbank.net/secure/attachment/1839573/image-2026-01-23-13-52-47-440.png","23.01.2026 13:00;p997cay;image-2026-01-23-14-00-03-527.png;https://jira.swedbank.net/secure/attachment/1839572/image-2026-01-23-14-00-03-527.png","02.02.2026 16:10;p997cay;image-2026-02-02-17-10-30-540.png;https://jira.swedbank.net/secure/attachment/1848300/image-2026-02-02-17-10-30-540.png","03.02.2026 07:54;p997cay;image-2026-02-03-08-54-12-734.png;https://jira.swedbank.net/secure/attachment/1848375/image-2026-02-03-08-54-12-734.png","03.02.2026 07:55;p997cay;image-2026-02-03-08-55-49-632.png;https://jira.swedbank.net/secure/attachment/1848374/image-2026-02-03-08-55-49-632.png","03.02.2026 08:11;p997cay;image-2026-02-03-09-11-39-526.png;https://jira.swedbank.net/secure/attachment/1848390/image-2026-02-03-09-11-39-526.png","03.02.2026 08:26;p997cay;image-2026-02-03-09-26-35-086.png;https://jira.swedbank.net/secure/attachment/1848389/image-2026-02-03-09-26-35-086.png","03.02.2026 08:44;p997cay;image-2026-02-03-09-44-44-443.png;https://jira.swedbank.net/secure/attachment/1848613/image-2026-02-03-09-44-44-443.png","03.02.2026 08:54;p997cay;image-2026-02-03-09-54-27-779.png;https://jira.swedbank.net/secure/attachment/1848612/image-2026-02-03-09-54-27-779.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,,,,,,,,,,,,Ignore field - to be decommissioned,,,,,,,,,,,,,,No link to Security Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"* *Acceptance criteria* met, i.e. functionality works as expected.
 * Clear *testing summary* provided: what, where, and what's the result.
 * *BAs* updated user guides and describe the delivery in the data dictionary, if relevant.
 * *PO* accepted the item.
 * *Documentation* as a separate task with separate estimation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,Not Started,,,,,,,,,,,,,,,,,,,,,,,,Not specified,,,,,,,,,,,,,,,Not yet decided,,Not yet requested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hu603u:i",9223372036854775807,,,,,,,,,,,,,,NA,,,,,,,,,,,Not reviewed,,,No link to Security Requirements Description,,,,,,,,,,,,,,,,,,,3.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New DSAD,,,,,,,,,,,,,,,"02.02.2026 16:11;p997cay;*Testing results*

 
 * have address line and tonwName + other data

*!image-2026-02-03-09-54-27-779.png|width=606,height=183!*
 * have address line and country + other data

 

!image-2026-02-03-09-44-44-443.png|width=431,height=134!
 * have address line but do not have town name and country ** 

 

*!image-2026-02-03-09-26-35-086.png|width=445,height=144!*
 * have country and town  name but do not have address line

*!image-2026-02-03-09-11-39-526.png|width=478,height=161!*

 
 * with all data

!image-2026-02-03-08-55-49-632.png|width=522,height=161!
 * without address line and town or country

!image-2026-02-02-17-10-30-540.png|width=750,height=193!;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payment type information (with all data under it) isn't taken correctly for mass payment,EASYPAY-1371,3098216,2707361,Bug Sub-Task,Abandoned,EASYPAY,Payments Baltic - e-PAY,software,p997afs,Payments Baltic - e-PAY,,Major,Won't Do,,p997cay,p997cay,26.01.2026 13:16,31.03.2026 07:27,29.04.2026 11:00,26.01.2026 13:31,,,,,,,,,,,,,,,,,,,,,,0,,,,"According to the requirements

!image-2026-01-26-14-10-08-187.png|width=708,height=71!

 

Now when data is provided only in Credit transfer transaction information block that data is not reflected in Kafka topic payment. orders message correctly for mass payment

*Mass payment file information* 

!image-2026-01-26-14-14-16-102.png|width=382,height=346!

*Kafka message*

!image-2026-01-26-14-14-39-449.png|width=409,height=169!

 

 ",,p997cay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASYPAY-950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26.01.2026 13:10;p997cay;image-2026-01-26-14-10-08-187.png;https://jira.swedbank.net/secure/attachment/1841244/image-2026-01-26-14-10-08-187.png","26.01.2026 13:14;p997cay;image-2026-01-26-14-14-16-102.png;https://jira.swedbank.net/secure/attachment/1841243/image-2026-01-26-14-14-16-102.png","26.01.2026 13:14;p997cay;image-2026-01-26-14-14-39-449.png;https://jira.swedbank.net/secure/attachment/1841242/image-2026-01-26-14-14-39-449.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,,,,,,,,,,,,Ignore field - to be decommissioned,,,,,,,,,,,,,,No link to Security Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"* *Acceptance criteria* met, i.e. functionality works as expected.
 * Clear *testing summary* provided: what, where, and what's the result.
 * *BAs* updated user guides and describe the delivery in the data dictionary, if relevant.
 * *PO* accepted the item.
 * *Documentation* as a separate task with separate estimation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,Not Started,,,,,,,,,,,,,,,,,,,,,,,,Not specified,,,,,,,,,,,,,,,Not yet decided,,Not yet requested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hu603v:",9223372036854775807,,,,,,,,,,,,,,NA,,,,,,,,,,,Not reviewed,,,No link to Security Requirements Description,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New DSAD,,,,,,,,,,,,,,,"26.01.2026 13:31;p997cay;decided to leave as it is for now;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
