Type,Key,Summary,Resolution Date,Ready for patch [deleted],Open,Ready for Development,Backlog,On Hold,Waiting test deploy,To Do,Ready for Refinement,In Progress,In Code Review,Acceptance Testing,Ready for Deploy,Testing,Ready for Testing,Code review,Discovery,Delivery,Canceled,Done,Cancelled
,GUI-3780,[Accessibility] Provide possibility to connect heading for cells inside expanded row on mobile (expandable invert - plugins),,,4027.62h,,,,,,,,,,,,,,,,,,
,GUI-3779,[Accessibility] Connect label+value for text-only ui-field,,,4027.82h,,,,,,,,,,,,,,,,,,
,GUI-3777,Tabs keyboard and focus navigation issues,,,3868.25h,,,,,,,,,,,,,,,,162.87h,,
,GUI-3765,Wrong place for error while using checkboxes in a several ui-fields,,,4151.58h,,,,,,,,,,,,,,,,,,
,GUI-3764,Implement multilingual translations for Highcharts default labels,,,4170.83h,,,,,,,,,,,,,,,,,,
,GUI-3758,UI-dropdown cursor behavior should match native select elements,,,1939.22h,,,,,,,,,,,,,,,,2279.70h,,
,GUI-3757,<td> element styling in table header,,,1679.47h,,,,,,,,,,,,,,,,2540.30h,,
,GUI-3756,Warnings in UIDocs,,,4222.02h,,,,,,,,,,,,,,,,,,
,GUI-3753,Clear button of ui-searchinput without ui-field breaks out of visual container,,,4294.22h,,,,,,,,,,,,,,,,,,
,GUI-3752,Dropdown inside of input group pushing input out of bounds,,,2645.38h,,,,,,,,,,,,,,,,1650.98h,,
,GUI-3751,Restrict !important usage in stylelint,,,4321.02h,,,,,,,,,,,,,,,,,,
,GUI-3732,ui-duplicate should be visible to screen readers as a labelled form group,,,4529.67h,,,,,,,,,,,,,,,,,,
,GUI-3729,ui-textcounter issues in Voiceover and NVDA,,,4534.05h,,,,,,,,,,,,,,,,,,
,GUI-3727,Fix language dropdown focus,,,0.18h,,,,,,,,,,,,,,,,4627.97h,,
,GUI-3725,Create general solution for customElements.whenReady(),,,4631.55h,,,,,,,,,,,,,,,,,,
,GUI-3722,"Add loading ""skeleton"" or placeholder in header when data is not ready",,,4656.27h,,,,,,,0.22h,,,,,,,,,0.00h,,
,GUI-3720,ui field behaviour (checkbox),,,4674.85h,,,,,,,,,,,,,,,,,,
,GUI-3718,Select+units element hides selected text,,,121.43h,,,,,,,,,,,,,,,,4555.20h,,
,GUI-3715,Changelog issues,,,1702.35h,,,,,,,,,,,,,,,,2999.48h,,
,GUI-3711,Allow to provide an external element as a label for a fieldset in ui-field,,,4794.42h,,,,,,,,,,,,,,,,,,
,GUI-3706,Wizard - Template structure updates and new examples,,,4820.13h,,,,,,,,,,,,,,,,,,
,GUI-3703,Update highcharts to the latest version,,,4871.43h,,,,,,,,,,,,,,,,,,
,GUI-3699,Date field accessibility - date format info,,,0.33h,,,,,,,,,,,,,,,,4894.42h,,
,GUI-3676,Adding new icon to sprites,,,5157.08h,,,,,,,,,,,,,,,,,,
,GUI-3675,Searchinput autocomplete field has too much padding,,,22.70h,,,,,,,,,,,,,,,,5135.18h,,
,GUI-3670,"word-wrap is deprecated, replaced with never altenative",,,5183.67h,,,,,,,,,,,,,,,,,,
,GUI-3660,Change button tabbing order on mobile,,,0.08h,,,,,,,,,,,,,,,,5294.02h,,
,GUI-3659,UI Toggle Tabbar cannot be tabbed through,,,5298.57h,,,,,,,,,,,,,,,,,,
,GUI-3657,UI Link doesn't have margin in news feed,,,3647.43h,,,,,,,,,,,,,,,,1651.48h,,
,GUI-3654,Input fields lack spacing when divided into sections,,,69.88h,,,,,,,,,,,,,,,,5231.83h,,
,GUI-3652,Dropdown A11Y Improvements,,,502.27h,,,,,,,,,,,,,,,,4819.58h,,
,GUI-3648,Tabs can't be hidden,,,5344.78h,,,,,,,,,,,,,,,,,,
,GUI-3646,Statistics block - New component,,,5371.02h,,,,,,,,,,,,,,,,,,
,GUI-3645,Steps block - New block component,,,238.43h,,,,,,,,,,,,,,,,5132.68h,,
,GUI-3643,Avatar block - New block component,,,307.68h,,,,,,,,,,,,,,,,5063.50h,,
,GUI-3642,Image block compact - New block component,,,238.55h,,,,,,,,,,,,,,,,5132.68h,,
,GUI-3641,Image block jumbo - New ui-offer layout,,,238.60h,,,,,,,,,,,,,,,,5132.68h,,
,GUI-3640,Award card - Updates to ui-award component,,,5371.40h,,,,,,,,,,,,,,,,,,
,GUI-3639,Avatar card - Additional infobox layout,,,238.93h,,,,,,,,,,,,,,,,5132.72h,,
,GUI-3638,Calculator card - Updates to ui-calculator component,,,4897.37h,,,,,,,330.80h,24.83h,118.73h,,,,,,,,,
,GUI-3637,Info card - Updated infobox component,,,239.22h,,,,,,,,,,,,,,,,5132.72h,,
,GUI-3636,Feature card - New ui-product layout,,,239.28h,,,,,,,,,,,,,,,,5132.72h,,
,GUI-3635,Comparison card - Updated card component,,,239.35h,,,,,,,,,,,,,,,,5132.72h,,
,GUI-3625,Text - New text classes,,,140.60h,,,,,,,,,,,,,,,,5232.63h,,
,GUI-3624,Disclaimer - New text component,,,332.45h,,,,,,,,,,,,,,,,5040.87h,,
,GUI-3623,Section heading - New text component,,,699.43h,,,,,,,,,,,,,,,,4673.93h,,
,GUI-3620,Text block - New layout component,,,167.55h,,,,,,,,,,,,,,,,5232.65h,,
,GUI-3615,ui-message should cut too long labels,,,5466.57h,,,,,,,,,,,,,,,,,,
,GUI-3614,Image in ui-offer is being cropped despite being correct size,,,4493.67h,,,,,,,,,,,,,,,,976.95h,,
,GUI-3612,Last element in jump-outs,,,5491.13h,,,,,,,,,,,,,,,,,,
,GUI-3609,Branding bar causes a permanent scroll bar on a page when using ui-layout,,,5497.07h,,,,,,,,,,,,,,,,,,
,GUI-3602,Debit cards: fix Link purpose (in context),,,2115.95h,,,,,,,0.00h,,,,,,,,,3259.80h,,
,GUI-3600,ui-salesribbon and ui-link,,,1.73h,,,,,,,,,,,,,,,,5518.78h,,
,GUI-3596,Limiting input field for slider,,,2032.23h,,,,,,,26.83h,,,,,,,,,3480.67h,,
,GUI-3595,Slider rounding issue,,,4058.23h,,,,,,,,,,,,,,,,1481.53h,,
,GUI-3594,ui-amount and ui-currency doing the same things and not corresponds to the titles,,,5541.95h,,,,,,,,,,,,,,,,,,
,GUI-3588,"In composed fields with select or ui-dropdown coming second, focusing it slightly moves the first item",,,5705.57h,,,,,,,,,,,,,,,,,,
,GUI-3587,Add user-configurable gap to ui-placement,,,5706.20h,,,,,,,,,,,,,,,,,,
,GUI-3585,phonefield popover redesign update,,,5708.50h,,,,,,,,,,,,,,,,,,
,GUI-3583,Mandatory inputs - Accessibility updates,,,575.57h,,,,,,,,,,,,,,,,5159.35h,,
,GUI-3580,Checkbox misaligned in Consolidated Payment page,,,116.55h,138.90h,,,,,,23.67h,,,,,,,,,5543.55h,,
,GUI-3579,Misaligned dateranges,,,116.73h,161.82h,,,,,,0.73h,,,,,,,,,5543.55h,,
,GUI-3574,Field hint linking with aria-describedby,,,1033.57h,,,,,,,,,,,,,,,,4819.23h,,
,GUI-3571,Page ''Partners' offers'' accessibility issues,,,3651.45h,,,,,,,,,,,,,,,,2204.23h,,
,GUI-3565,Fix incorrectly passing ui-comparison-cards test,,,5973.22h,,,,,,,,,,,,,,,,,,
,GUI-3558,Insufficient contrast for ui-message errors,,,1226.98h,,,,,,,,,,,,,,,,4819.60h,,
,GUI-3556,Adjust color/other property names for the fields,,,6136.32h,,,,,,,,,,,,,,,,,,
,GUI-3555,Create new functionality for fields: icon on the left; erase button on the right,,,2660.22h,,,,,,,,,,,,,,,,3476.23h,,
,GUI-3554,Update link examples in UI docs,,,6138.43h,,,,,,,,,,,,,,,,,,
,GUI-3553,Fix refined monthpicker layout in fluid layout,,,6138.73h,,,,,,,,,,,,,,,,,,
,GUI-3552,Create constants for utility css classes,,,6141.50h,,,,,,,,,,,,,,,,,,
,GUI-3551,ESlint method ordering in WebComponent classes,,,6141.83h,,,,,,,,,,,,,,,,,,
,GUI-3540,Warn about hardcoded pixel values instead of CSS variables,,,6307.80h,,,,,,,,,,,,,,,,,,
,GUI-3537,Tooltips are not working on uidocs.swedbank.net/guidelines-typography-shared.html,,,6328.32h,,,,,,,,,,,,,,,,,,
,GUI-3533,Fix heading of table's column with arrow buttons in expandable plugin,,,3474.90h,,,,,,,,,,,,,,,,2998.92h,,
,GUI-3527,Launching personal offers,,,1915.78h,,,,,,,,,,,,,,,,4633.40h,,
,GUI-3514,[Accessibility] ui-table sortable view broken (investigation),,,2589.02h,,,,,,,261.55h,0.33h,,,,,,,,3888.72h,,
,GUI-3513,[Accessibility] Add aria-labels to ui-feedback ratings,,,6740.13h,,,,,,,,,,,,,,,,,,
,GUI-3509,Margin is absent for ui-table inside ui-comparison-cards,,,168.50h,,,,,,,,,,,,,,,,6644.87h,,
,GUI-3507,If ui-calendar datepicker doesn't have current day it is impossible to focus,,,3480.77h,,,,,,,,,,,,,,,,3334.52h,,
,GUI-3505,add ui-slider hidden units?,,,2016.85h,,,,,,,,,,,,,,,,4819.30h,,
,GUI-3503,ui-asset needs to use a fieldset and legend,,,6838.82h,,,,,,,,,,,,,,,,,,
,GUI-3502,Problems with menu dropdown on mobile layout,,,6884.58h,,,,,,,,,,,,,,,,,,
,GUI-3492,Refactor form code quality issues,,,6908.63h,,,,,,,,,,,,,,,,,,
,GUI-3491,Add loader to ui-link with button functionality,,,6979.15h,,,,,,,,,,,,,,,,,,
,GUI-3490,ui-button inside ui-asset,,,6123.27h,,,,,,,,,,,,,,,,859.30h,,
,GUI-3487,Problems with menu dropdown on mobile layout,,,0.15h,79.77h,,,,,,89.97h,,,,,,,,,6885.57h,,
,GUI-3483,<ui-tooltip> bug inside <p> tag,,,7147.55h,,,,,,,,,,,,,,,,,,
,GUI-3482,Add support for more types in UIField.buildControlFromConfig,,,7151.15h,,,,,,,,,,,,,,,,,,
,GUI-3481,Remove another arrow-key navigation related to ui-autocomplete,,,2333.78h,,,,,,,,,,,,,,,,4819.77h,,
,GUI-3477,"ui-duplicate could be optional on init, add allow-empty attribute",,,7173.78h,,,,,,,,,,,,,,,,,,
,GUI-3475,ui-field not recognised as distinct group by NVDA,,,456.77h,,,,,,,,,,,,,,,,6735.95h,,
,GUI-3473,native window.scrollTo is overriden by prototype.js what cause upredictable scrolling behaviour,,,7198.40h,,,,,,,,,,,,,,,,,,
,GUI-3472,ui-duplicate do not parse brackets correcly on page init,,,7198.53h,,,,,,,,,,,,,,,,,,
,GUI-3470,Fix Accessibility issues for Feedback widget (audit findings),,,7074.78h,,,,,,,52.17h,91.15h,,,,,,,,,,
,GUI-3464,Duplicatable pre-filled form radiobutton wrong values,,,7242.00h,,,,,,,,,,,,,,,,,,
,GUI-3462,"When toggling a table row through JS by its id, hash value gets picked up instead",,,7245.97h,,,,,,,,,,,,,,,,,,
,GUI-3461,Clicking a nested element in an expandable row fails to toggle it,,,7246.08h,,,,,,,,,,,,,,,,,,
,GUI-3460,"On iOS with Bluetooth keyboard, contact modal in the header cannot be tabbed into",,,4404.38h,,,,,,,22.82h,,,,,,,,,2819.08h,,
,GUI-3459,Plain list (only if used in calculators !) - design updates,,,7247.62h,,,,,,,,,,,,,,,,,,
,GUI-3458,Header/Navigation - 200% zoom,,,7248.10h,,,,,,,,,,,,,,,,,,
,GUI-3457,Add allow-empty option for ui-monthpicker,,,7248.20h,,,,,,,,,,,,,,,,,,
,GUI-3456,Product card - 200% zoom,,,7249.08h,,,,,,,,,,,,,,,,,,
,GUI-3450,Links in curtain header don't work (curtain with actions),,,2761.77h,,,,,,,,,,,,,,,,4556.98h,,
,GUI-3438,"""Skip to main content"" link to be visible for keyboard users when focused",,,1802.35h,,,,,,,,,,,,,,,,5564.80h,,
,GUI-3436,ui-chip popover does not fit in mobile view,,,7393.78h,0.00h,,,,,,16.68h,0.00h,,0.00h,,,,,,0.00h,,
,GUI-3426,ui-slider validation for max disabling,,,7507.08h,,,,,,,,,,,,,,,,,,
,GUI-3425,Openshift migrate from deployment config to deployment vol.3 (clean-up),,,0.00h,0.00h,,,,,,21.40h,,,,,,,,,7486.63h,,
,GUI-3422,Required filed in legal block,,,3960.62h,,,,,,,,,,,,,,,,3548.13h,,
,GUI-3420,Update badge font according redesign,,,4053.93h,,,,,,,,,,,,,,,,3474.75h,,
,GUI-3417,Mobile nav submenu closing with ESC closes primary menu too,,,7559.48h,,,,,,,,,,,,,,,,,,
,GUI-3416,Blue square when opening IB menu on mobile,,,4201.38h,,1.20h,,,,,27.62h,,,,,,,,,3330.88h,,
,GUI-3414,Create custom event for ui-tabs when changing to different tab,,,7577.82h,,,,,,,,,,,,,,,,,,
,GUI-3410,[Accessibility] Scroll to and announce form errors (investigation),,,4105.48h,,,,,,,95.68h,,,,,,,,,3526.03h,,
,GUI-3409,Adjust ui-section to have the same styling as section.frame,,,4198.68h,,,,,,,,,,,,,,,,3548.10h,,
,GUI-3406,long words get cropped (heading in ui-offer),,,196.03h,3.45h,,,,,,0.00h,2.15h,,,,,,,,7555.80h,,
,GUI-3403,To put more examples about fields in UI DOCS,,,3049.22h,,,,,,,,,,,,,,,,4819.22h,,
,GUI-3402,ui-timepicker needs attention,,,7869.02h,,,,,,,,,,,,,,,,,,
,GUI-3393,Create currency layout for ui-dropdown,,,8014.75h,,,,,,,,,,,,,,,,,,
,GUI-3392,Refactor ui-icon to Typescript,,,7854.65h,,,,,,,134.73h,28.87h,,,,,,,,,,
,GUI-3389,Create 'rebuild-indexes' functionality for cloneable table,,,8036.95h,,,,,,,,,,,,,,,,,,
,GUI-3383,Modal backdrop is not rendered when called with modal.open(),,,5134.47h,,,,,,,,,,,,,,,,3019.23h,,
,GUI-3381,Unable to select dropdown element on mobile device,,,72.03h,,,,,,,,,,,,,,,,8087.07h,,
,GUI-3376,Award updates,,,3163.55h,,,,,,,,,,,,,,,,5063.55h,,
,GUI-3366,Menu broken on Android Firefox,,,4582.42h,,,,,,,1.63h,,,,,,,,,3667.92h,,
,GUI-3362,Language selector a11y problems,,,603.67h,,,,,,,,,,,,,,,,7727.27h,,
,GUI-3358,Input auto-focus issues for ui-tabs using 'dropdown' mode on iPhone (investigation),,,4700.95h,,,,,,,138.13h,0.00h,0.33h,,,,,,,3527.55h,,
,GUI-3347,Strict ESLint rules for TypeScript,,,502.60h,,,,,,,,,,,,,,,,8011.22h,,
,GUI-3332,Headings hierarchy on the page,,,4557.92h,,,,,,,,,,,,,,,,3984.00h,,
,GUI-3330,PFM chips,,,8542.30h,,,,,,,,,,,,,,,,,,
,GUI-3310,Investigate why checked for false in ui-signing,,,5565.37h,,,,,,,,,,,,,,,,3019.45h,,
,GUI-3304,Find the way ESbuild respect tsconfig.json,,,80.17h,,,,,,,,,,,,,,,,8513.43h,,
,GUI-3299,Create eslint rule array-type generic based on guidelines,,,696.62h,,,,,,,,,,,,,,,,8011.27h,,
,GUI-3295,Section with legal block has bottom padding which white color,,,5153.08h,,,,,,,3.47h,,,,,,,,,3669.58h,,
,GUI-3294,App buttons (Placeholder),,,170.53h,,,,,,,,,,,,,,,,8657.32h,,
,GUI-3293,Notifications Popover adjustments,,,170.63h,,,,,,,,,,,,,,,,8657.35h,,
,GUI-3284,"Need to analyze Non-Life Insurance, Life Insurance and TCM (Investment) audit finding files",,,87.13h,,,,,,,,,,,,,,,,8832.90h,,
,GUI-3277,Inputfields error handling accessibility improvements,,,505.78h,,,,,,,,,,,,,,,,8537.70h,,
,GUI-3276,Combobox (listbox) accessibility improvements,,,2974.77h,0.00h,,,,,,163.60h,,,,,,,,,5905.37h,,
,GUI-3275,Read out numbers by screen reader improvements,,,1799.65h,,,,,,,,,,,,,,,,7244.58h,,
,GUI-3257,ui-slides analytics,,,177.18h,0.00h,,785.58h,,,,3.10h,,,,,,,,,8251.97h,,
,GUI-3252,Create Accessibility section in the top level menu,,,0.00h,0.00h,,,,,,0.12h,,,,,,,,,9335.87h,,
,GUI-3247,[iBank][Corporate] Chat icon is not visible when chat is minimized and iBank page gets refreshed during Live Chat,,,0.00h,,,,,,,,,,,,,,,,9502.40h,,
,GUI-3246,Investigate is this possible to achieve with tables,,,6501.57h,,,,,,,,,,,,,,,,3019.50h,,
,GUI-3245,Change twitter icon to X in footer LT swedbank,,,1296.35h,,,,,,,,,,,,,,,,8251.98h,,
,GUI-3239,Mouse pointer issue on logo in header,,,22.50h,,,,,,,,,,,,,,,,9646.18h,,
,GUI-3235,Problem with ui-navtoggle backdrop,,,5829.25h,,,,,,,22.33h,,,,,,,,,3864.52h,,
,GUI-3234,Breadcrumbs bugs 2,,,1603.30h,0.37h,,,0.00h,,,0.12h,17.98h,721.92h,,0.00h,,,,,7241.95h,,
,GUI-3233,Pega tip changes,,,9503.30h,,,,,,,,,,,,,,,,257.50h,,
,GUI-3232,Pega offer and tip card updates,,,9760.82h,,,,,,,,,,,,,,,,,,
,GUI-3226,Data attributes from ui-option-* are transformed without data- prefix,,,9861.50h,,,,,,,,,,,,,,,,,,
,GUI-3224,Functional online identifiers (cookies) category creation,,,18.92h,,,,,,,,,,,,,,,,9864.23h,,
,GUI-3221,Carousel adjustments,,,9923.65h,,,,,,,,,,,,,,,,,,
,GUI-3218,Second set of info boxes update,,,9905.42h,,,,,,,,,,,,,,,,18.37h,,
,GUI-3212,Update styles of icons with different badges used in header,,,1921.92h,,,,,,,,,,,,,,,,8011.38h,,
,GUI-3196,Instruction: relation between invalid fields and its labels,,,0.02h,1507.47h,,,,,,0.00h,,,,,,,,,8566.98h,,
,GUI-3187,Create a option to move focus back to right possition,,,0.17h,1175.48h,,,,,,,,,,,,,,,8900.90h,,
,GUI-3176,Try overflow-anchor: auto; for content,,,0.03h,1.40h,,0.00h,0.00h,,,0.62h,2.63h,308.40h,,0.00h,,,,,9574.22h,,
,GUI-3171,UIPhoneField bug related to country feeding,,,10218.42h,,,,,,,75.90h,,,,,,,,,0.00h,,
,GUI-3166,ui-buttonbar bug on 777px screen height,,,252.27h,0.00h,,,,,,108.40h,,,,,,,,,10077.35h,,
,GUI-3159,Add documentation to optgroup attribute for all ui-option-*,,,10870.97h,,,,,,,,,,,,,,,,,,
,GUI-3153,Remove useless class '-visually-separated' for ui-columns,,,3115.07h,,,,,,,,,,,,,,,,7889.90h,,
,GUI-3151,Create helper for show/hide functionality,,,3047.30h,,,,,,,,,,,,,,,,8011.62h,,
,GUI-3143,Card updates,,,4973.10h,,,2826.07h,,,,,,,,,,,,,3404.38h,,
,GUI-3123,"In iPhone with Bluetooth keyboard connected, ""Additional options"" and ""Sort by"" buttons cannot be focused or clicked with keyboard.",,,4.22h,,,1630.88h,,,,,,,,,,,,,10102.33h,,
,GUI-3112,Navigation - Popover on mobile for corporate,,,4271.27h,7437.37h,,,,,,,,,,,,,,,0.00h,,
,GUI-3111,Navigation - Popover for contact us,,,4271.28h,7437.37h,,,,,,,,,,,,,,,0.00h,,
,GUI-3110,Navigation - Popover for notifications,,,4271.33h,7437.35h,,,,,,,,,,,,,,,0.00h,,
,GUI-3105,WebComponents + Angular,,,417.10h,,,3330.25h,,,,,,,,,,,,,7963.78h,,
,GUI-3104,Refactor charts module to TypeScript,,,8375.77h,,,3330.27h,,,,,,,,,,,,,0.00h,,
,GUI-3103,Investigate TypeDoc for documentation,,,8375.88h,,,3330.28h,,,,,,,,,,,,,0.00h,,
,GUI-3101,Migration to TypeScript,,,219.53h,,,3330.43h,,,,,,,,,,,,,8228.27h,,
,GUI-3079,Change default mobile width for screen in visual tests from 320px to 360px,,,3786.30h,,,,,,,,,,,,,,,,8398.55h,,
,GUI-3074,Use prettier plugin to organize imports,,,0.00h,0.00h,,,,,,0.02h,,,,,,,,,12282.17h,,
,GUI-3070,After redesign check fonts,,,4010.33h,,,,,,,,,,,,,,,,8398.57h,,
,GUI-3067,"For a single paragraph, use a <section> instead of an <article>.",,,190.87h,,,,,,,,,,,,,,,,12238.53h,,
,GUI-3066,"Instructions: Charts: The aria labels, e.g. aria-label=""2012, 4.1. Card payments, bln €."" include ""4.1."" which is interpreted as a date by some screen readers. Try using ""4,1"" instead.",,,220.80h,,,3305.63h,,,,,,,,,,,,,8902.97h,,
,GUI-3063,"Legacy: Consider hiding the table and showing accordions (<button aria-expanded=""false"">) in mobile.",,,190.02h,,,,,,,,,,,,,,,,12239.48h,,
,GUI-3062,Manipulate the focus order in mobile to match the visual order.,,,190.75h,24.93h,,1631.25h,,,,,,,,,,,,,10582.63h,,
,GUI-3061,Multilevel table: <th> element must have a unique id and each <td> cell must have a headers attribute that lists the id values of the associated header cells.,,,5523.10h,,,3305.72h,,,,25.72h,,,,,,,,,3527.07h,,
,GUI-3060,Add level 4 heading to the accordion headings.,,,218.28h,,,3305.80h,,,,,,,,,,,,,8905.55h,,
,GUI-3055,Investigate new breakpoints for CSS,,,4131.17h,,,,,,,,,,,,,,,,8396.85h,,
,GUI-3053,Move confirmation-dialog.template.js to ibank,,,12571.12h,,,,,,,,,,,,,,,,,,
,GUI-3052,Placeholder for margin investigation,,,4173.80h,,,,,,,,,,,,,,,,8398.65h,,
,GUI-3046,Use secondary button style on buttons with class=back/destructive,,,24.15h,0.00h,,143.27h,,,,2.45h,,,,,,,,,12598.18h,,
,GUI-3042,Extend bot message for the pull request,,,0.02h,0.00h,,,,,,0.75h,,,,,,,,,12792.95h,,
,GUI-3033,Links - replace legacy usages,,,4701.63h,,,,,,,,,,,,,,,,8399.10h,,
,GUI-3017,Animation for popover (task placeholder),,,5132.08h,,,,,,,,,,,,,,,,8397.68h,,
,GUI-3006,Accecibility changes in menu,,,117.45h,,,,,,,,,,,,,,,,13437.78h,,
,GUI-2979,Enabled treeshaking on the build and test,,,1107.02h,,,,,,,,,,,,,,,,12766.80h,,
,GUI-2978,Replace legacy MediaQueryList.addlistner to new approach addEventListener,,,13891.55h,,,,,,,,,,,,,,,,,,
,GUI-2977,Create prop validation decorator,,,12264.33h,,,,,,,,,,,,,,,,1651.97h,,
,GUI-2975,In UI library plugins aren't merged into parent class,,,5326.52h,,,,,,,,,,,,,,,,8928.33h,,
,GUI-2974,Typography issues,,,25.75h,0.00h,,,,,,27.45h,0.00h,,,,,,,,14225.55h,,
,GUI-2972,Fonts adjustments,,,2421.35h,,,,,,,,,,,,,,,,11878.35h,,
,GUI-2968,Label problem in header for vendornet,,,146.05h,,,,,,,,,,,,,,,,14276.88h,,
,GUI-2961,ui-navtoggle popover bug while resizing window,,,10658.73h,,,,,,,16.43h,,,,,,,,,3959.98h,,
,GUI-2960,spoe-bar removal,,,14635.37h,,,,,,,,,,,,,,,,,,
,GUI-2959,Styles for code-editor behave weird,,,6313.38h,,,,,,,,,,,,,,,,8399.13h,,
,GUI-2956,Finalize visual testing - Playwright,,,6202.17h,,,,,,,,,,,,,,,,8534.05h,,
Spike,GUI-2955,[Spike] Annotation component,,,1130.15h,,,,,,,,,,,,,,,,13606.08h,,
,GUI-2954,Create system for layers order,,,6360.08h,,,,,42.42h,,,,,,,,,,,8398.75h,,
,GUI-2952,ESBuild migration related issues,,,,,,,,5.47h,,1531.63h,,,,,,,,,13438.67h,,
,GUI-2949,[SPIKE] Sandbox for Angular in UILibrary,,,,,,,,333.13h,,311.20h,,,,,,,,,14472.30h,,
,GUI-2948,HTML validation inside code-editor,,,6506.77h,,,,,452.53h,,,,,,,,,,,8252.07h,,
,GUI-2946,Try to fix Java /shared.css stuff,,,,,,45.98h,,0.00h,,122.13h,,,,,,,,,15073.17h,,
,GUI-2942,[SPIKE] Popover API,,,648.37h,,,167.78h,,620.80h,,,,,,,,,,,13942.68h,,
,GUI-2939,Add Menu to Angular,,,1445.55h,0.00h,,3498.02h,,717.38h,,670.55h,673.38h,,,,,,,,8399.30h,,
,GUI-2938,Add Footer to Angular,,,2545.53h,0.00h,,3498.03h,,717.40h,,267.93h,,,,,,,,,8399.32h,,
,GUI-2937,Add Header to Angular,,,1779.35h,0.00h,,3498.03h,,717.40h,,1010.12h,,,,,,,,,8399.30h,,
,GUI-2930,Make label attribute dynamic in ui-product,,,6360.05h,,,,,837.47h,,,,,,,,,,,8398.78h,,
,GUI-2925,Test,,,,,,,,2.67h,,,,,,,,,,,15761.67h,,
,GUI-2923,Foundations - Increments (Refactor),,,,,,,,0.00h,,,,,,,,,,,15791.32h,,
,GUI-2922,Components - PEGA offer/tip,,,,,,,,432.50h,,,,,,,,,,,15380.25h,,
,GUI-2920,"Components - Tooltips (Rich, Simple)",,,,,,,,361.75h,,,,,,,,,,,15451.00h,,
,GUI-2919,Components - Avatars (PFM) - for future,,,29.75h,,,7024.28h,,361.77h,,,,,,,,,,,8396.95h,,
,GUI-2910,Column Charts,,,10060.93h,1896.93h,,1843.98h,,1054.07h,,670.48h,190.47h,,,,,,,,0.00h,,
,GUI-2904,Components - Navigation menu,,,1633.98h,1320.23h,,,,1054.23h,,,,,,,,,,,11756.57h,,
,GUI-2903,Implement asset list component extra features,,,0.42h,143.75h,,,,1177.00h,,1.35h,,,,,,,,,14613.27h,,
,GUI-2902,[Documentation] FAQ page in UIDocs,,,6360.00h,,,,,1196.87h,,,,,,,,,,,8398.80h,,
,GUI-2901,[Spike] Investigate replacing rebuildChildren,,,,,,6124.85h,,572.58h,,600.82h,,,,,,,,,8657.43h,,
,GUI-2900,Check how to rebuild ui-layout on page navigation,,,,,,,,239.97h,,95.92h,,,,,,,,,15623.02h,,
Spike,GUI-2890,Find more flexible way when writing visual tests,,,6100.83h,,,,,1627.53h,,,,,,,,,,,8657.47h,,
,GUI-2875,"Use section ""frame"" to wrap the lists",,,,,,,,934.03h,,,,,,,,,,,15959.43h,,
,GUI-2872,Replace shell.js with native node:child_process,,,5912.13h,0.00h,,,,2138.70h,,0.03h,,,,,,,,,8846.62h,,
Spike,GUI-2868,[Spike] Collaboration chat/meeting,,,2832.98h,,,,,2205.28h,,,,,,,,,,,11925.30h,,
,GUI-2857,Rename web-components that they used dashed in word splitting,,,,,,,,1991.82h,,4.15h,,,,,,,,,15115.70h,,
,GUI-2845,Move ui-iframe-controller to sandbox-iframe demo,,,47.35h,,,6055.63h,,2634.33h,,,,,,,,,,,8655.82h,,
,GUI-2836,Simplify OpenShiftClient.docker image,,,,,,,,0.07h,,0.87h,,,,,,,,,17656.32h,,
Spike,GUI-2831,[Spike] Remove iconique fonts,,,6100.93h,,,,,3047.60h,,,,,,,,,,,8657.37h,,
,GUI-2829,Foundations - Radius,,,,,,,,1864.52h,,,,,,,,,,,15961.60h,,
,GUI-2828,Foundations - Spacings,,,,,,,,1864.53h,,,,,,,,,,,15961.58h,,
,GUI-2827,Foundations - Paddings,,,,,,,,1864.55h,,,,,,,,,,,15961.60h,,
Spike,GUI-2819,[Spike] Split library into parts,,,6100.70h,,,,,3216.52h,,,,,,,,,,,8657.58h,,
Spike,GUI-2815,[Spike] Improve manual testing,,,6100.62h,,,,,3216.67h,,,,,,,,,,,8657.67h,,
Spike,GUI-2808,[Spike] Improving communication between teams,,,6100.73h,,,,,3216.82h,,,,,,,,,,,8657.55h,,
Spike,GUI-2807,[Spike] Start using Slack for communication,,,,,,,,2353.42h,,,,,,,,,,,15621.72h,,
Spike,GUI-2806,[Spike] UI team newsletter,,,6100.73h,,,,,3216.85h,,,,,,,,,,,8657.55h,,
Spike,GUI-2804,[Spike] Connection between project CSS and Figma,,,6100.92h,,,,,3216.88h,,,,,,,,,,,8657.37h,,
Spike,GUI-2802,[Spike] Share/improve IDE config,,,6100.70h,,,,,3216.92h,,,,,,,,,,,8657.58h,,
Spike,GUI-2800,[Spike] New name for UILibrary,,,6100.70h,,,,,3216.98h,,,,,,,,,,,8657.58h,,
Spike,GUI-2799,[Spike] Feature flags,,,6100.60h,,,,,3216.98h,,,,,,,,,,,8657.68h,,
,GUI-2793,Fix test for ui-navtoggle,,,,,,,,1033.52h,,427.12h,,,,,,,,,16631.20h,,
,GUI-2785,Static Documents W963 migration to OpenShift,,,,,,,,692.55h,,,,,,,,,,,17469.72h,,
