Type,Key,Summary,Resolution Date,Ready for patch [deleted],Open,Ready for Development,Backlog,On Hold,Waiting test deploy,To Do,Ready for Refinement,In Progress,In Code Review,Acceptance Testing,Ready for Deploy,Testing,Ready for Testing,Code review,Discovery,Delivery,Canceled,Done,Cancelled
,GUI-4118,UI Product opens two links when it has both external-url and a link inside,,,955.57h,,,,,,,,,,,,,,,,,,
,GUI-4117,Cloneable table always uses default value over remove-label attribute,,,956.18h,,,,,,,,,,,,,,,,,,
,GUI-4116,Datepicker's month is almost unseeable on 'Very Large' font size,,,973.37h,,,,,,,,,,,,,,,,,,
,GUI-4115,Form errors are only announced on submit,,,975.13h,,,,,,,,,,,,,,,,,,
,GUI-4113,Tech debt: form elements id setting logic,,,1001.98h,,,,,,,,,,,,,,,,,,
,GUI-4112,UI Autocomplete's input isn't escaped,,,1023.55h,,,,,,,,,,,,,,,,,,
,GUI-4110,"When submitting form with 'spacebar', first invalid field does not get focus",,,1028.10h,,,,,,,,,,,,,,,,,,
,GUI-4109,Update Table 6B example in Docs to use ui-amount,,,1028.80h,,,,,,,,,,,,,,,,,,
,GUI-4108,UIField's removeErrors() only clears the first input inside,,,1029.00h,,,,,,,,,,,,,,,,,,
,GUI-4107,ui-modal may need its body contents to be read by screenreader upon opening in some cases,,,1032.93h,,,,,,,,,,,,,,,,,,
,GUI-4105,personal ui-offer animated ui-shape text cropped on desktop,,,1122.25h,,,,,,,,,,,,,,,,,,
,GUI-4104,Asset list - Tag placement adjustments,,,1122.37h,,,,,,,,,,,,,,,,,,
,GUI-4103,Avatars - Expansion of the ui-icon and ui-icon-symbolic component,,,1126.53h,,,,,,,,,,,,,,,,,,
,GUI-4101,ui-progress a11y issues (PW a11y testing),,,1128.10h,,,,,,,,,,,,,,,,,,
,GUI-4100,ui-autocomplete options missing keyboard focus ring,,,1128.25h,,,,,,,,,,,,,,,,,,
,GUI-4098,aria-label should not be used on availability icons in ui-comparison-cards (PW a11y testing),,,1137.03h,,,,,,,,,,,,,,,,,,
,GUI-4097,ui-curtain a11y issues (PW a11y testing),,,1137.50h,,,,,,,,,,,,,,,,,,
,GUI-4096,ui-amount has color contrast issues (PW a11y testing),,,1137.78h,,,,,,,,,,,,,,,,,,
,GUI-4095,Journey block - Add link support + title style fixes,,,1145.30h,,,,,,,,,,,,,,,,,,
,GUI-4094,"In ui-legalblock, ui-scrollable-frame's label is not attached properly (PW a11y testing)",,,1145.92h,,,,,,,,,,,,,,,,,,
,GUI-4093,ui-dropdown handle edge-case with too many options,,,1146.38h,,,,,,,,,,,,,,,,,,
,GUI-4092,ui-datepicker announcement of automatic value change,,,1148.80h,,,,,,,,,,,,,,,,,,
,GUI-4091,ui-badge has color contrast issues (PW a11y testing),,,1150.33h,,,,,,,,,,,,,,,,,,
