Type,Key,Summary,Resolution Date,Open,Investigation,Ready for Refinement,Backlog,Reopened,On Hold,Refined,In Development,Ready for test,In Testing,Waiting for acceptance,In Progress,Done,Abandoned,,,,
,CALLS-1565,[DB] Adjust Liquibase install scripts for prod context,3/25/26,18.77h,,0.02h,,,,25.32h,118.13h,0.00h,0.03h,,,840.63h,,,,,
,CALLS-1564,Implement possibility for Payment flow manager to use Notification Center API,,1010.05h,,,,,,,,,,,,,,,,,
,CALLS-1563,[FLM | Decide on payment priority and out_channel_code] Exception while closing command context,3/26/26,0.00h,,20.30h,,,,0.00h,50.20h,113.23h,22.70h,,,817.72h,,,,,
,CALLS-1562,Register FLM to be added to NC whitelist (API),,1024.85h,,,,,,,,,,,,,,,,,
,CALLS-1560,implement logging of user actions in Camunda GUI,,0.00h,,1032.47h,,,,,,,,,,,,,,,
,CALLS-1559,[FLM] Payment is not updated in DP after it is cancelled in FLM not passing gateway limits check,3/18/26,0.07h,,17.70h,,,,6.45h,,16.07h,5.20h,,,1004.67h,,,,,
,CALLS-1558,"Data mapping and error handling for ""verification of payee"" service task in singlePaymentOrderDefinition",,77.67h,448.30h,530.37h,,,,,,,,,,,,,,,
,CALLS-1557,Onboard Flow Manager to Verification of Payee service,,71.30h,,985.05h,,,,,,,,,,,,,,,
,CALLS-1556,Order access rights via SAML on prod,,831.77h,,0.03h,,,,313.05h,,,,,,,,,,,
,CALLS-1555,Create modules for flow manager library,3/16/26,0.00h,,0.00h,,,,22.47h,71.95h,0.00h,0.00h,,,1054.03h,,,,,
,CALLS-1554,gracefully finalize running process instances for maintenance needs,,406.13h,,813.47h,,,,,,,,,,,,,,,
,CALLS-1553,"[FLM | Resolve ISO status] Broadcast final status fails - Expected 'Number', got 'STRING'",3/9/26,0.08h,,2.10h,,,,,,,,,,,1218.35h,,,,
,CALLS-1551,[FLM] Use String instead of BigDecimal for variables in Camunda,3/20/26,0.00h,47.85h,94.73h,,,,97.53h,23.42h,69.90h,2.48h,,,959.05h,,,,,
,CALLS-1550,Canceling future FPO in Forms Teller raises incident in FLM,3/10/26,0.97h,,2.90h,,,,0.00h,,69.02h,28.48h,,,1194.48h,,,,,
,CALLS-1548,[FLM] Split insert/select counting Java Delegates by hardcoded event name,3/25/26,0.00h,,114.17h,,,,77.30h,95.93h,0.00h,189.38h,,,837.77h,,,,,
