Type,Key,Summary,Resolution Date,Funnel,Backlog,Open,Investigation,Ready for Refinement,On Hold,Analysing,Implementing,In Deployment,In Development,Ready for test,In Testing,Refined,Waiting for acceptance,Done,Cancelled,Abandoned,Funnel to Done,Implementing to Done
,VDE19-520,30. Information about international settlements EE,3/20/26,539.52h,0.00h,,,,,0.00h,311.23h,21.57h,,,,,,983.58h,,,872.32h,332.80h
,VDE19-506,Enabler: [TPH][Outgoing payments] Pre-Production & Go Live activities,,1920.22h,,,,,,,,,,,,,,,,,1920.22h,0.00h
,VDE19-505,TEST: [TPH][REGRESSION][Outgoing payments] IL API Test Automation,,1920.25h,,,,,,,,,,,,,,,,,1920.25h,0.00h
,VDE19-504,TEST: [TPH][EndToEnd] Outgoing customer pacs.008 payment AGENT CHARGES camt.106,,1920.28h,,,,,,,,,,,,,,,,,1920.28h,0.00h
,VDE19-503,TEST: [TPH][EndToEnd] Outgoing bank-to-bank pacs.009 payment EXCEPTIONS,,1920.30h,,,,,,,,,,,,,,,,,1920.30h,0.00h
,VDE19-502,TEST: [TPH][EndToEnd] Outgoing bank-to-bank pacs.009 payment MAIN,,1920.37h,,,,,,,,,,,,,,,,,1920.37h,0.00h
,VDE19-501,TEST: [TPH][EndToEnd] Outgoing bank-to-bank pacs.009 payment HAPPY PATH,,1920.47h,,,,,,,,,,,,,,,,,1920.47h,0.00h
,VDE19-500,TEST: [TPH][EndToEnd] Outgoing customer pacs.008 payment EXCEPTIONS,,1920.52h,,,,,,,,,,,,,,,,,1920.52h,0.00h
,VDE19-499,TEST: [TPH][EndToEnd] Outgoing customer pacs.008 payment MAIN,,1920.55h,,,,,,,,,,,,,,,,,1920.55h,0.00h
,VDE19-498,TEST: [TPH][EndToEnd] Outgoing customer pacs.008 payment HAPPY PATH,,1920.58h,,,,,,,,,,,,,,,,,1920.58h,0.00h
,VDE19-496,Enabler: [TPH] [Outgoing payments] [MAINT] Service Offering review (Recovery plan & BCP & SPOF..),,1986.87h,,,,,,,,,,,,,,,,,1986.87h,0.00h
,VDE19-495,Enabler [TPH] [Outgoing payments] Create system documentation in WIKI and update W670 Service Offering,,1986.90h,,,,,,,,,,,,,,,,,1986.90h,0.00h
,VDE19-494,"Enabler [TPH] [Outgoing payments] container for vulnerabilities, tech debt and other small improvements",,1986.93h,,,,,,,,,,,,,,,,,1986.93h,0.00h
,VDE19-492,[TPH] [Outgoing payments] Monitoring / Logging setup for TPH (all environments),,1987.97h,,,,,,,,,,,,,,,,,1987.97h,0.00h
,VDE19-487,[TPH] GATE environment setup,,367.88h,,,,,,1865.07h,,,,,,,,,,,2232.95h,0.00h
,VDE19-483,[TPH] TPH Access Rights Management,,0.27h,0.22h,,,,,0.23h,2277.70h,,,,,,,,,,2278.42h,2277.70h
,VDE19-482,[TPH] IT Maintenance,,0.52h,,,,,,2278.48h,,,,,,,,,,,2279.00h,0.00h
,VDE19-481,[TPH] Greenfield migration,3/25/26,238.57h,0.45h,,,,,1223.53h,0.02h,0.00h,,,,,,863.48h,,,1462.57h,0.02h
,VDE19-489,7. E-Invoices Page,2/17/26,375.70h,0.00h,,,,,0.03h,0.00h,266.18h,,,,,,1722.10h,,,641.92h,266.18h
,VDE19-480,"[TPH] Migration of API tests, integration, TPH from Bitbucket to GitHub",,507.05h,,,,,,1867.45h,,,,,,,,,,,2374.50h,0.00h
,VDE19-479,[IPR] VoP in list of payments and files - cleanup and improvements,,1028.70h,1009.00h,,,,,359.42h,,,,,,,,,,,2397.12h,0.00h
,VDE19-478,[IPR] End-To-End test for New Payment processing flow of signed files in SGW,,904.17h,814.82h,,,,,698.37h,,,,,,,,,,,2417.35h,0.00h
,VDE19-477,Enabler: [TPH] Outgoing Bank-To-Bank processing analysis and business configuration,,2418.48h,,,,,,,,,,,,,,,,,2418.48h,0.00h
,VDE19-476,[ISO20022] MX Payments Reporting in MT940/942,,2236.75h,,,,,,188.20h,,,,,,,,,,,2424.95h,0.00h
