Type,Key,Summary,Resolution Date,Funnel,Backlog,Open,Investigation,Ready for Refinement,On Hold,Analysing,Implementing,In Deployment,In Development,Ready for test,In Testing,Refined,Waiting for acceptance,Done,Cancelled,Abandoned,Funnel to Done,Implementing to Done
,VDE19-363,Payments execution during LT emergency,,524.32h,,,,,,5759.95h,,,,,,,,,,,6284.27h,0.00h
,VDE19-362,"Liquidity management, payments reconciliation during LT emergency",,884.97h,,,,,,5399.33h,,,,,,,,,,,6284.30h,0.00h
,VDE19-361,[IPR] Implement recovery process for BH worker,,195.68h,692.88h,,,,,1704.38h,3696.27h,,,,,,,,,,6289.22h,3696.27h
,VDE19-356,[IPR] Implement monitoring for BH and recovery process for BH tracker,,551.67h,0.00h,,,,,2231.73h,4510.28h,,,,,,,,,,7293.68h,4510.28h
,VDE19-355,[payment-services] create gRPC endpoint for VoP check,6/27/25,0.05h,,,,,,,,,,,,,,,7370.28h,,0.05h,0.00h
,VDE19-354,[IPR] Payment order data manager functional improvement for piloting stage,11/11/25,1465.62h,175.33h,,,,,306.72h,1366.53h,0.00h,,,,,,4075.83h,,,3314.20h,1366.53h
,VDE19-351,Migration of BPAY Ivy repositories to Artifactory,1/13/26,0.00h,2350.90h,,,,,120.38h,2289.70h,0.00h,,,,,,2561.40h,,,4760.98h,2289.70h
,VDE19-350,Enabler: [TPH] [MAINT] [PROD] Technical configuration,4/22/26,7224.77h,0.00h,,,,,168.45h,0.00h,0.00h,,,,,,191.85h,,,7393.22h,0.00h
,VDE19-349,TEST: [TPH] End-to-end Automation,,1157.78h,0.00h,,,,,0.00h,6427.63h,,,,,,,,,,7585.42h,6427.63h
,VDE19-348,[TPH BB IL] - Bookings service improvements,,2429.92h,0.00h,,,,,109.55h,5087.82h,,,,,,,,,,7627.28h,5087.82h
,VDE19-347,Enabler [Skyvault migration] BPAY services performance test on Skyvault and configuration tuning,,3218.02h,,,,,,4410.57h,,,,,,,,,,,7628.58h,0.00h
,VDE19-346,Enabler [Skyvault migration] Latency performance test and configuration tuning,1/12/26,67.18h,0.00h,,,,,4969.55h,0.00h,,,,,,,2591.97h,,,5036.73h,0.00h
,VDE19-345,Emergency Act LV testing,7/10/25,73.42h,142.63h,,,,,0.00h,361.57h,,,,,,,7056.55h,,,577.62h,361.57h
,VDE19-343,[IPR RB] Payment Party Identifier changes // iBank,10/22/25,0.03h,0.00h,,,,,216.47h,1699.75h,1300.52h,,,,,,4557.72h,,,3216.77h,3000.27h
,VDE19-342,EURO1 - Mandatory testing of new Usage Guidelines,11/24/25,0.22h,680.93h,,,,,1654.60h,1675.97h,,,,,,,3766.40h,,,4011.72h,1675.97h
,VDE19-341,[IPR] FLM holder channel impact on surrounding applications,1/16/26,2563.38h,0.00h,,,,,2544.45h,197.97h,0.02h,,,,,,2490.95h,,,5305.82h,197.98h
,VDE19-340,[IPR] Integration with Payment Limit service,10/23/25,0.63h,0.00h,,,,,1511.50h,1801.58h,41.28h,,,,,,4537.17h,,,3355.00h,1842.87h
,VDE19-339,[IPR RB] Mandatory User Acceptance Test >> STEP2,9/19/25,119.28h,1225.57h,,,,,675.88h,523.52h,,,,,,,5353.57h,,,2544.25h,523.52h
,VDE19-338,Enabler: [Skyvault migration] Application regression &performance testing,,2.18h,,,,,,7914.70h,,,,,,,,,,,7916.88h,0.00h
,VDE19-337,TARGET & EURO1 yearly releases 2025 - prio 2,1/12/26,0.10h,3696.82h,,,,,1627.77h,,,,,,,,,2592.95h,,5324.68h,0.00h
,VDE19-398,"Replace legacy ""h:table"" with ""ui-table"" component",11/5/25,,476.95h,2378.12h,,,,821.15h,22.18h,0.10h,,,,,,4220.05h,,,3698.50h,22.28h
,VDE19-336,[ISO] SWIFT Standard Release 2025 changes - prio 2,2/5/26,0.62h,5902.75h,,,,,0.12h,,,,,,,,,2015.53h,,5903.48h,0.00h
,VDE19-333,[IPR] Receive fraud screening result,,2336.28h,0.00h,,,,,2707.97h,2903.53h,,,,,,,,,,7947.78h,2903.53h
,VDE19-332,[IPR] VoP in payments services for channels consumption,6/18/25,330.52h,,,,,,285.85h,,,,,,,,,7586.13h,,616.37h,0.00h
,VDE19-330,[TPH BB IL] - Funds Update API improvements,1/27/26,0.20h,0.00h,,,,,2108.95h,4036.03h,0.02h,,,,,,2229.03h,,,6145.20h,4036.05h
,VDE19-329,[TPH BB IL] Create DP TPH State Sync app to clean up mismatches of data,3/23/26,1438.58h,0.00h,,,,,1223.22h,4801.27h,0.00h,,,,,,913.33h,,,7463.07h,4801.27h
,VDE19-327,[IPR] Introduce VoP check in LT Giro and payment cart in LT iBank Private,,526.45h,,2.80h,,,,7919.12h,,,,,,,,,,,8448.37h,0.00h
,VDE19-326,"Enabler [TPH] container for vulnerabilities, tech debt and other small improvements",,8448.63h,,,,,,,,,,,,,,,,,8448.63h,0.00h
,VDE19-325,[IPR] ensure possibility for Payment flow manager to request intrabank mass payment debiting/crediting from EPE,2/17/26,6817.57h,,,,,,,,,,,,,,,1721.62h,,6817.57h,0.00h
,VDE19-324,[IPR] ensure possibility for Payment flow manager to process and store mass payment header,3/10/26,406.13h,0.00h,,,,,4420.08h,2493.83h,0.00h,,,,,,1219.22h,,,7320.05h,2493.83h
,VDE19-323,[IPR] Reserve DP_ID and use it for business key at Flow Manager entry point,8/20/25,305.78h,,,,,,2166.27h,,,,,,,,,6067.40h,,2472.05h,0.00h
,VDE19-322,[IPR] Provide Payment order status update from Core DB to dedicated KAFKA topic,12/15/25,163.90h,2513.55h,,,,,2333.13h,266.98h,0.05h,,,,,,3262.60h,,,5277.62h,267.03h
,VDE19-321,[IPR] ensure possibility for Payment flow manager to process Payment order status update from CORE DB,2/3/26,406.97h,3115.08h,,,,,2089.60h,863.72h,0.00h,,,,,,2064.85h,,,6475.37h,863.72h
,VDE19-320,[TPH] Payment xsd new version 009 and XML payload to JSON,6/3/25,482.10h,20.58h,,,,,0.10h,454.38h,0.03h,,,,,,7946.62h,,,957.20h,454.42h
,VDE19-319,"[IPR RB] Payment Party Identifier changes // DB, Star & other",9/25/25,263.10h,0.00h,,,,934.00h,2524.27h,211.62h,,5209.53h,,3932.98h,2735.88h,,,,,,
,VDE19-316,[IPR] ensure possibility for Payment flow manager to decide on payment priority and out-channel using external service,10/29/25,962.27h,0.00h,,,,3408.27h,672.68h,0.02h,,4391.60h,,5043.23h,672.70h,,,,,,
,VDE19-315,[TPH] [CONFIG] [TPH DB] Roll-back and Replica,3/11/26,0.02h,2711.75h,,,,44.65h,5521.07h,0.02h,,1201.20h,,8277.50h,5521.08h,,,,,,
,VDE19-314,[TPH][Ibank] Provide outgoing payment message copy in iBank,,0.45h,,,,,9546.73h,,,,,,9547.18h,0.00h,,,,,,
,VDE19-313,[IPR RB] Implement the hybrid postal addresses format in FP,9/25/25,377.53h,454.50h,,,,1659.27h,1732.58h,162.12h,,5209.22h,,4386.00h,1894.70h,,,,,,
,VDE19-312,[IPR RB] Implement the hybrid postal addresses format for all payments types in iBank,11/8/25,645.55h,0.00h,,,,1391.30h,1699.70h,1704.55h,,4154.15h,,5441.10h,3404.25h,,,,,,
,VDE19-311,POC – Verify possibility to Deploy and run WebSphere Liberty application on Azure.,6/3/25,0.48h,1004.43h,,,,118.53h,533.95h,,,,7940.43h,1657.40h,533.95h,,,,,,
,VDE19-310,[IPR] Enabler: analyze new requirements to implement VoP check into Payment initiation forms,5/15/25,1367.42h,,,,,,,,,,8402.00h,1367.42h,0.00h,,,,,,
,VDE19-309,[IPR] (ON-HOLD) Introduce VoP check into e-invoice manual and automated payments in iBank,5/13/25,1362.65h,,,,,,,,,,8449.93h,1362.65h,0.00h,,,,,,
,VDE19-308,[IPR] iBank files: Introduce VoP verification and visualization for customers and ensure VoP OptOut / Opt In,2/20/26,2062.52h,0.00h,,,,4053.40h,2039.70h,0.00h,,1657.05h,,8155.62h,2039.70h,,,,,,
,VDE19-307,[IPR] Introduce VoP check into 'List of payments' in iBank Private and Business PB,3/19/26,1389.12h,0.02h,,,,3141.63h,4273.17h,0.00h,,1008.82h,,8803.93h,4273.17h,,,,,,
,VDE19-306,STAR: Beneficiary bank name is not retrieved from the system for SEPA cross border payments,,9883.53h,,,,,,,,,,,9883.53h,0.00h,,,,,,
,VDE19-304,[ISO] SWIFT Standard Release 2025 changes - prio 1,11/24/25,1104.63h,808.97h,,,,579.22h,3627.97h,0.00h,,3766.85h,,6120.78h,3627.97h,,,,,,
,VDE19-328,[TPH] [DEV] TPH component monitoring,9/8/25,,0.00h,3.00h,1434.40h,2.92h,671.40h,2112.02h,0.00h,46.53h,5613.58h,,4270.27h,2158.55h,,,,,,
,VDE19-303,"Swedbank Estonia Address Update: Payment blanks, Terms and Conditions etc",9/15/25,4530.33h,,,,,,,,,,5451.05h,4530.33h,0.00h,,,,,,
,VDE19-302,[IPR RB] Mandatory User Acceptance Test >> RT1,9/17/25,2424.80h,44.27h,,,,455.23h,1655.95h,,,5402.92h,,4580.25h,1655.95h,,,,,,
,VDE19-301,[IPR] Clean up after GO-LIVE,1/5/26,4582.70h,47.43h,,,,647.47h,770.57h,1185.28h,,2750.45h,,7233.45h,1955.85h,,,,,,
,VDE19-300,[IPR] Improve Payment services to expose required functionality for payment flow manager,1/15/26,409.62h,0.00h,,,,1272.80h,5109.08h,741.18h,,2521.98h,,7532.68h,5850.27h,,,,,,
,VDE19-394,[AA] Payments documents implementation in STAR & iBank,4/13/26,4679.30h,356.85h,,,,650.55h,4005.40h,0.00h,,408.05h,,9692.10h,4005.40h,,,,,,
,VDE19-299,[TPH] [Proscan] PACS.009 COV screening,5/30/25,0.57h,150.28h,,,,1941.87h,,,,,8035.25h,2092.72h,0.00h,,,,,,
,VDE19-298,New VAT rate in Estonia // 01.07.2025,5/8/25,2.12h,836.23h,,,,0.13h,406.02h,308.10h,,8570.83h,,1552.60h,714.12h,,,,,,
,VDE19-297,[IPR] ensure possibility for Payment flow manager to notify customer using notification center service,,7415.32h,51.98h,,,,2683.37h,,,,,,10150.67h,0.00h,,,,,,
,VDE19-295,[IPR] ensure possibility for Payment flow manager to exchange foreign currency using external service,11/24/25,5.80h,1636.72h,,,,4241.58h,502.70h,0.00h,,3767.23h,,6386.80h,502.70h,,,,,,
,VDE19-294,[IPR] ensure possibility for Payment flow manager to enrich payment order with customer data using external service,8/21/25,509.98h,0.00h,,,,2733.92h,864.15h,0.00h,,6046.15h,,4108.05h,864.15h,,,,,,
,VDE19-293,[IPR] ensure possibility for Payment flow manager to enrich payment order with account data using external service,8/29/25,5.80h,0.00h,,,,3213.30h,1076.32h,0.00h,,5858.83h,,4295.42h,1076.32h,,,,,,
,VDE19-290,TEST: [TPH][REGRESSION] IL API Test Automation,,8273.43h,,,,,2185.20h,,,,,,10458.63h,0.00h,,,,,,
,VDE19-289,[TPH] [PODM] Update Payment Order data Manager JSON structure,4/29/25,18.07h,0.00h,,,,148.90h,1530.70h,0.40h,,8785.65h,,1698.07h,1531.10h,,,,,,
,VDE19-288,[Dyn] Separating FX from payment transaction (enhanced customer experience),3/26/25,2.08h,0.00h,,,,17.12h,964.12h,0.00h,,9597.98h,,983.32h,964.12h,,,,,,
,VDE19-287,TEST: [TPH] Test Automation Framework Setup for UI,,2684.53h,,,,,8038.07h,,,,,,10722.60h,0.00h,,,,,,
,VDE19-285,TARGET & EURO1 yearly releases 2025 - prio 1,11/24/25,2832.38h,0.00h,,,,1147.67h,3024.28h,2.18h,,3766.88h,,7006.52h,3026.47h,,,,,,
,VDE19-283,[IPR] Left overs after IPR implementations that needs to be done (MVP2 - Post GoLive),,10915.47h,,,,,,,,,,,10915.47h,0.00h,,,,,,
,VDE19-281,[TPH] TPH and integration layer VPN3 whitelisting,,141.53h,0.67h,,,,5878.75h,4941.82h,,,,,10962.77h,4941.82h,,,,,,
,VDE19-280,Enabler: [IPR] Define the process for List of payments,5/15/25,2680.12h,,,,,,,,,,8402.35h,2680.12h,0.00h,,,,,,
,VDE19-279,[IPR] Create database and store the file data,6/19/25,28.95h,0.00h,,,,2671.30h,826.68h,0.00h,,7562.35h,,3526.93h,826.68h,,,,,,
,VDE19-274,Review the code in ibank to eliminate possible data leakage flaws,10/6/25,1464.23h,1491.90h,,,,0.03h,3083.90h,0.00h,,4946.50h,,6040.07h,3083.90h,,,,,,
,VDE19-273,[IPR] Configure already defined process of payment order from SGW orchestration in payment flow manager for Piloting,3/10/26,3192.25h,0.00h,,,,5209.37h,1487.07h,0.00h,,1219.83h,,9888.68h,1487.07h,,,,,,
,VDE19-272,[IPR RB] Implement the hybrid postal addresses format for all payments types in STAR,9/4/25,1679.00h,0.00h,,,,267.97h,3474.10h,27.28h,,5711.92h,,5448.35h,3501.38h,,,,,,
,VDE19-271,[IPR] Report final statuses,,29.68h,0.00h,,,,2658.45h,8472.50h,,,,,11160.63h,8472.50h,,,,,,
,VDE19-269,[TPH] [CORE DB] CORE reports changes based on TPH outgoing flow - ONLY TESTING?,,11399.43h,,,,,,,,,,,11399.43h,0.00h,,,,,,
,VDE19-265,Enabler: [TPH] [TESTING] TPH delivery CRs,,11568.32h,,,,,,,,,,,11568.32h,0.00h,,,,,,
,VDE19-264,[TPH] Paying Agent Charges,,11734.25h,,,,,,,,,,,11734.25h,0.00h,,,,,,
,VDE19-262,[TPH][Ibank] Fraud Rules checking in IFM-X for outgoing cross-border payments,,11924.17h,,,,,,,,,,,11924.17h,0.00h,,,,,,
,VDE19-261,[TPH] Reversal transaction flow (TPH REJECT) using Flow Manager,,11924.18h,,,,,,,,,,,11924.18h,0.00h,,,,,,
,VDE19-260,[IPR] Changes in SMART form payment initiation in iBank (Post GoLive),1/6/26,9196.63h,,,,,,,,,,2730.73h,9196.63h,0.00h,,,,,,
,VDE19-259,[TPH] SWIFT Ref relationship file,3/28/25,2401.15h,,,,,,,,,,9546.98h,2401.15h,0.00h,,,,,,
,VDE19-258,[TPH][STAR] Create ultimate payment search,,11948.23h,,,,,,,,,,,11948.23h,0.00h,,,,,,
,VDE19-257,[TPH][STAR] Cancellation of payment in STAR,,11948.27h,,,,,,,,,,,11948.27h,0.00h,,,,,,
,VDE19-256,[TPH] Flow Manager integration and configuration for payment initiation,,11948.30h,,,,,,,,,,,11948.30h,0.00h,,,,,,
,VDE19-255,"[TPH][CORE DB] Ibank, Open Bank, SGW MT101 outgoing payments - notify Flow Manager",,11949.40h,,,,,,,,,,,11949.40h,0.00h,,,,,,
,VDE19-254,[TPH] Ensure Trafis payments flow after TPH implementation,1/3/25,407.63h,,,,,,,,,,11563.55h,407.63h,0.00h,,,,,,
,VDE19-253,[TPH][CORE DB] Comparison reports - ONLY TESTING?,,11971.42h,,,,,,,,,,,11971.42h,0.00h,,,,,,
,VDE19-252,[TPH][STAR] Outgoing payment information in STAR,,11971.47h,,,,,,,,,,,11971.47h,0.00h,,,,,,
,VDE19-251,[TPH] Regulatory reporting changes based on TPH outgoing flow - ONLY TESTING?,,11971.52h,,,,,,,,,,,11971.52h,0.00h,,,,,,
,VDE19-250,[TPH] Operational reporting changes based on TPH outgoing flow,,11971.65h,,,,,,,,,,,11971.65h,0.00h,,,,,,
,VDE19-249,[TPH] Booking API changes,,11971.70h,,,,,,,,,,,11971.70h,0.00h,,,,,,
,VDE19-248,[TPH] Funds update API changes,,11971.72h,,,,,,,,,,,11971.72h,0.00h,,,,,,
,VDE19-245,[IPR] Additional adjustments in iBank/Star,5/29/25,1652.55h,0.40h,,,,676.55h,1344.53h,359.45h,,8059.77h,,4033.48h,1703.98h,,,,,,
,VDE19-244,[IPR] Cleanup after outgoing Cross-border instant payments go-live,,2497.27h,9551.47h,,,,44.58h,,,,,,12093.32h,0.00h,,,,,,
,VDE19-284,[IPR] Payment initiation improvements,1/6/26,4680.75h,2329.95h,1302.13h,,,1029.98h,,,,,2730.75h,9342.82h,0.00h,,,,,,
,VDE19-242,Enabler: [TPH] [MAINT] [PROD] Manual data files management,,2735.30h,,,,,9433.70h,,,,,,12169.00h,0.00h,,,,,,
,VDE19-241,[IPR] Enable/activate cross-border instant payments,6/12/25,2616.87h,1508.48h,,,,66.47h,240.80h,70.60h,,7731.62h,,4503.22h,311.40h,,,,,,
,VDE19-239,Name of Feature: <Provide a brief and clear title for the Feature> >>NO DEPLOYMENT<<,,12252.77h,,,,,,,,,,,12252.77h,0.00h,,,,,,
,VDE19-236,Name of Feature: <Provide a brief and clear title for the Feature> >>DEPLOYMENT REQUIRED<<,,12237.85h,,,,,2.35h,,,,,,12240.20h,0.00h,,,,,,
,VDE19-234,[TPH] Create Payment Initiator API for creating payments in TPH,,1081.17h,,,,,11226.85h,,,,,,12308.02h,0.00h,,,,,,
,VDE19-266,[TPH] Test Automation Framework Setup for APIs,2/10/25,238.67h,164.50h,841.42h,,,362.93h,142.62h,0.00h,,10657.43h,,1750.13h,142.62h,,,,,,
,VDE19-232,TEST: [TPH] TPH delivery CRs,,571.58h,322.85h,,,,1530.62h,10075.72h,,,,,12500.77h,10075.72h,,,,,,
,VDE19-222,[IPR] Adjust Cross-border Instant payments reporting,1/23/25,2.25h,0.00h,,,,217.65h,1128.23h,190.48h,,11085.83h,,1538.62h,1318.72h,,,,,,
,VDE19-223,[TPH] [MAINT] [PROD] TPH Business configuration,,2545.22h,,42.72h,,,10056.55h,,,,,,12644.48h,0.00h,,,,,,
,VDE19-221,[IPR] Onboard File Handler application to Andromeda,9/19/25,0.07h,0.00h,,,,4397.87h,3039.12h,0.03h,,5349.92h,,7437.08h,3039.15h,,,,,,
,VDE19-220,[TPH] [REF] [PROD] RTGS Directory is made available for TPH,12/19/24,23.52h,526.38h,,,,0.00h,310.73h,0.00h,,11929.63h,,860.63h,310.73h,,,,,,
,VDE19-219,[TPH] [ISOX] Enable value date correction for outgoing pacs.004 in iso-exchange,3/7/25,0.07h,335.57h,,,,70.97h,2279.22h,98.00h,,10056.45h,,2783.82h,2377.22h,,,,,,
,VDE19-218,[IPR] (ON-HOLD) initiate payments based on payment order data using Payment initiator towards EPE and SEPA-X (MVP2 - Post GoLive),,9979.52h,,,,,2823.17h,,,,,,12802.68h,0.00h,,,,,,
,VDE19-217,"[IPR] use single data store to capture, manage and view payments through Bank Components",10/6/25,0.02h,0.05h,,,,1768.03h,6138.47h,0.00h,,4944.83h,,7906.57h,6138.47h,,,,,,
,VDE19-215,[TPH] Funds Update API (returns),6/11/25,2091.25h,148.47h,,,,1388.98h,1536.73h,1.00h,,7746.48h,,5166.43h,1537.73h,,,,,,
,VDE19-213,[TPH] Funds Update API to use payment order data manager API,1/27/26,647.43h,149.08h,,,,2832.17h,7052.90h,0.00h,,2231.33h,,10681.58h,7052.90h,,,,,,
,VDE19-208,Enabler: [TPH] [MAINT] Service Offering review (Recovery plan & BCP & SPOF..),,2859.00h,,,,,10076.50h,,,,,,12935.50h,0.00h,,,,,,
,VDE19-207,[TPH] [REF] [PROD] ECB and national CB FX rate upload to TPH,12/20/24,0.05h,695.22h,,,,0.08h,335.88h,0.00h,,11904.48h,,1031.23h,335.88h,,,,,,
,VDE19-203,WTR new requirements (2025),,4030.75h,3265.45h,,,,5684.33h,,,,,,12980.53h,0.00h,,,,,,
,VDE19-198,[TPH] [MQ] [Proscan] Risk rules screening in Porscan using appid,6/12/25,1727.12h,149.80h,,,,616.58h,1339.88h,218.72h,,7726.33h,1515.23h,4052.10h,1558.60h,,,,,,
,VDE19-197,Payments area iBank page web component refactoring - replace local to global web components.,9/11/25,912.75h,0.03h,,,,0.10h,6889.33h,0.00h,,5542.15h,,7802.22h,6889.33h,,,,,,
,VDE19-180,[IPR] To enable Nice Actimize rejection from list of payments for corporate customers,3/25/25,4010.08h,,,,,0.02h,,,,,9618.62h,4010.10h,0.00h,,,,,,
,VDE19-73,[IPR] To enable Nice Actimize rejection from list of payments for private customers,6/16/25,647.82h,644.02h,,,,3527.05h,1175.85h,0.12h,,7634.00h,,5994.85h,1175.97h,,,,,,
,VDE19-104,[TPH] [MQs] [Proscan] Sanctions & Risk Rules Screening in PROD,9/4/25,0.00h,3646.98h,,,,725.77h,3569.48h,0.02h,,5715.13h,,7942.25h,3569.50h,,,,,,
,VDE19-43,[IPR] Clean up code after go live of cross-border SEPA payments in SMART form,3/12/26,8520.78h,1466.67h,,,,0.00h,1849.47h,738.38h,,1178.43h,,12575.30h,2587.85h,,,,,,
,VDE19-124,[Prep-NiceActimize] Onboarding BpayStream app in Kafka Enterprise platform,2/27/25,361.55h,447.67h,,,,585.32h,2330.83h,0.00h,,10245.28h,,3725.37h,2330.83h,,,,,,
,VDE19-51,[SEPA FLM] Production findings and improvements required for one SEPA flow,1/23/25,0.00h,310.98h,,,,1102.83h,1348.53h,168.18h,,11085.80h,,2930.53h,1516.72h,,,,,,
,VDE19-156,[IPR] Enabler: analyze new Instant Payment changes impact on Bank Link,7/17/25,5260.93h,0.00h,,,,0.00h,0.02h,,,8733.92h,,5260.95h,0.02h,,,,,,
,VDE19-120,[IPR] Adjust supporting processes for SEPA Instant payments in STAR App,,4341.08h,,,,,9741.55h,,,,,,14082.63h,0.00h,,,,,,
,VDE19-40,[IPR] Include SEPA Instant payments in STAR (Privates and Corporates) for foreign payments,3/20/25,4336.95h,,,,,,,,,,9745.70h,4336.95h,0.00h,,,,,,
,VDE19-60,[IPR] Implement VoP check into Payment initiation forms for SEPA & SEPA Instant in STAR App,,12187.28h,,,,,1896.37h,,,,,,14083.65h,0.00h,,,,,,
,VDE19-94,[IPR] Introduce VoP check into Standing order agreements in iBank Private and Business PB,,5637.70h,1553.75h,,,,3415.68h,3428.53h,,,,,14035.67h,3428.53h,,,,,,
,VDE19-88,[IPR] Introduce VoP check in customer defined payments in iBank Private and Business PB,,6160.55h,,,,,5713.05h,,,,,2210.10h,11873.60h,0.00h,,,,,,
,VDE19-117,[IPR] Introduce VoP check in SmartForm in 'Domestic/ European' payment tab - PB iBank Private and Business,11/11/25,5637.85h,0.00h,,,,2065.43h,2303.65h,0.00h,,4076.87h,,10006.93h,2303.65h,,,,,,
,VDE19-82,[IPR RB] Refund the account within 10s if Payment had failed,6/13/25,4942.83h,,,,,1440.50h,,,,,7704.62h,6383.33h,0.00h,,,,,,
,VDE19-132,[IPR] Adjust payment processes and warning messages in iBank for SEPA Instant Payment Limits,11/20/25,3000.28h,0.00h,,,,5519.40h,652.82h,1050.90h,,3864.58h,,10223.40h,1703.72h,,,,,,
,VDE19-172,[IPR] Temporary block Instant Payments for customers under alert investigation,6/25/25,3556.95h,0.00h,,,,670.97h,1339.33h,1055.57h,,7417.23h,,6622.82h,2394.90h,,,,,,
,VDE19-70,[IPR] GO-LIVE >> 05 of October 2025,10/9/25,7654.02h,0.00h,,,,889.83h,358.73h,334.52h,,4875.00h,,9237.10h,693.25h,,,,,,
,VDE19-133,"[IPR RB] RT1, STEP2 & TIPS yearly releases 2025",7/17/25,4466.27h,0.00h,,,,380.05h,1469.98h,931.30h,,6888.52h,,7247.60h,2401.28h,,,,,,
,VDE19-116,[IPR RB] Adjust instant payment processing timing (7 sec.) for Incoming & Outgoing flow,9/25/25,4943.48h,936.27h,,,,1610.27h,1199.23h,213.33h,,5209.55h,,8902.58h,1412.57h,,,,,,
,VDE19-106,[IPR] Include SEPA Instant payments in Standing Order payments,,14088.20h,,,,,,,,,,,14088.20h,0.00h,,,,,,
,VDE19-106,[IPR] Include SEPA Instant payments in Standing Order payments,,14088.22h,,,,,,,,,,,,,,,,14088.22h,0.00h,
,VDE19-56,[IPR] Implement SEPA Instant domestic & cross-border payments in STAR App,,4346.67h,,,,,,,,9741.58h,,,,,,,,14088.25h,0.00h,
,VDE19-164,"[IPR] Have fraud  rejection  for  payments initiated from ""list of payments""",2/6/25,3335.82h,,,,,,,,,,,,,,10752.47h,,14088.28h,10752.47h,
,VDE19-86,[IPR] Send payments from batches to fraud screening,12/15/25,4612.65h,0.00h,,,,,,,1049.40h,5163.02h,0.00h,,,,,3263.20h,10825.07h,5163.02h,
,VDE19-111,[IPR] Integrate instant payments working functionality in Swedbank Gateway,,14020.63h,67.58h,,,,,,,0.10h,,,,,,,,14088.32h,0.00h,
,VDE19-179,[IPR] Integrate instant payments working functionality  in Ibank for Mass payments,,5474.12h,0.00h,,,,,,,8282.65h,331.58h,,,,,,,14088.35h,331.58h,
,VDE19-61,[IPR] Integrate Instant payments working functionality in Ibank in List of payments,,5617.43h,0.00h,,,,,,,6286.32h,2184.60h,,,,,,,14088.35h,2184.60h,
,VDE19-144,[IPR] Integrate instant payments working functionality in Ibank in file import ,,8476.37h,0.00h,,,,,,,5280.40h,331.58h,,,,,,,14088.35h,331.58h,
,VDE19-55,[IPR] ensure possibility for Payment flow manager to throttle instant payments towards beneficiary banks using external service,,14088.40h,,,,,,,,,,,,,,,,14088.40h,0.00h,
,VDE19-83,[IPR] Manage the file archive (MVP2 - Post GoLive),,14088.43h,,,,,,,,,,,,,,,,14088.43h,0.00h,
,VDE19-125,[IPR] Track processing progress (incoming),3/20/26,3869.07h,0.00h,,,,,,,1746.62h,7492.03h,0.00h,,,,,980.68h,13107.72h,7492.03h,
,VDE19-135,[IPR] Broadcast file processing events (MVP2 - Post GoLive),,14088.47h,,,,,,,,,,,,,,,,14088.47h,0.00h,
,VDE19-145,[IPR] Validate the file and submit payments to FLM for processing,2/13/26,2957.52h,0.00h,,,,,,,2519.28h,6791.90h,0.03h,,,,,1819.70h,12268.73h,6791.93h,
,VDE19-105,Enabler: [TPH] Discover and define second flow - outgoing payments towards to TPH,1/19/26,11669.43h,,,,,,,,,,,,,,2419.08h,,14088.52h,2419.08h,
,VDE19-78,[IPR] [Enabler] Define the process for payment orders from the files,5/7/25,1154.38h,0.00h,,,,,,,4341.45h,0.00h,,,,,,8592.67h,5495.83h,0.00h,
,VDE19-66,[IPR] Broadcast events to initiatiors about changes of payment order orchestration,12/9/25,2207.90h,548.98h,,,,,,,5765.70h,1363.93h,749.85h,,,,,3404.13h,10636.37h,2113.78h,
,VDE19-148,[IPR] Capture payment order data and start orchestration,1/27/26,2861.78h,0.00h,,,,,,,4315.70h,2757.03h,1920.35h,,,,,2233.67h,11854.87h,4677.38h,
,VDE19-87,[IPR] Define common payment order orchestration process,12/2/24,1757.12h,,,,,,,,,,,,,,12331.47h,,14088.58h,12331.47h,
,VDE19-149,[IPR] ensure possibility for Payment flow manager to initiate book keeping transactions using external services (Mass Payment),1/9/26,10681.83h,,,,,,,,700.07h,,,,,,2658.70h,,14040.60h,2658.70h,
,VDE19-153,[IPR] ensure possibility for Payment flow manager to check payment order duplicity and store payment order using external service,1/9/26,4444.60h,0.00h,,,,,,,2708.33h,4276.90h,0.00h,,,,,2658.77h,11429.83h,4276.90h,
,VDE19-134,[IPR] (ON-HOLD)Make decisions based on business rules,8/19/25,7995.13h,,,,,,,,,,,,,,6093.50h,,14088.63h,6093.50h,
,VDE19-168,[IPR] ensure possibility for Payment flow manager to initiate payment towards payment execution engines using external services,1/16/26,5812.23h,818.93h,,,,,,,3215.50h,87.37h,1663.15h,,,,,2491.42h,11597.18h,1750.52h,
,VDE19-47,[IPR] reading and writing outgoing payment order's data using Payment order data manager,6/20/25,1876.63h,0.00h,,,,,,,2207.88h,2445.72h,0.00h,,,,,7534.42h,6530.23h,2445.72h,
,VDE19-76,[IPR] ensure possibility for Payment flow manager to request and book Mass Payment fees from external services,,13366.30h,,,,,,,,722.37h,,,,,,,,14088.67h,0.00h,
,VDE19-137,[IPR] (ON-HOLD) validate payment order data using Payment order validator (MVP2 - Post GoLive),,11086.53h,,,,,,,,2954.20h,,,,,,,,14040.73h,0.00h,
,VDE19-39,[IPR] ensure possibility for Payment flow manager to consume SGW payment order limits using external service,3/10/26,3307.07h,0.00h,,,,,,,7977.40h,1488.57h,0.00h,,,,,1219.68h,12773.03h,1488.57h,
