Type,Key,Summary,Resolution Date,Open,Ready for Refinement,Investigation,Reopened,To Do,Backlog,Refined,In Development,Ready for test,In Testing,Blocked,ON-HOLD testing,Selected for Development,In Progress,Waiting for acceptance,Done,Abandoned
,PAYME-1601,Update API end point collecting payment information needed for pain.002,3/12/26,0.03h,767.58h,,,,,0.00h,73.23h,1077.87h,71.40h,,101.15h,,,,263.12h,0.00h
,PAYME-1599,Foreign payments regression testing on Skyvaut in LV [15.12-17.12],12/17/25,0.00h,0.32h,,,,,,,54.78h,0.00h,,0.00h,,,,2301.87h,
Production bug,PAYME-1600,[iBank] Country code is not validated for imported SEPA payment,12/19/25,0.00h,92.95h,,,,,0.00h,22.18h,50.18h,0.62h,,,,,,2255.47h,
,PAYME-1598,CRE payments end up with incorrect VOPOPT status when VOP is not performed in import of payment page,12/29/25,0.45h,47.10h,94.95h,162.13h,,,0.08h,21.38h,77.48h,0.68h,,,,,,2018.33h,
,PAYME-1596,[iBank] Mass payments - new column name not always is readable,12/18/25,0.10h,0.17h,,1.17h,,,0.00h,95.97h,45.12h,0.67h,,,,,,2282.65h,
,PAYME-1592,[iBank] mass payments - 2acceptor gets incorrect message,12/18/25,0.05h,0.83h,,,,,0.00h,18.02h,123.05h,23.20h,,,,,,2280.88h,
Bug Sub-Task,PAYME-1588,List of Payments text issues in LT IB,1/5/26,5.23h,186.00h,,,,,0.00h,,292.08h,140.73h,,,,,,1851.27h,
Bug Sub-Task,PAYME-1584,List of Payments issues in LV IB,1/7/26,28.48h,25.52h,,0.97h,,,0.00h,327.20h,313.23h,3.23h,,,,,,1799.93h,
,PAYME-1580,Create gate environment for W991 service (podm/worker-vop-handler),12/9/25,0.00h,0.00h,,,,,0.00h,25.07h,0.00h,0.00h,,,,,,2493.57h,
,PAYME-1593,Payment performance testing on Skyvaut in LV [15.12-17.12],12/17/25,0.32h,163.17h,,,,,,,48.57h,0.10h,,0.00h,,,,2308.00h,
,PAYME-1578,Info message for customer before and after the script is performed,1/14/26,241.57h,0.00h,,,,,0.00h,24.12h,693.85h,0.78h,,,,,,1629.92h,
,PAYME-1577,[worker-payment-vop-handler] Retry failed events due to PODM unavailability after 30 min,1/16/26,0.00h,0.02h,336.67h,,,,0.00h,285.97h,168.88h,219.10h,,,,,,1582.05h,
,PAYME-1575,FP clean-up (remove/delete SEPA rulebook Sysglobal SEPA_RB_2025_START),12/31/25,0.42h,112.68h,,,,,0.00h,48.12h,269.02h,216.02h,,0.42h,,,,1967.40h,
,PAYME-1574,[core-payment-order-data-manager] Respond gracefully if duplicate record not possible to be inserted in PAYMENTS_REFERENCE table,,1.00h,2616.10h,,,,,,,,,,,,,,,
,PAYME-1573,[DB] Enhance table PAYMENT_REFERENCE functional index with checking code PBH_ID uniqueness,,1.25h,2616.10h,,,,,,,,,,,,,,,
,PAYME-1565,[iBank] missing label for defective payments in Salary payments page,12/22/25,0.07h,0.00h,,41.40h,,,99.10h,167.53h,265.58h,3.88h,,,,,,2182.72h,
,PAYME-1564,[iBank] List of payments - an error has occurred when signing from list of payments,12/22/25,174.65h,0.00h,0.00h,,,,0.00h,43.42h,241.15h,0.00h,,,,,,2183.60h,140.68h
,PAYME-1562,[worker-payment-vop-handler] Remove National characters for Cross-Border SEPA/SEPA Instant payments in case of Close Match,12/11/25,0.00h,0.38h,,,,,4.88h,134.95h,190.47h,31.70h,17.25h,,,,,2451.42h,
,PAYME-1558,OPTED out for mass payments,11/28/25,0.02h,0.00h,,,,,71.12h,30.08h,68.73h,0.98h,,,,,,2759.82h,
,PAYME-1544,[core-payment-order-data-manager] Add new relation between RELATED_SYSTEM_REFERENCE and DP_VOP.VOP_REQUEST_ID,12/22/25,0.05h,99.33h,,62.75h,,,0.00h,29.00h,583.27h,0.00h,,,,,,2181.13h,
,PAYME-1538,[Production preparations] To prepare worker payment vop handler for production deployment,,114.87h,26.00h,,,,,166.00h,385.83h,,,815.70h,,,,,1466.17h,
,PAYME-1706,Update foreignSepaPaymentWithAdditionalSepaFieldsSW to cover all fields address,3/12/26,1225.43h,,,,,1499.85h,,,,,,,,,,265.33h,
,PAYME-1705,Update sendForeignPaymentTestExpress to cover Hybrid address,3/23/26,1392.48h,0.00h,,,,1499.87h,0.00h,,0.00h,97.30h,,,,,,0.97h,
,PAYME-1704,Update sendForeignPaymentUrgent to cover Unstructured address,,1396.50h,0.00h,,,,1499.88h,0.00h,,0.00h,94.27h,,,,,,,
,PAYME-1703,Update sendForeignPaymentNormalUsd to cover Structured address,,1226.95h,0.00h,,,,1499.90h,0.00h,263.82h,,,,,,,,,
,PAYME-1555,Deploy Windows applications to Skyvault environment in Dev and Gate,,3003.95h,,,,,,,,,,,,,,,,
,PAYME-1554,Set-up environments in Skyvault - Windows in Dev and Gate,,3003.98h,,,,,,,,,,,,,,,,
,PAYME-1678,[iBank] Implement VOP changes in Mass/Salary payments functionality,,0.10h,169.75h,,,,69.00h,1299.87h,,,,,,1486.65h,,,,
,PAYME-1534,[iBank] Create intermediate file upload status and update the logic when the file can be deleted or opened,12/19/25,0.42h,330.02h,,307.60h,,,6.07h,67.00h,34.47h,87.87h,,,,,,2260.70h,
,PAYME-1517,Create VopEvent retry mechanism if podm is unavailable,11/14/25,0.00h,0.00h,,,,,0.00h,21.15h,0.00h,0.00h,,,,,,3096.60h,
,PAYME-1515,[Performance Testing] VoP File Processing for Large Payment Volumes,3/4/26,1.57h,2208.75h,,,,,0.00h,,,187.13h,286.35h,,,,,459.95h,0.00h
,PAYME-1510,[worker-payment-vop-handler] Improve the functionality when beneficiary name is updated in Close Match cases,1/22/26,2.50h,0.47h,,,,,15.70h,8.55h,765.15h,845.38h,66.35h,23.17h,,,,1441.75h,
,PAYME-1509,Monitoring and Alerting,11/13/25,0.00h,0.00h,,,,,0.00h,27.53h,0.00h,0.00h,,,,,,3117.82h,
,PAYME-1702,[STAR] update existing test cases hybrid postal addresses format for all payments types,,1492.85h,,,,,472.12h,,,,,,,1302.37h,,,,
,PAYME-1504,"Mass File upload: ""Close Match"" specifications because of symbol limitation",12/22/25,312.57h,0.00h,,0.43h,,,218.37h,111.83h,429.00h,33.08h,,,,,,2183.30h,
,PAYME-1502,"List of Payments/Mass: ""Close Match"" specifications because of symbol limitation",1/15/26,693.53h,0.00h,3.38h,354.72h,,,0.00h,217.80h,125.97h,288.23h,,,,,,1605.07h,
,PAYME-1501,"File upload: ""Close Match"" specifications because of symbol limitation",12/22/25,188.08h,0.00h,,,,,3.18h,406.78h,220.87h,284.60h,,,,,,2185.37h,
Bug Sub-Task,PAYME-1500,"List of Payments: ""Close Match"" specifications because of symbol limitation",3/2/26,357.57h,0.00h,,285.35h,,,0.00h,655.22h,1440.85h,66.22h,,,,,,507.65h,
,PAYME-1499,S1.3 [DB] Create DB Script to Set VOP_STATUS for Existing Payments,2/26/26,0.35h,841.57h,141.73h,101.30h,,,0.00h,875.32h,650.82h,125.33h,,,,,,597.45h,
,PAYME-1549,[core-payment-order-data-manager] * Debtor account value missing from GET basic-report-data API,3/19/26,0.32h,1510.90h,,146.07h,,,0.00h,652.88h,598.78h,286.50h,,,,,,95.87h,
,PAYME-1495,[payment-services] Update single payment VOP request data saving by using RELATED_SYSTEM_REFERENCE instead of DP_ID,11/28/25,19.90h,239.78h,,,,,0.00h,140.42h,23.67h,170.53h,,,,,,2761.97h,
,PAYME-1493,"""Perform VoP"" button in case of double acceptance",12/10/25,75.80h,0.00h,,,,,2.63h,174.55h,384.12h,119.90h,160.02h,46.75h,,,,2470.12h,
,PAYME-1491,Specific requirements for Mass/Salary file in List of Payments,1/19/26,5.72h,0.00h,,25.22h,,,0.00h,214.80h,1554.22h,2.73h,189.27h,,,,,1514.62h,
,PAYME-1484,[DB]: Improve DP_VOP table with new attributes needed for temporary saving the resp/req data,12/19/25,166.05h,70.13h,0.00h,,,,0.00h,743.17h,92.63h,3.32h,191.32h,,,,,2256.13h,
,PAYME-1533,[DB] Change RELATED_SYSTEM_CODE and RELATED_SYSTEM_REFERENCE to NOT NULL,12/10/25,0.62h,1033.47h,,,,,0.00h,122.58h,48.18h,0.05h,,,,,,2469.12h,
,PAYME-1477,[DB]: Add new values in DP_VOP_STATUS,10/24/25,0.43h,0.00h,,,,,137.37h,0.58h,11.25h,2.50h,,,,,,3542.53h,
,PAYME-1476,"[iBank] . IU changes for ""New button 'Perform VoP' in List of payments""",12/11/25,0.02h,0.00h,,,,,0.00h,356.32h,484.42h,168.37h,289.55h,46.73h,,,,2445.85h,
,PAYME-1532,[core-payment-order-data-manager] - PATCH - /pmtInf/cdtTrfTxInf/rltdRmtInf/rmtId can not be updated,,20.15h,3772.42h,,,,,,,,,,,,,,,
,PAYME-1552,[core-payment-order-data-manager] * Add chnlPmtVrsn to POST mass-payment-header response,1/19/26,0.03h,2010.92h,,,,,0.00h,22.97h,103.65h,163.68h,,,,,,1513.00h,
,PAYME-1548,[core-payment-order-data-manager] * PATCH - dbtrAgt & cdtrAgt deleted after debtor Postal address Update,2/5/26,6.95h,2249.82h,,305.52h,,,0.00h,25.92h,75.38h,0.12h,,,,,,1108.83h,
,PAYME-1551,[core-payment-order-data-manager] * Add signing info to mass-payment-header API,1/23/26,0.67h,2065.32h,0.00h,28.63h,,,0.00h,107.95h,58.95h,163.33h,,,,,,1414.33h,
,PAYME-1492,IBank: VOP handling in Mass payment edit page,2/23/26,909.93h,,,,,,,931.45h,25.02h,530.18h,533.73h,263.90h,,,,671.42h,
,PAYME-1550,[core-payment-order-data-manager] * Create GET API for Mass payment header information,1/19/26,0.00h,1323.03h,144.42h,,,,232.98h,434.25h,176.12h,164.53h,,,,,,1512.17h,
,PAYME-1466,[iBank] Update information to customers about VOP validity,11/4/25,1.18h,168.12h,,,,,0.00h,6.28h,0.48h,18.93h,620.85h,,,,,3339.13h,
,PAYME-1467,[Investigate] Performance findings of PODM usage by FlowManager and potential improvement,,19.52h,530.18h,,,,,285.35h,142.82h,,,242.88h,,,,,2954.32h,
,PAYME-1514,IBank: Needed updates for Salary payment approval screens,2/17/26,1031.72h,1484.10h,,2.60h,,,0.00h,404.87h,101.18h,334.30h,,,,,,814.58h,
,PAYME-1512,"IBank: VoP integration for button ""Save"" and ""Forward"" in Manual Mass/Salary payment form",1/16/26,1009.33h,45.87h,,,,,0.00h,721.28h,620.68h,219.45h,,,,,,1582.33h,
,PAYME-1449,Batch handler: test status response creation for batch,,0.67h,966.27h,,,,,,,,,,3351.52h,,,,,
,PAYME-1448,[S1.3] Batch handler: test status response creation for not valid batch/payment file,3/5/26,0.82h,1330.28h,,,,,380.53h,73.82h,357.60h,215.00h,,1549.70h,,,,434.80h,0.00h
,PAYME-1531,[core-payment-order-data-manager] Change how 'OTHR' party id is returned by GET endpoint,,76.18h,3665.85h,,94.33h,,,0.00h,201.37h,1.02h,242.58h,64.73h,,,,,,
,PAYME-1701,[Selenium] star - review DailyBankingPage,,748.80h,,,,,333.10h,,1491.15h,,,,,0.12h,1775.97h,,,
,PAYME-1553,[core-payment-order-data-manager] * Improve POST mass-payment-header to populate MM value to header table,3/6/26,216.42h,3000.88h,,,,,0.00h,88.27h,749.95h,24.78h,,,,,,406.13h,
,PAYME-1530,[core-payment-order-data-manager]* improve POST/PATCH mass-payment-header not to create empty rows in channel table,3/10/26,216.40h,3764.98h,0.33h,,,,0.00h,93.15h,0.68h,26.52h,,,,,,312.52h,
,PAYME-1406,s1.3 Testing SGW - [iBank] Display VoP statuses in List of Payments for different payment types based on in channel code,2/24/26,0.00h,161.43h,724.18h,0.80h,,,103.07h,932.35h,1582.38h,338.65h,,,,,,647.17h,
Production bug,PAYME-1396,[FORMS] missing status name in forms teller for FPO payments for holder_channel_code 'FPOB',9/17/25,0.23h,20.05h,,,,,118.30h,0.00h,1.30h,2.98h,,,,,,4488.40h,
,PAYME-1456,[EPE]: Implement and enhance payment eligibility criteria for payments requiring VoP and NameCheck,1/6/26,557.53h,65.62h,,0.02h,,,0.00h,167.62h,1018.12h,572.35h,457.58h,,,,,1821.08h,
,PAYME-1454,[DB] Create new query to check for VoP statuses in DP while page refresh is performed in file import iBank,11/28/25,0.23h,1440.73h,0.07h,,,,0.00h,135.75h,216.73h,170.87h,49.10h,,,,,2760.50h,
,PAYME-1391,[worker-payment-vop-handler] Create new application for VoP request handling from EPE and iBank,1/14/26,0.02h,0.00h,743.35h,,,,31.37h,358.25h,1465.08h,0.17h,492.93h,,,,,1634.90h,
,PAYME-1390,"[core-payment-order-data-manager] add VOP mappings to the GET, STORE and PATCH PODM APIs",12/23/25,0.12h,20.57h,311.85h,206.97h,,,0.28h,319.07h,945.27h,137.05h,674.65h,,,,,2086.27h,0.18h
,PAYME-1370,[CORE DB] start TH/THN decommission,9/8/25,0.02h,0.00h,,,,,0.00h,53.73h,14.62h,0.00h,,,,,,4706.52h,
,PAYME-1366,Beneficiary bank's correspondent bank data issue,9/29/25,0.03h,213.55h,,,,,0.00h,70.87h,338.93h,0.52h,,,,,,4201.23h,
,PAYME-1378,S4.5 - [core-payment-order-data-manager] Wrong format saved for debtor account when IBAN provided,10/7/25,1.85h,291.27h,,68.25h,,,21.38h,149.93h,265.93h,21.95h,,,,,,4007.57h,
,PAYME-1395,[iBank] 2. Displaying & set the statuses for the VOP results for Mass/Salary files saved to List of payments,1/15/26,150.40h,642.93h,,,,,,264.57h,483.27h,577.67h,1105.45h,,,,,1605.02h,
,PAYME-1377,[core-payment-order-data-manager] Replace reqdExctnDt with valDt in mass-payment-header,10/6/25,0.07h,155.50h,43.17h,90.17h,,,0.00h,43.45h,473.87h,8.90h,,,,,,4032.08h,
,PAYME-1369,[core-payment-order-data-manager] * Replace reqdExctnDt and intrBkSttlmDt with valDt,9/15/25,0.25h,28.88h,45.00h,,,,0.00h,68.23h,53.43h,118.67h,,,,,,4535.35h,
,PAYME-1375,[core-payment-order-data-manager] Change how PODM operates with payment party ids,,161.87h,,4709.73h,,,,,,,,,,,,,,
,PAYME-1383,"[iBank] 3. VoP Integration for button ""Save payment for later"" in Smartform",2/19/26,193.05h,237.32h,,328.38h,,,73.70h,312.40h,985.67h,922.33h,1050.37h,,,,,768.58h,
,PAYME-1527,Create API end point to get all batches created for the payment file,12/18/25,526.57h,2213.22h,,3.17h,,,0.00h,68.72h,219.17h,42.42h,,0.00h,,,,2258.50h,
,PAYME-1524,Create API end point to get status report data by its SID,12/18/25,526.75h,2190.93h,,0.48h,,,0.00h,22.42h,284.80h,37.72h,,,,,,2268.82h,
,PAYME-1521,Create API end point to get fraud screening data by its SID,12/15/25,526.78h,2187.40h,,25.72h,,,0.00h,135.98h,105.72h,1.10h,,,,,,2349.25h,
,PAYME-1334,"#17 - Imported, signed duplicate payment becomes failed in list of payments after some time. Also when trying to delete this failed payment from list of payments, error ''retCode:9969'' appears",9/7/25,0.55h,0.00h,,,,,474.47h,0.17h,3.88h,140.68h,,,,,,4732.42h,
,PAYME-1520,Create API end point to get all payments created for a batch,12/18/25,550.63h,2185.67h,,13.80h,,,0.00h,27.65h,290.85h,3.07h,,,,,,2284.12h,
,PAYME-1525,Create API end point to get all status reports created for the batch,12/31/25,571.45h,1976.35h,,400.10h,,,0.00h,255.15h,192.15h,10.60h,0.75h,,,,,1970.05h,
,PAYME-1311,"S3.5 - Duplicate FPO payments processing, imported in IBANK",9/7/25,19.93h,93.62h,474.45h,,,,0.00h,99.97h,1.85h,44.30h,,,,,,4732.50h,
,PAYME-1384,[iBank] 4. Display the performed VOP results in List of payments approval page,1/14/26,795.22h,642.58h,,,,,0.00h,1080.17h,859.22h,462.00h,,,,,,1634.58h,
,PAYME-1547,[core-payment-order-data-manager] * Improve 'GET payment id' API to get all payments belonging to a batch,3/12/26,1415.68h,3047.93h,289.40h,,,,0.00h,265.28h,92.87h,140.78h,,,,,,266.72h,
,PAYME-1545,[core-payment-order-data-manager] * Create GET API for batch session information,2/25/26,1893.47h,332.75h,484.50h,,,,0.00h,42.33h,122.85h,1.75h,2018.38h,,,,,623.02h,
,PAYME-1392,[DB]: Add new attributes in DP and file import,9/27/25,0.17h,1024.32h,,4.08h,,,118.85h,7.20h,211.62h,17.77h,,,,,,4252.52h,
,PAYME-1389,[iBank] 7. New button 'Perform VoP' in List of payments,1/21/26,1001.20h,988.58h,,160.97h,,,0.00h,621.80h,1183.57h,170.27h,49.28h,44.77h,,,,1465.87h,
,PAYME-1388,[iBank] 6. Add filter for VOP results in List of payments,1/7/26,1004.03h,676.08h,,545.67h,,,0.00h,170.13h,692.18h,75.23h,440.80h,257.87h,,,,1803.23h,
,PAYME-1374,[core-payment-order-data-manager] * track API requesting application and save it to database,10/24/25,19.30h,1611.87h,,,,,190.57h,167.37h,217.50h,21.38h,,,,,,3602.75h,
,PAYME-1270,S3.6 - TH/THN decommission leftovers,9/8/25,22.58h,673.73h,,18.57h,,,0.00h,437.13h,46.48h,0.03h,,,,,,4708.73h,
,PAYME-1373,[core-payment-order-data-manager] PATCH with rltdSys does not increase pmtVrsn,,1172.12h,4801.85h,,,,,,,,,,,,,,,
,PAYME-1372,[core-payment-order-data-manager] * PATCH replaces related references if full list not provided,3/18/26,1103.32h,4035.38h,287.50h,0.05h,,,15.55h,106.20h,167.28h,93.33h,,,,,,117.72h,
,PAYME-1256,[iBank] OBN: Authorized future payment should appear in List of payments,7/25/25,0.13h,0.00h,,27.88h,,,0.05h,162.82h,164.78h,75.80h,,,,,,5783.43h,
,PAYME-1379,S4.3 - [core-payment-order-data-manager] * Add pmtVrsn and chnlPmtVrsn in PATCH response body,9/29/25,1270.48h,348.78h,44.30h,,,,34.93h,99.78h,308.63h,3.50h,,,,,,4201.58h,
,PAYME-1380,[core-payment-order-data-manager] improve POST/PATCH payment endpoints to not create empty DP_ISO entries,,1274.28h,4663.48h,44.45h,,,,0.00h,334.23h,,,,,,,,,
,PAYME-1254,[iBank] Private users: defective/cancelled payments can't be executed,7/8/25,0.85h,0.00h,,2.43h,,,20.65h,1.58h,2.83h,115.57h,,,,,,6191.15h,
,PAYME-1452,Ibank Mass/Salary file upload: Displaying the VOP results for uploaded files,12/18/25,2591.35h,0.00h,,71.10h,,,460.73h,52.00h,460.28h,286.38h,184.87h,,,,,2280.12h,
,PAYME-1382,[iBank] 1. Display the performed VOP results in List of Payments,3/2/26,1709.72h,381.33h,,329.70h,,,0.00h,958.17h,1062.15h,770.02h,649.37h,44.73h,,,,507.63h,
,PAYME-1252,Change API which updates status report information,8/20/25,0.00h,1272.78h,,,,,0.00h,26.63h,0.00h,0.00h,,,,,,5161.38h,
,PAYME-1251,Review monitoring and make the necessary improvements,9/30/25,1605.05h,0.00h,194.85h,,,,0.00h,504.20h,0.00h,0.00h,,,,,,4175.48h,
,PAYME-1250,Do not move SEPA payments between DP and VMK after TH_THN_VMK_DECOMMISSION,7/19/25,0.00h,315.78h,,,,,22.37h,114.27h,30.87h,70.37h,,,,,,5928.32h,
,PAYME-1244,[IBANK] incorrect status for FPO payment in account statement,6/16/25,0.33h,0.08h,,,,,0.00h,0.63h,1.58h,0.02h,,,,,,6719.30h,
,PAYME-1203,[PODM] Error on duplicate checking when duplicate found,6/10/25,0.00h,2.55h,,,,,0.00h,0.95h,2.37h,0.00h,,,,,,6862.40h,
,PAYME-1201,(Core reports) Adjust local_benchmark reports (PB),6/13/25,0.07h,95.03h,,,,,3.37h,1.20h,67.48h,3.78h,,,,,,6792.97h,
,PAYME-1199,[PAYME-1005] - GET: - Outgoing payment: always provide iban (transform short account to IBAN using stored procedures),,0.13h,13.67h,,,,,0.00h,0.43h,,,70.88h,,,,,6889.77h,
,PAYME-1196,[PAYME-1012] - debtorAgentBICRule & creditorAgentBICRule & partyIdentificationRule on PATCH update,6/20/25,6.33h,0.00h,0.97h,,,,3.03h,239.12h,68.10h,24.22h,16.37h,,,,,6625.32h,
,PAYME-1451,Ibank file upload: Display the performed VOP results - approval page,12/23/25,3140.35h,0.00h,,3.65h,,,0.00h,78.20h,238.12h,891.95h,521.90h,,,,,2159.33h,
,PAYME-1455,Ibank file upload: Displaying the VOP results for uploaded files,12/22/25,3045.40h,0.00h,,,,,0.00h,114.62h,313.38h,844.70h,527.50h,,,,,2183.57h,
,PAYME-1191,Set DP.CREDITOR_BANK_CODE as null when there is no IBAN in FORMS TELLER,6/4/25,0.13h,0.00h,,,,,17.65h,4.20h,25.10h,0.00h,,,,,,7007.60h,
,PAYME-1190,[IBANK] tech error when trying to forward/clicking on payment in import of payments page,6/6/25,0.13h,8.88h,,52.15h,,,0.00h,58.45h,27.65h,2.47h,,,,,,6978.92h,
,PAYME-1453,"Ibank file upload: Opt in/out of VOP, including notification for customers",1/7/26,2808.73h,335.50h,,,,,0.00h,115.50h,1179.40h,315.83h,596.70h,,,,,1801.23h,
,PAYME-1381,[DB]: create sysglobal for VOP in List of Payments,9/24/25,771.23h,1720.28h,,,,,0.17h,5.32h,144.77h,0.13h,,,,,,4318.33h,100.38h
,PAYME-1188,NPE exceptions thrown on payment status request in open-bank,6/2/25,0.08h,16.83h,,,,,0.00h,71.42h,0.87h,6.03h,,,,,,7054.30h,
,PAYME-1185,[IBANK] import FPO payment issue,6/20/25,1.13h,115.08h,,55.18h,,,0.00h,120.18h,234.23h,116.62h,,,,,,6627.52h,
,PAYME-1184,[core-payment-order-data-manager] Enhance the POST single payment order API to allow creating a payment using a previously selected ID provided in the request payload,6/2/25,93.38h,0.32h,,2.85h,,,2.93h,64.12h,97.37h,0.38h,0.00h,,,,,7056.45h,
,PAYME-1231,[ISO Exchange] Implement new xsd for CLM camt.053,9/14/25,691.00h,0.00h,1105.05h,,,,171.18h,1.60h,784.10h,0.58h,,,,,,4566.32h,
,PAYME-1234,S3.4 - [ISO Exchange] Implement new xsd for RTGS camt.053,9/14/25,691.12h,0.00h,1105.02h,,,,148.72h,23.80h,783.97h,0.40h,,,,,,4566.93h,
,PAYME-1178,[core-payment-order-data-manager] create api endpoint for reserving DP ID,6/2/25,1.23h,98.08h,,,,,0.37h,2.55h,68.00h,93.57h,,,,,,7059.70h,
,PAYME-1177,[Core DB] Update domestic payments suggestions views,6/4/25,0.13h,214.90h,,,,,76.83h,16.33h,5.48h,23.97h,,,,,,7007.68h,
,PAYME-1176,[iBank] Wrong labels?,6/20/25,477.05h,0.00h,,,,,97.95h,148.63h,13.08h,4.88h,,,,,,6625.43h,
,PAYME-1175,[IBANK] Currency issue when starting new order from payment archive/payment history,5/21/25,0.22h,0.72h,,,,,0.00h,21.93h,26.40h,2.88h,,,,,,7337.93h,
,PAYME-1173,[PAYME-1161] Error 500 when creating a Mass payment header in TEST environment,5/21/25,1.27h,0.00h,,,,,0.00h,0.65h,41.30h,0.00h,,,,,,7347.80h,
,PAYME-1172,[epe] ??? signing from import of payments tech error,6/4/25,0.17h,2.80h,,115.15h,,,0.00h,23.67h,146.47h,98.03h,,,,,,7006.27h,
,PAYME-1166,[PAYME-1006] Outgoing payment order API /api/v1/payments Create payment (accptncDtTm) - Timestamp data changed on DB side/ Missing ACCEPTANCE_UNIX_TIMESTAMP,5/26/25,0.05h,15.15h,,92.17h,,,0.00h,98.58h,48.90h,6.00h,,,,,,7223.85h,
,PAYME-1164,[PAYME-1007] Basic report data API do not return payload array for the requested IDs,5/16/25,0.37h,0.00h,,,,,0.00h,2.20h,21.08h,0.00h,,,,,,7462.15h,
,PAYME-1162,[iBank] Leftovers for changes in iBank,5/19/25,0.22h,3.22h,,,,,0.00h,16.12h,0.63h,99.98h,,,,,,7391.90h,
,PAYME-1161,[core-payment-order-data-manager] Add new attribute (prty) to mass payment header,5/21/25,0.13h,20.33h,,,,,0.07h,1.60h,98.98h,46.15h,,,,,,7345.95h,
,PAYME-1159,[DB] Increase LAST_UPDATED_BY max column length from 14 to 30 in EE DB,6/3/25,545.73h,0.00h,,,,,0.00h,72.73h,23.97h,4.72h,,,,,,7031.70h,
,PAYME-1157,[core-payment-order-data-manager] change multiplicity of endToEndId and chrgBr,5/20/25,0.43h,66.75h,0.05h,0.92h,,,0.92h,1.47h,171.83h,113.88h,,,,,,7371.60h,
,PAYME-1156,Duplicate payment is not shown for FPO payments in smart form,6/4/25,0.05h,236.67h,,0.55h,,,168.85h,0.47h,383.95h,1.53h,,,,,,7008.28h,
,PAYME-1150,[iBank] leftovers from saving foreign payments to DP table,5/15/25,0.25h,0.05h,,24.50h,,,0.00h,330.15h,142.37h,8.10h,,,,,,7493.32h,
,PAYME-1147,[IPR-report final statuses] 7. Create API to collect payment information needed for pain.002,9/24/25,596.30h,2324.87h,,,,,0.00h,142.18h,723.58h,0.00h,0.00h,,,,,4274.23h,
,PAYME-1146,Incorrect data shown in account statement payment details fields.,6/9/25,493.72h,0.00h,174.12h,116.03h,,3.22h,0.00h,408.32h,94.47h,1.32h,,,,,,6891.07h,
,PAYME-1145,Missing Error Label: 13106 in iBank LV (GATE),5/15/25,162.57h,,119.65h,,,3.23h,,0.00h,0.00h,402.63h,0.00h,,,,,7494.37h,
,PAYME-1143,[iBank] leftovers from saving foreign payments to DP table,4/24/25,2.42h,0.00h,,,,,0.00h,40.43h,122.28h,28.32h,,,,,,7991.38h,
,PAYME-1142,[Core DB] Provide original outgoing payment data from DP (2),4/24/25,0.35h,0.07h,,,,,0.00h,17.92h,1.27h,173.10h,,,,,,7992.20h,
,PAYME-1139,[iBank] Provide SWIFT message copy for FPO,5/13/25,0.02h,193.95h,,,,,0.00h,337.93h,118.97h,23.37h,,,,,,7540.22h,
,PAYME-1114,S3.1 - [217][CORE DB]one time migration from THN schema to DP table,9/8/25,482.43h,0.00h,,66.53h,,,503.95h,2159.98h,104.05h,282.25h,,,,,0.00h,4707.47h,
,PAYME-1112,[IPR-report final statuses] 4. Create API to get ISO status reason code and error description,5/22/25,0.55h,716.98h,,,,,0.00h,52.45h,310.68h,0.05h,,,,,,7320.67h,
,PAYME-1101,[core-payment-order-data-manager] improve GET single payment endpoint with additional attributes,4/16/25,4.15h,19.62h,,306.62h,,,0.00h,50.18h,2.10h,7.27h,,,,,,8182.63h,
,PAYME-1100,[217][iBank] Provide ISO message copy for FPO,6/9/25,0.05h,405.37h,,,,,1176.98h,,0.07h,160.42h,,,,,,6894.57h,
,PAYME-1134,[CORE DB] Add/ map TPH error messages to CORE DB,6/11/25,1606.07h,0.00h,,,,,263.97h,0.60h,20.97h,3.43h,,,,,,6839.12h,
,PAYME-1080,[217][bank-components] Add missing mappings,3/31/25,0.00h,0.00h,,,,,0.00h,162.28h,99.95h,0.00h,,,,,,8567.92h,
,PAYME-1079,[core-payment-order-data-manager] create api endpoint for duplicity check,5/9/25,18.35h,96.02h,387.30h,,,,2.42h,195.18h,37.95h,333.50h,122.30h,,,,,7637.47h,
,PAYME-1077,[core-payment-order-data-manager] improve GET payment ID endpoint response with additional attributes,4/3/25,0.25h,100.57h,0.07h,,,,17.25h,50.23h,0.75h,166.05h,,,,,,8501.07h,
,PAYME-1071,[core-payment-order-data-manager] improve GET status endpoint with additional attributes,3/20/25,0.20h,19.42h,1.88h,,,,0.00h,26.02h,1.07h,23.48h,,,,,,8833.12h,
,PAYME-1069,[endpoints call part] Validate pain.001 file content,3/18/25,0.02h,0.00h,,,,,0.00h,24.10h,,,,,,,,8883.93h,
,PAYME-1546,[core-payment-order-data-manager] * Create endpoint for updating mass payment header,3/9/26,1125.37h,2116.77h,92.55h,41.85h,,,24.45h,284.88h,706.97h,285.83h,1871.27h,,,,2.23h,333.15h,2280.60h
,PAYME-1044,STAR LT: add new labels in einvoice's creation,3/24/25,0.00h,45.27h,,,,,0.00h,24.25h,433.18h,0.60h,,,,,,8734.50h,
,PAYME-1056,[IPR-report final statuses] 10. Publish pain.002 information to Kafka topic,9/24/25,1753.95h,2684.40h,,,,,0.00h,24.40h,534.18h,0.00h,,,,,,4317.88h,
