Type,Key,Summary,Resolution Date,Funnel,Backlog,Think it,Idea Box Business,Reviewing,Analysing,Implementing,Choose It,Initial discovery,Delivery,Cancelled,Done,Funnel to Done,Implementing to Done,,,,,
Program Epic,VDE19-4,[IPR] Establish cross border outgoing instant payment service,3/25/26,0.00h,260.40h,1228.03h,,0.00h,3885.67h,8426.55h,841.42h,3310.75h,,,863.83h,17952.82h,12578.72h,,,,,
Program Epic,VDE19-9,[ISO20022] MT to ISO 2025 (CBPR+ flow),2/5/26,3835.92h,1410.17h,5548.20h,,888.38h,509.08h,4779.42h,,,,,2013.48h,16971.17h,4779.42h,,,,,
Program Epic,VDE19-2,Payment system annual changes,11/25/24,,0.00h,1535.32h,412.25h,,,938.05h,1149.70h,649.98h,1870.97h,,12498.42h,6556.27h,4608.70h,,,,,
Program Epic,VDE19-24,[EE ACT] ProScan screening for EE Emergency Act bank to bank payment file,,13436.47h,0.12h,5133.92h,510.62h,,,,,,,,,19081.12h,0.00h,,,,,
Program Epic,VDE19-10,[LT ACT] Payments in case of emergency in Lithuania,,,1484.07h,5396.73h,,7080.12h,4824.28h,,480.30h,,,,,19265.50h,480.30h,,,,,
Program Epic,VDE19-3,[IPR] SEPA payments in one payment form (Internet Bank),3/20/26,,,77.50h,,,,12453.97h,694.90h,2111.62h,3215.98h,,982.52h,18553.97h,18476.47h,,,,,
Program Epic,VDE19-37,[PEPPOL] Implementation of EU e-Invoice standards,1/28/26,11230.02h,,6406.02h,,,,,,,,2206.45h,,19842.48h,2206.45h,,,,,
Program Epic,VDE19-5,Closure of old address structure,,13436.48h,,8276.37h,,,,,,,,,,21712.85h,0.00h,,,,,
Program Epic,VDE19-18,Offline E-Invoice processing,1/28/26,11230.03h,,8273.23h,,,,,3.40h,,,2206.43h,,21713.10h,2209.83h,,,,,
Program Epic,VDE19-15,[IPR] Adjust infrastructure for the new instant payment volumes,4/24/25,,,3433.17h,,,,4538.92h,1198.63h,842.15h,2878.77h,,8897.55h,12891.63h,9458.47h,,,,,
Program Epic,VDE19-34,Accessibility Act Payments,4/13/26,7650.82h,0.00h,8092.40h,,359.78h,191.88h,4826.65h,188.38h,,,,407.28h,21309.92h,5015.03h,,,,,
Program Epic,VDE19-25,[Skyvault migration] Skyvault migration - BPAY services,,4339.02h,,2812.22h,,1206.93h,7914.50h,,4105.32h,1291.27h,,,,21669.25h,5396.58h,,,,,
Program Epic,VDE19-32,[TIDY] Agreement Summary Data & Party integrations for Baltic Payments services,,,9769.17h,0.00h,,,0.00h,3667.30h,0.00h,3768.10h,4490.70h,,,21695.27h,11926.10h,,,,,
Program Epic,VDE19-21,[IPR] Implement an Instant payments feature into the Standing Order and Future-dated payments,,4775.03h,,5467.60h,,1008.18h,7653.25h,,2882.72h,,,,,21786.78h,2882.72h,,,,,
Program Epic,VDE19-6,[ISO20022] Agent charges management MT to ISO 2024 (CBPR+ flow),11/18/24,,,4818.47h,,,,766.03h,2020.38h,0.55h,1680.27h,,12670.43h,9285.70h,4467.23h,,,,,
Program Epic,VDE19-35,[Dyn] Dynasty decommissioning (closing gaps),,13436.47h,,8466.15h,,,,,123.18h,,,,,22025.80h,123.18h,,,,,
Program Epic,VDE19-33,[Dyn] [TPH] [Incoming payments] New Foreign Payments System implementation,,,,188.48h,,,,13436.47h,838.93h,5927.77h,1661.27h,,,22052.92h,21864.43h,,,,,
Program Epic,VDE19-30,[ISO20022] MX Payment Initiation via SWIFT,,6887.48h,219.37h,8570.47h,,3767.22h,1845.77h,668.62h,25.38h,,,,,21984.30h,694.00h,,,,,
