Type,Key,Summary,Resolution Date,Open,Ready for Refinement,Investigation,Reopened,In Development,Refined,Ready for test,In Testing,Blocked,Waiting for acceptance,Done,Abandoned,,,,,,
,SOL-1711,[TPH] [EndToEnd] - Incoming customer pacs.009/008 payment Happy Path flow Automation (some more test cases added),,332.68h,,,,,,,,,,,,,,,,,
,SOL-1710,[Booking automation] create BOOKING-PODM automated tests for podm_credited_benef_trn_updated scenario when initial podm entry is not found,,0.00h,,,,25.00h,307.97h,,,,,,,,,,,,
,SOL-1709,[MVP][Funds Update] Implement additional scenario for op_id resolver (TRANCI IN to 7LS),,0.03h,146.40h,,,25.83h,41.75h,120.60h,,,,,,,,,,,
,SOL-1708,[Funds Update automation] UC6C case automation LV & LT,4/16/26,0.58h,,,,45.97h,,,,,,307.73h,,,,,,,
,SOL-1707,"[Funds Update automation] RE-WRITE UC2B case automation EE, LV, LT",4/24/26,167.90h,,,,65.98h,,,,,,120.92h,,,,,,,
,SOL-1706,"[Funds Update automation] RE-WRITE UC2A case automation EE, LV, LT",4/21/26,141.03h,,,,26.42h,,,,,,187.38h,,,,,,,
,SOL-1705,[Funds Update automation] RE-WRITE UC1A case automation LV & LT,4/20/26,48.43h,,,,92.67h,,,,,,213.92h,,,,,,,
,SOL-1701,[PODM] Implement RETURN creation logic in Booking-PODM integration mapping,,50.02h,22.62h,,,94.98h,,190.32h,,,,,,,,,,,
,SOL-1700,[Booking automation] create BOOKING-PODM automated tests for podm_return_from_investigation return scenario when OPAY matches original payment,4/14/26,0.03h,,,,42.00h,,,,,,356.95h,,,,,,,
,SOL-1699,FU test ID conflict - provided TPH transaction id already exists,4/10/26,0.15h,,,,0.25h,,,,,,450.32h,,,,,,,
,SOL-1698,[Booking automation] Improve API framework with removing duplicate functions and moving all constants to enums from BookingServiceTemplateProcessor,,453.37h,,,,,,,,,,,,,,,,,
,SOL-1697,[Booking automation] Improve API framework with removing duplicate functions and moving all constants to enums from BookingServiceTemplateProcessor,4/14/26,0.05h,,,,41.53h,52.97h,,,,,358.80h,,,,,,,
,SOL-1696,[TPH] [EndToEnd] Update tests to have <BizSvc>swift.cbprplus.03</BizSvc>,4/20/26,0.00h,,,,237.92h,,,,,,218.42h,,,,,,,
,SOL-1695,Delete payments with PROD data from TPH,,481.93h,,,,,,,,,,,,,,,,,
,SOL-1694,Upload PROD payment messages to TPH,,482.08h,,,,,,,,,,,,,,,,,
,SOL-1693,Create functionality for creating MT910 PROD messages to TPH,,6.00h,119.83h,,,,356.32h,,,,,,,,,,,,
,SOL-1692,Create SQL script to get overview of transactions in TPH,,482.23h,,,,,,,,,,,,,,,,,
,SOL-1691,Create SQL script to enable messages reprocessing in ISOX,,4.43h,,0.02h,,,,477.97h,,,,,,,,,,,
,SOL-1689,[TPH DB][2 weeks before] Create script for value dates and cut-off times rules,,501.48h,,,,,,,,,,,,,,,,,
,SOL-1688,[KAFKA] Deploy Kafka pipeline to PROD,,502.27h,,,,,,,,,,,,,,,,,
