Type,Key,Summary,Resolution Date,Open,Investigation,Ready for Refinement,Reopened,On Hold,To Do,Backlog,ON-HOLD testing,In Testing,Refined,In Development,Ready for test,Blocked,Selected for Development,In Progress,Waiting for acceptance,Done,Abandoned
,PAYME-1343,Deploy BPAY applications on Skyvault - Container platform,11/19/25,185.40h,,0.00h,,,,,,0.00h,531.68h,1219.47h,0.00h,149.90h,,,,3859.75h,
,PAYME-1386,Execute EURO1 optional test cases,9/24/25,0.47h,,933.38h,,,,,,28.07h,0.00h,,0.00h,,,,,5203.97h,
,PAYME-1340,fields are going out of screen on Giro Payments form in Private ibank - mobile version,8/18/25,6.10h,,0.00h,,,,,,0.37h,0.00h,0.00h,0.67h,0.00h,,,89.45h,6096.83h,
,PAYME-1339,[STAR] Standing order PDF - change address field separators,8/25/25,118.53h,,26.08h,,,,,,95.53h,0.00h,42.40h,5.97h,,,,,5923.15h,
,PAYME-1338,[STAR] Domestic payment PDF reprint - change address field separators,8/25/25,118.85h,,0.53h,,,,,,75.93h,0.00h,67.93h,26.52h,,,,,5922.22h,
,PAYME-1337,[STAR] International payment PDF - change address field separators,8/27/25,121.60h,,22.08h,,,,,,123.33h,0.00h,46.40h,26.23h,,,,,5875.07h,
,PAYME-1527,Create API end point to get all batches created for the payment file,12/18/25,526.57h,,2213.22h,3.17h,,,,0.00h,42.42h,0.00h,68.72h,219.17h,,,,,3119.32h,
,PAYME-1524,Create API end point to get status report data by its SID,12/18/25,526.75h,,2190.93h,0.48h,,,,,37.72h,0.00h,22.42h,284.80h,,,,,3153.62h,
,PAYME-1521,Create API end point to get fraud screening data by its SID,12/15/25,526.78h,,2187.40h,25.72h,,,,,1.10h,0.00h,135.98h,105.72h,,,,,3234.07h,
,PAYME-1336,#19 - When importing FPO payment file with wrong creditor agent bic - status is shown in IBANK  import of payments as PREPARED,8/20/25,20.67h,0.00h,0.00h,,,,,,26.13h,0.00h,126.17h,19.37h,,,,,6044.55h,
,PAYME-1335,"#18 - Icon ""STOP"" not shown",8/28/25,0.47h,,0.00h,54.42h,,,,,20.90h,0.90h,208.83h,93.63h,,,,,5857.73h,
,PAYME-1334,"#17 - Imported, signed duplicate payment becomes failed in list of payments after some time. Also when trying to delete this failed payment from list of payments, error ''retCode:9969'' appears",9/7/25,0.55h,,0.00h,,,,,,140.68h,474.47h,0.17h,3.88h,,,,,5617.22h,
,PAYME-1333,"#16 - Tech error appears when trying to cancel payments done after cut off, initiated via",9/4/25,0.52h,,0.00h,18.58h,,,,,40.92h,473.07h,2.68h,10.98h,,,,,5690.20h,
,PAYME-1332,"#15 - Document number is not unique, can be, that import resets the number?",8/18/25,0.58h,,0.00h,,,,,,4.77h,0.88h,136.70h,3.17h,,,,,6090.88h,
,PAYME-1329,"#12 - Mark OBN payment in list (2nd signature is needed), and try to sign it - appears info about warning or warning is missing",8/18/25,0.58h,,0.00h,,,,,,4.20h,0.00h,,137.65h,,,,,6094.67h,
,PAYME-1328,"#11 - OBN future value date payments, deleted in iBank has incorrect channel status (its become iBank instead of OBN)",8/18/25,0.58h,,0.00h,,,,,,4.18h,0.00h,,137.65h,,,,,6094.70h,
,PAYME-1327,"#10 - European, OBN payment, when 2nd signature is added from list of payments (marking, not opening payment) in archive/history has incorrect channel",8/18/25,0.62h,,0.00h,,,,,,4.17h,0.00h,,137.63h,,,,,6094.72h,
,PAYME-1324,"#7 - When payment was signed by 1st user and still needs 2nd signature, in list of payments -> open payment -> status is accepted",8/12/25,0.42h,,,,,,,,,,,,,,,,6236.80h,
,PAYME-1323,"#6 - NOT RELATED TO THN DECCOMMISION - Not possible to conclude future value date payment in INTERNATIONAL FORM, for some months, if there are 31 day",8/12/25,0.43h,,,,,,,,,,,,,,,,6236.82h,
,PAYME-1321,"#4 - Make an intragroup foreign payment, IBAN is filled, but SWIFT is empty, in 2nd screen missing info, that it was updated",8/12/25,0.43h,,,,,,,,,,,,,,,,6236.85h,
,PAYME-1320,#3 - address is not prefilled:,8/12/25,0.43h,,,,,,,,,,,,,,,,6236.87h,
,PAYME-1318,"#1 - LV: if payment exceed 10k, beneficiary country and code of external payment  are required (OK) but country is not saved to DB, not shown in PDF",8/12/25,0.57h,,,,,,,,,,,,,,,,6236.88h,
,PAYME-1520,Create API end point to get all payments created for a batch,12/18/25,550.63h,,2185.67h,13.80h,,,,,3.07h,0.00h,27.65h,290.85h,,,,,3168.92h,
,PAYME-1525,Create API end point to get all status reports created for the batch,12/31/25,571.45h,,1976.35h,400.10h,,,,,10.60h,0.00h,255.15h,192.15h,0.75h,,,,2854.85h,
,PAYME-1314,"Duplicate imported payment, saved to list of payments, opened and signed from international payment form",9/7/25,19.78h,578.17h,93.63h,,,,,,42.12h,0.00h,,0.25h,,,,,5617.32h,
,PAYME-1313,Duplicate imported payment saved and signed from list of payments,9/7/25,19.80h,578.18h,93.63h,,,,,,42.10h,0.00h,,0.23h,,,,,5617.32h,
,PAYME-1312,Duplicate payment signed from import of payments page,9/7/25,19.82h,578.18h,93.63h,,,,,,42.10h,0.00h,,0.23h,,,,,5617.33h,
,PAYME-1311,"S3.5 - Duplicate FPO payments processing, imported in IBANK",9/7/25,19.93h,474.45h,93.62h,,,,,,44.30h,0.00h,99.97h,1.85h,,,,,5617.30h,
,PAYME-1384,[iBank] 4. Display the performed VOP results in List of payments approval page,1/14/26,795.22h,,642.58h,,,,,,462.00h,0.00h,1080.17h,859.22h,,,,,2519.38h,
Bug Sub-Task,PAYME-1308,[STAR] Ultimate Debtor/Creditor Address fields NOT optional for Urgent/Express EUR to EU/EEA,8/27/25,0.07h,,144.37h,22.23h,,,,,21.42h,169.35h,143.15h,4.62h,,,,,5881.47h,
,PAYME-1547,[core-payment-order-data-manager] * Improve 'GET payment id' API to get all payments belonging to a batch,3/12/26,1415.68h,289.40h,3047.93h,,,,,,140.78h,0.00h,265.28h,92.87h,,,,,1151.52h,
,PAYME-1545,[core-payment-order-data-manager] * Create GET API for batch session information,2/25/26,1893.47h,484.50h,332.75h,,,,,,1.75h,0.00h,42.33h,122.85h,2018.38h,,,,1507.82h,
,PAYME-1316,fields are going out of screen on Giro Payments form in Private ibank - desktop version,8/12/25,46.78h,,0.00h,25.00h,,,,,71.48h,0.00h,26.35h,14.83h,,,,,6241.07h,
,PAYME-1392,[DB]: Add new attributes in DP and file import,9/27/25,0.17h,,1024.32h,4.08h,,,,,17.77h,118.85h,7.20h,211.62h,,,,,5137.32h,
,PAYME-1389,[iBank] 7. New button 'Perform VoP' in List of payments,1/21/26,1001.20h,,988.58h,160.97h,,,,44.77h,170.27h,0.00h,621.80h,1183.57h,49.28h,,,,2350.67h,
,PAYME-1388,[iBank] 6. Add filter for VOP results in List of payments,1/7/26,1004.03h,,676.08h,545.67h,,,,257.87h,75.23h,0.00h,170.13h,692.18h,440.80h,,,,2688.03h,
,PAYME-1280,PoC with new loadbalancer for BPAY applications on Skyvault,8/7/25,24.30h,,0.00h,,,,,,0.12h,0.00h,168.48h,20.58h,,,,,6361.43h,
Production bug,PAYME-1563,[iBank] List of payments - unchecked box,11/28/25,0.25h,,2880.62h,,,0.02h,,,42.55h,0.00h,2.32h,24.42h,,,,,3647.42h,
Bug Sub-Task,PAYME-1276,S3.4 - [STAR] Add ultimate debtor's/creditor's address checkbox is unchecked after validation,8/5/25,0.12h,,0.00h,,,,,,29.22h,29.93h,232.37h,0.25h,,,,,6404.43h,
Bug Sub-Task,PAYME-1275,S3.3 - [STAR] Wrong error message appears when Correspondent bank account is missing Town,7/31/25,0.25h,,0.00h,,,,,,0.38h,29.98h,89.87h,51.58h,,,,,6524.48h,
Bug Sub-Task,PAYME-1274,S3.3 - [STAR] [PB] Correspondent bank's address checkbox is unchecked after validation,7/31/25,0.02h,,0.00h,,,,,,21.63h,1.45h,136.32h,29.93h,,,,,6524.88h,
,PAYME-1374,[core-payment-order-data-manager] * track API requesting application and save it to database,10/24/25,19.30h,,1611.87h,,,,,,21.38h,190.57h,167.37h,217.50h,,,,,4487.55h,
Production bug,PAYME-1278,[iBank] Wrong account selected when buying missing funds from list of payments,7/28/25,51.55h,,0.00h,,,,,,1.25h,0.00h,1.18h,73.00h,,,,,6593.32h,
,PAYME-1271,[STAR] Validation for Hybrid address,7/21/25,1.55h,,,,,,,,,,,,,,,,6767.45h,
,PAYME-1270,S3.6 - TH/THN decommission leftovers,9/8/25,22.58h,,673.73h,18.57h,,,,,0.03h,0.00h,437.13h,46.48h,,,,,5593.55h,
,PAYME-1373,[core-payment-order-data-manager] PATCH with rltdSys does not increase pmtVrsn,,1172.12h,,5380.45h,,,,,,,0.00h,306.18h,,,,,,,
,PAYME-1372,[core-payment-order-data-manager] * PATCH replaces related references if full list not provided,3/18/26,1103.32h,287.50h,4035.38h,0.05h,,,,,93.33h,15.55h,106.20h,167.28h,,,,,1002.52h,
,PAYME-1263,[Selenium/Documentation] Documentation for automation topics,8/4/25,385.83h,,0.00h,,,,,,77.75h,0.00h,16.67h,0.00h,,,,,6428.15h,
Bug Sub-Task,PAYME-1259,[STAR] Validation for Predefined payment Hybrid address is 105 instead of 140 length,7/22/25,0.45h,,53.97h,,,,,,4.57h,0.00h,256.38h,1.25h,0.35h,,,,6740.57h,
,PAYME-1257,[STAR] [LV] Export as PDF button does not work,7/21/25,15.30h,,0.00h,18.88h,,,,,142.28h,0.00h,76.55h,74.62h,,,,,6770.85h,
,PAYME-1256,[iBank] OBN: Authorized future payment should appear in List of payments,7/25/25,0.13h,,0.00h,27.88h,,,,,75.80h,0.05h,162.82h,164.78h,,,,,6668.23h,
,PAYME-1255,[Skyvault] Add functionality for Openshift services to export prometheus metrics to Andromeda,7/22/25,0.00h,,0.00h,,,,,,0.00h,0.00h,425.68h,0.00h,,,,,6745.50h,
,PAYME-1379,S4.3 - [core-payment-order-data-manager] * Add pmtVrsn and chnlPmtVrsn in PATCH response body,9/29/25,1270.48h,44.30h,348.78h,,,,,,3.50h,34.93h,99.78h,308.63h,,,,,5086.40h,
,PAYME-1380,[core-payment-order-data-manager] improve POST/PATCH payment endpoints to not create empty DP_ISO entries,,1274.28h,44.45h,4663.48h,,,,,,,551.40h,667.63h,,,,,,,
,PAYME-1254,[iBank] Private users: defective/cancelled payments can't be executed,7/8/25,0.85h,,0.00h,2.43h,,,,,115.57h,20.65h,1.58h,2.83h,,,,,7075.95h,
,PAYME-1452,Ibank Mass/Salary file upload: Displaying the VOP results for uploaded files,12/18/25,2591.35h,,0.00h,71.10h,,,,,286.38h,460.73h,52.00h,460.28h,184.87h,,,,3164.92h,
,PAYME-1382,[iBank] 1. Display the performed VOP results in List of Payments,3/2/26,1709.72h,,381.33h,329.70h,,,,44.73h,770.02h,0.00h,958.17h,1062.15h,649.37h,,,,1392.45h,
,PAYME-1253,[STAR] Postal address changes for Foreign payment,7/4/25,0.02h,,0.00h,,,,,,27.87h,0.00h,90.37h,44.30h,,,,,7174.07h,
,PAYME-1252,Change API which updates status report information,8/20/25,0.00h,,1272.78h,,,,,,0.00h,0.00h,26.63h,0.00h,,,,,6046.20h,
,PAYME-1251,Review monitoring and make the necessary improvements,9/30/25,1605.05h,194.85h,0.00h,,,,,,0.00h,0.00h,504.20h,0.00h,,,,,5060.28h,
,PAYME-1250,Do not move SEPA payments between DP and VMK after TH_THN_VMK_DECOMMISSION,7/19/25,0.00h,,315.78h,,,,,,70.37h,22.37h,114.27h,30.87h,,,,,6813.12h,
,PAYME-1258,"[FP] Issue, when performing big amount of liquidity transfer",7/9/25,0.00h,,312.25h,,,,,,2.80h,0.00h,8.32h,12.40h,,,,,7053.77h,
,PAYME-1244,[IBANK] incorrect status for FPO payment in account statement,6/16/25,0.33h,,0.08h,,,,,,0.02h,0.00h,0.63h,1.58h,,,,,7604.10h,
,PAYME-1243,[Selenium] Refactor selectors in payments-autotest,6/19/25,0.33h,0.00h,0.00h,,,,,,0.00h,0.00h,145.30h,0.00h,,,,,7531.55h,
,PAYME-1205,[CORE DB] create procedure in DB to move payment from TH/THN to DP structures,9/8/25,0.00h,,0.00h,66.68h,,,,,258.47h,0.00h,1688.05h,124.95h,,,,,5592.27h,
Bug Sub-Task,PAYME-1204,"[PAYME-1012] - API response code 400 on - ""The record has been modified by another user. Please refresh and try again.""",6/10/25,0.17h,,1.33h,,,,,,0.12h,0.00h,0.58h,0.22h,,,,,7749.03h,
,PAYME-1203,[PODM] Error on duplicate checking when duplicate found,6/10/25,0.00h,,2.55h,,,,,,0.00h,0.00h,0.95h,2.37h,,,,,7747.20h,
Production bug,PAYME-1202,[iso-exchange] MQ ports improvement from Manager to Group,,0.00h,,0.90h,,,,,,,0.00h,56.10h,89.53h,0.00h,,,,7607.47h,
,PAYME-1201,(Core reports) Adjust local_benchmark reports (PB),6/13/25,0.07h,,95.03h,,,,,,3.78h,3.37h,1.20h,67.48h,,,,,7677.77h,
Bug Sub-Task,PAYME-1200,[PAYME-1012] - PATCH - IBAN not stored in short after update,6/10/25,10.02h,1.00h,0.00h,,,,,,21.50h,0.00h,3.73h,70.50h,,,,,7752.20h,
,PAYME-1199,[PAYME-1005] - GET: - Outgoing payment: always provide iban (transform short account to IBAN using stored procedures),,0.13h,,13.67h,,,,,,,0.00h,0.43h,,70.88h,,,,7774.57h,
Bug Sub-Task,PAYME-1198,[PAYME-1012] - /pmtInf/cdtTrfTxInf/intrBkSttlmDt Can rewrite initially sent /pmtInf/cdtTrfTxInf/reqdExctnDt value. No error on PATCH request.,6/10/25,16.98h,,0.00h,0.63h,,,,,21.03h,0.00h,4.32h,75.02h,0.00h,,,,7745.65h,
Bug Sub-Task,PAYME-1197,"[PAYME-1006] - /pmtInf/pties/initgPty/id Values stored when ""outChnlCd"" != ""FPO"" or ""TPH%""",6/9/25,16.67h,,0.00h,,,,,,2.12h,0.00h,3.37h,66.37h,,,,,7775.72h,
,PAYME-1196,[PAYME-1012] - debtorAgentBICRule & creditorAgentBICRule & partyIdentificationRule on PATCH update,6/20/25,6.33h,0.97h,0.00h,,,,,,24.22h,3.03h,239.12h,68.10h,16.37h,,,,7510.12h,
Bug Sub-Task,PAYME-1195,[PAYME-1012] Payment version increased by 2 when 'rltdRmtInf' added with PATCH,7/2/25,18.80h,,0.00h,,,,,,25.45h,0.00h,101.25h,19.55h,,,,,7702.68h,
Bug Sub-Task,PAYME-1194,[PAYME-1012] [DB] - Could not execute statement ORA-01031: insufficient privileges,6/11/25,42.65h,0.00h,0.00h,,,,,,19.35h,0.02h,6.07h,0.95h,,,,,7823.13h,
,PAYME-1451,Ibank file upload: Display the performed VOP results - approval page,12/23/25,3140.35h,,0.00h,3.65h,,,,,891.95h,0.00h,78.20h,238.12h,521.90h,,,,3044.13h,
,PAYME-1385,Execute EURO1 mandatory test cases,10/1/25,1729.42h,,907.58h,,,,,,219.88h,0.00h,,0.00h,,,,,5038.55h,
Bug Sub-Task,PAYME-1193,[PAYME-1006] - Improved mapping rules for /pmtInf/cdtTrfTxInf/rgltryRptg/ see mapping,6/9/25,1.85h,,0.00h,10.90h,,,,,5.38h,0.00h,27.20h,75.78h,,,,,7776.00h,
,PAYME-1455,Ibank file upload: Displaying the VOP results for uploaded files,12/22/25,3045.40h,,0.00h,,,,,,844.70h,0.00h,114.62h,313.38h,527.50h,,,,3068.37h,
,PAYME-1192,Prepare container namespaces for PPTE Azure,6/16/25,26.17h,,0.00h,,,,,,0.00h,25.13h,172.33h,88.47h,,,,,7608.52h,
,PAYME-1191,Set DP.CREDITOR_BANK_CODE as null when there is no IBAN in FORMS TELLER,6/4/25,0.13h,,0.00h,,,,,,0.00h,17.65h,4.20h,25.10h,,,,,7892.40h,
,PAYME-1190,[IBANK] tech error when trying to forward/clicking on payment in import of payments page,6/6/25,0.13h,,8.88h,52.15h,,,,,2.47h,0.00h,58.45h,27.65h,,,,,7863.72h,
,PAYME-1453,"Ibank file upload: Opt in/out of VOP, including notification for customers",1/7/26,2808.73h,,335.50h,,,,,,315.83h,0.00h,115.50h,1179.40h,596.70h,,,,2686.03h,
Bug Sub-Task,PAYME-1189,[PAYME-1006] Mapping validation rules does not work for these listed attributes,6/5/25,2.57h,,0.00h,,,,,,57.45h,0.00h,76.62h,14.15h,,,,,7865.80h,
,PAYME-1381,[DB]: create sysglobal for VOP in List of Payments,9/24/25,771.23h,,1720.28h,,,,,,0.13h,0.17h,5.32h,144.77h,,,,,5203.13h,100.38h
,PAYME-1188,NPE exceptions thrown on payment status request in open-bank,6/2/25,0.08h,,16.83h,,,,,,6.03h,0.00h,71.42h,0.87h,,,,,7939.10h,
,PAYME-1187,[Core DB] Add missing rights,5/29/25,2.30h,,0.00h,,,,,,1.25h,0.00h,0.22h,2.15h,,,,,8037.45h,
,PAYME-1185,[IBANK] import FPO payment issue,6/20/25,1.13h,,115.08h,55.18h,,,,,116.62h,0.00h,120.18h,234.23h,,,,,7512.32h,
,PAYME-1184,[core-payment-order-data-manager] Enhance the POST single payment order API to allow creating a payment using a previously selected ID provided in the request payload,6/2/25,93.38h,,0.32h,2.85h,,,,,0.38h,2.93h,64.12h,97.37h,0.00h,,,,7941.25h,
Production bug,PAYME-1186,Instant/SEPA cross-border payments to other country asking BIC or Bank name after payment import,5/26/25,0.40h,,17.85h,,,,,,5.55h,0.00h,71.75h,0.77h,,,,,8107.92h,
,PAYME-1231,[ISO Exchange] Implement new xsd for CLM camt.053,9/14/25,691.00h,1105.05h,0.00h,,,,,,0.58h,171.18h,1.60h,784.10h,,,,,5451.12h,
,PAYME-1229,S3.4 - [ISO Exchange] Implement new xsd for RTGS pacs.010,9/12/25,671.78h,1124.28h,0.00h,,,,,,0.73h,146.87h,20.18h,748.40h,,,,,5492.42h,
,PAYME-1234,S3.4 - [ISO Exchange] Implement new xsd for RTGS camt.053,9/14/25,691.12h,1105.02h,0.00h,,,,,,0.40h,148.72h,23.80h,783.97h,,,,,5451.73h,
,PAYME-1237,S3.4 - [ISO Exchange] Implement new xsd for RTGS camt.056,9/16/25,669.70h,1126.58h,0.00h,,,,,,29.38h,148.73h,23.80h,816.48h,,,,,5390.25h,
,PAYME-1232,S3.4 - [ISO Exchange] Implement new xsd for RTGS camt.029,9/24/25,669.72h,1126.57h,0.00h,,,,,,0.47h,148.75h,23.80h,1030.20h,,,,,5205.43h,
,PAYME-1241,S3.4 - [ISO Exchange] Implement new xsd for RTGS pacs.004,9/26/25,669.18h,1127.13h,0.00h,,,,,,24.52h,146.93h,20.18h,1059.25h,,,,,5157.78h,
,PAYME-1239,S3.4 - [ISO Exchange] Implement new xsd for RTGS pacs.009,9/14/25,644.52h,1151.82h,0.00h,41.48h,,,,,21.87h,147.00h,20.18h,726.02h,,,,,5452.18h,
,PAYME-1230,S3.6 - [ISO Exchange] Implement new xsd for RTGS pacs.008,9/16/25,644.35h,1152.08h,0.00h,,,,,,195.45h,51.55h,115.85h,655.95h,,,,,5390.17h,
,PAYME-1233,S3.6 - [ISO Exchange] Implement new xsd for E1S1 camt.056,9/24/25,644.90h,286.82h,341.83h,27.70h,,,,,26.87h,0.00h,167.93h,1504.40h,,,,,5205.95h,
,PAYME-1240,S3.6 - [ISO Exchange] Implement new xsd for E1S1 camt.029,9/24/25,644.77h,286.95h,341.60h,28.02h,,,,,2.97h,0.00h,137.47h,1558.75h,,,,,5205.93h,
,PAYME-1235,S3.6 - [ISO Exchange] Implement new xsd for E1S1 pacs.004,9/26/25,644.45h,287.28h,337.47h,6.83h,,,,,68.40h,0.00h,74.62h,1628.80h,,,,,5158.63h,
,PAYME-1236,S.3.6 - [ISO Exchange] Implement new xsd for E1S1 pacs.009,9/15/25,644.23h,287.55h,268.78h,25.42h,,,,,50.68h,0.00h,75.52h,1433.53h,,,,,5420.83h,
,PAYME-1242,S3.4 - [ISO Exchange] Implement new xsd for E1S1 pacs.008,10/1/25,643.63h,288.15h,265.87h,0.12h,,,,,1298.75h,0.00h,28.42h,647.65h,,,,,5033.98h,
,PAYME-1178,[core-payment-order-data-manager] create api endpoint for reserving DP ID,6/2/25,1.23h,,98.08h,,,,,,93.57h,0.37h,2.55h,68.00h,,,,,7944.50h,
,PAYME-1238,S3.5 - [FP] Disable InstrForNxtAgt for RTGS and E1S1 pacs.008/009,9/11/25,0.00h,20.53h,1655.13h,22.20h,,,,,70.87h,0.00h,166.30h,775.23h,,,,,5517.25h,
,PAYME-1177,[Core DB] Update domestic payments suggestions views,6/4/25,0.13h,,214.90h,,,,,,23.97h,76.83h,16.33h,5.48h,,,,,7892.48h,
,PAYME-1176,[iBank] Wrong labels?,6/20/25,477.05h,,0.00h,,,,,,4.88h,97.95h,148.63h,13.08h,,,,,7510.23h,
,PAYME-1175,[IBANK] Currency issue when starting new order from payment archive/payment history,5/21/25,0.22h,,0.72h,,,,,,2.88h,0.00h,21.93h,26.40h,,,,,8222.73h,
Test,PAYME-1174,TC1 [PAYME-1161] prty attribute available in schema and saved in CREBIT.DP_OUT_MASS_PMT.PRIORITY,5/21/25,0.37h,,0.00h,,,,,,44.28h,0.00h,,0.00h,,,,,8230.77h,
,PAYME-1173,[PAYME-1161] Error 500 when creating a Mass payment header in TEST environment,5/21/25,1.27h,,0.00h,,,,,,0.00h,0.00h,0.65h,41.30h,,,,,8232.60h,
,PAYME-1172,[epe] ??? signing from import of payments tech error,6/4/25,0.17h,,2.80h,115.15h,,,,,98.03h,0.00h,23.67h,146.47h,,,,,7891.08h,
Test,PAYME-1171,TC5 [PAYME-1007] AC5: Empty or Missing Request Body,5/19/25,0.07h,,,,,,,,,,,,,,,,8277.98h,
Test,PAYME-1170,TC4 [PAYME-1007] AC4: Request with All Invalid IDs,5/19/25,0.12h,,,,,,,,,,,,,,,,8278.07h,
Test,PAYME-1169,TC3 [PAYME-1007] AC3: Request with Some Invalid IDs,5/19/25,68.65h,,,,,,,,,,,,,,,,8278.23h,
Test,PAYME-1168,TC2 [PAYME-1007] AC2: Request with IDs Exceeding Maximum Limit,5/16/25,0.62h,,,,,,,,,,,,,,,,8346.28h,
Test,PAYME-1167,TC1 [PAYME-1007] AC1: Successful Request with Valid IDs,5/19/25,67.93h,,,,,,,,,,,,,,,,8278.97h,
,PAYME-1166,[PAYME-1006] Outgoing payment order API /api/v1/payments Create payment (accptncDtTm) - Timestamp data changed on DB side/ Missing ACCEPTANCE_UNIX_TIMESTAMP,5/26/25,0.05h,,15.15h,92.17h,,,,,6.00h,0.00h,98.58h,48.90h,,,,,8108.67h,
,PAYME-1164,[PAYME-1007] Basic report data API do not return payload array for the requested IDs,5/16/25,0.37h,,0.00h,,,,,,0.00h,0.00h,2.20h,21.08h,,,,,8346.95h,
,PAYME-1163,[STAR] Postal address changes for Domestic payment - Missing validation,5/23/25,93.57h,,0.00h,,,,,,2.13h,0.00h,95.78h,3.68h,,,,,8179.90h,
,PAYME-1162,[iBank] Leftovers for changes in iBank,5/19/25,0.22h,,3.22h,,,,,,99.98h,0.00h,16.12h,0.63h,,,,,8276.70h,
,PAYME-1161,[core-payment-order-data-manager] Add new attribute (prty) to mass payment header,5/21/25,0.13h,,20.33h,,,,,,46.15h,0.07h,1.60h,98.98h,,,,,8230.77h,
,PAYME-1160,Technical error when Import payments,5/13/25,0.18h,,0.00h,,,,,,25.43h,0.00h,70.85h,0.85h,,,,,8424.25h,
,PAYME-1159,[DB] Increase LAST_UPDATED_BY max column length from 14 to 30 in EE DB,6/3/25,545.73h,,0.00h,,,,,,4.72h,0.00h,72.73h,23.97h,,,,,7916.50h,
,PAYME-1158,S3.5 - [STAR] New labels and error messages,8/28/25,2639.30h,,0.23h,17.03h,,,,,8.85h,19.45h,24.05h,2.65h,,,,,5853.03h,
,PAYME-1157,[core-payment-order-data-manager] change multiplicity of endToEndId and chrgBr,5/20/25,0.43h,0.05h,66.75h,0.92h,,,,,113.88h,0.92h,1.47h,171.83h,,,,,8256.42h,
,PAYME-1222,S3.5 - [FP] Set new AppHdr/BizSvc values for outgoing CBPR+ messages,8/21/25,0.35h,,2185.03h,,,,,,3.37h,0.00h,23.58h,387.25h,,,,,6017.73h,
,PAYME-1156,Duplicate payment is not shown for FPO payments in smart form,6/4/25,0.05h,,236.67h,0.55h,,,,,1.53h,168.85h,0.47h,383.95h,,,,,7893.10h,
,PAYME-1155,[POC] Run baltic payments automated regression tests in jenkins,,0.00h,120.25h,0.00h,,,,,,,0.00h,25.38h,,262.50h,,,,8281.63h,
Test,PAYME-1154,TC3 [PAYME-1079] AC3.1 | AC3.2 | AC3.3: Failed cases,5/8/25,74.38h,0.00h,0.00h,,,,,,143.20h,0.00h,,0.00h,,,,,8541.68h,
Test,PAYME-1153,TC2 [PAYME-1079] AC2: Cancelled payment,5/8/25,218.50h,,,,,,,,,,,,,,,,8540.82h,
Test,PAYME-1152,TC1 [PAYME-1079] AC1: 24-Hour Duplicate Check,5/9/25,236.82h,,,,,,,,,,,,,,,,8522.53h,
,PAYME-1151,[STAR] Postal address changes for Domestic payment - leftovers,5/15/25,0.00h,,163.73h,,,,,,75.48h,0.00h,99.28h,71.08h,,,,,8373.15h,
Production bug,PAYME-1342,[ISO Exchange] Error in processing incoming pacs.010 and camt.057/camt.058,8/26/25,0.08h,,2922.62h,,,,,,0.23h,0.00h,3.90h,21.53h,,,,,5904.65h,
,PAYME-1219,S3.3 - [ISO Exchange] Implement new xsd for CBPR+ camt.106MLP,7/16/25,0.23h,118.58h,1393.45h,,,,,,4.88h,292.60h,119.78h,43.83h,,,,,6884.32h,
,PAYME-1217,S3.4 - [ISO Exchange] Implement new xsd for CBPR+ camt.106,7/16/25,0.13h,121.28h,1391.12h,,,,,,28.13h,317.43h,18.65h,96.70h,,,,,6884.50h,
,PAYME-1206,S3.3 - [ISO Exchange] Implement new xsd for CBPR+ camt.058,9/18/25,0.07h,123.30h,1390.23h,,,,,,657.08h,292.58h,49.07h,1002.00h,,,,,5344.70h,
,PAYME-1210,S3.5 - [ISO Exchange] Implement new xsd for CBPR+ camt.057,9/18/25,0.03h,139.67h,1388.85h,22.58h,,,,,25.17h,311.65h,73.00h,1568.02h,,,,,5345.00h,
,PAYME-1220,[ISO Exchange] Implement new xsd for CBPR+ camt.053,7/16/25,0.03h,140.27h,1388.50h,22.32h,,,,,5.67h,293.32h,18.75h,120.73h,,,,,6884.63h,
,PAYME-1216,S.3.6 - [ISO Exchange] Implement new xsd for CBPR+ pacs.002,9/29/25,1.10h,117.18h,1411.77h,24.72h,,,,,307.48h,312.15h,5.25h,1612.12h,,,,,5083.70h,
,PAYME-1213,S3.5 - [ISO Exchange] Implement new xsd for CBPR+ camt.056,9/25/25,0.02h,118.25h,1412.23h,,,,,,29.50h,290.18h,4.42h,1840.90h,,,,,5180.42h,
,PAYME-1221,S3.4 - [ISO Exchange] Implement new xsd for CBPR+ camt.029,9/29/25,0.08h,118.15h,1412.35h,,,,,,97.60h,269.63h,20.53h,1799.47h,,,,,5086.20h,
,PAYME-1211,S3.5 - [ISO Exchange] Implement new xsd for CBPR+ pacs.004,10/1/25,0.07h,96.63h,1434.10h,,,,,,28.87h,312.17h,3.13h,1965.23h,,,,,5036.02h,
,PAYME-1214,S.3.6 - [ISO Exchange] Implement new xsd for CBPR+ pacs.009ADV,7/17/25,0.07h,19.48h,1511.48h,0.07h,,,,,9.20h,263.92h,9.68h,199.92h,0.00h,,,,6862.63h,
,PAYME-1215,S3.3 - [ISO Exchange] Implement new xsd for CBPR+ pacs.009COV,10/1/25,0.22h,96.53h,1434.28h,,,,,,5.23h,246.88h,45.67h,2012.22h,,,,,5035.43h,
,PAYME-1207,S3.3 - [ISO Exchange] Implement new xsd for CBPR+ pacs.009,9/29/25,0.07h,96.62h,1265.97h,,,,,,71.78h,414.45h,46.50h,1895.58h,,,,,5085.55h,
