Key,Resolution Date,Backlog,To Do,Open,In Progress,AC Test,Code review,Discovery,Delivery,Done,Cancelled
BWEBDEV-7962,,2d 1h 27m,,,4d 16h 22m,0d 4h 16m,,,,16d 3h 28m,
BWEBDEV-7959,,0d 18h 56m,1d 3h 4m,,0d 2h 4m,0d 22h 15m,,,,20d 3h 41m,
BWEBDEV-7955,,0d 0h 9m,0d 0h 0m,,0d 0h 28m,0d 0h 22m,,,,23d 2h 31m,
BWEBDEV-7953,,0d 20h 36m,0d 2h 28m,,0d 0h 28m,22d 4h 25m,,,,,
BWEBDEV-7951,,0d 1h 10m,0d 18h 28m,,0d 1h 3m,5d 1h 50m,,,,17d 6h 1m,
BWEBDEV-7950,,0d 0h 36m,,,1d 21h 4m,11d 0h 0m,,,,10d 7h 49m,
BWEBDEV-7949,,7d 4h 30m,,,0d 20h 6m,13d 23h 4m,,,,1d 6h 55m,
BWEBDEV-7948,,7d 5h 34m,1d 18h 45m,,1d 2h 40m,13d 4h 19m,,,,,
BWEBDEV-7947,,0d 15h 34m,0d 5h 13m,,0d 19h 37m,4d 22h 40m,,,,17d 8h 38m,
BWEBDEV-7945,,1d 19h 10m,0d 22h 10m,,0d 0h 19m,0d 0h 19m,,,,21d 7h 58m,
BWEBDEV-7944,,0d 19h 53m,0d 1h 40m,,0d 0h 33m,0d 1h 36m,,,,23d 2h 22m,
BWEBDEV-7943,,0d 1h 26m,0d 0h 25m,,0d 17h 26m,0d 0h 34m,,,,23d 6h 16m,
BWEBDEV-7941,,14d 20h 4m,0d 3h 46m,,1d 18h 58m,5d 23h 37m,,,,1d 7h 55m,
BWEBDEV-7939,,0d 0h 28m,0d 0h 0m,,0d 19h 22m,13d 2h 45m,,,,10d 4h 35m,
BWEBDEV-7938,,2d 17h 58m,0d 4h 52m,,0d 21h 48m,0d 1h 45m,,,,20d 4h 55m,
BWEBDEV-7937,,0d 20h 22m,1d 4h 7m,,9d 1h 55m,2d 16h 54m,,,,10d 8h 7m,
BWEBDEV-7935,,0d 1h 11m,0d 0h 15m,,0d 0h 13m,0d 1h 16m,,,,24d 1h 4m,
BWEBDEV-7934,,7d 21h 43m,,,1d 3h 41m,13d 20h 34m,,,,1d 7h 6m,
BWEBDEV-7933,,0d 2h 1m,0d 15h 56m,,0d 5h 19m,23d 5h 52m,,,,,
BWEBDEV-7932,,0d 0h 48m,1d 21h 53m,,0d 4h 25m,4d 19h 12m,,,,17d 8h 8m,
BWEBDEV-7931,,0d 3h 58m,0d 0h 0m,,0d 0h 52m,3d 17h 52m,,,,20d 8h 15m,
BWEBDEV-7930,,0d 21h 3m,0d 0h 10m,,0d 0h 54m,0d 1h 4m,,,,23d 7h 52m,
BWEBDEV-7929,,0d 23h 37m,0d 0h 27m,,0d 1h 49m,0d 21h 1m,,,,22d 8h 10m,
BWEBDEV-7928,,0d 1h 40m,2d 2h 7m,,0d 23h 28m,3d 19h 17m,,,,17d 8h 45m,
BWEBDEV-7927,,0d 2h 13m,0d 20h 49m,,0d 7h 4m,6d 0h 37m,,,,17d 1h 10m,
BWEBDEV-7926,,15d 1h 36m,0d 3h 47m,,1d 18h 55m,7d 7h 37m,,,,,
BWEBDEV-7925,,0d 4h 7m,0d 0h 0m,,0d 0h 7m,0d 20h 25m,,,,23d 7h 21m,
BWEBDEV-7924,,0d 5h 16m,,,0d 0h 1m,7d 0h 45m,,,,17d 2h 25m,
BWEBDEV-7923,,15d 0h 31m,0d 5h 28m,,7d 18h 34m,,,,,1d 7h 56m,
BWEBDEV-7922,,0d 0h 43m,0d 0h 0m,,0d 0h 4m,24d 7h 52m,,,,,
BWEBDEV-7921,,0d 4h 45m,0d 0h 0m,,0d 16h 46m,0d 3h 52m,,,,23d 7h 21m,
BWEBDEV-7920,,1d 1h 51m,0d 0h 0m,,0d 0h 0m,0d 0h 52m,,,,23d 6h 7m,
BWEBDEV-7919,,10d 1h 46m,0d 18h 46m,,2d 3h 40m,3d 20h 15m,,,,9d 7h 28m,
BWEBDEV-7918,,4d 1h 9m,,,0d 22h 25m,0d 3h 42m,,,,21d 1h 33m,
BWEBDEV-7917,,3d 0h 34m,0d 0h 27m,,0d 0h 52m,1d 0h 37m,,,,22d 3h 1m,
BWEBDEV-7916,,3d 1h 22m,0d 0h 46m,,0d 1h 21m,22d 21h 43m,,,,0d 4h 34m,
BWEBDEV-7915,,4d 5h 2m,,,9d 0h 10m,2d 23h 30m,,,,10d 1h 19m,
BWEBDEV-7914,,3d 1h 10m,,,0d 1h 0m,0d 19h 51m,,,,22d 8h 10m,
BWEBDEV-7913,,4d 0h 40m,,,0d 1h 13m,0d 1h 33m,,,,22d 3h 1m,
BWEBDEV-7912,,3d 2h 4m,0d 0h 19m,,0d 1h 46m,0d 23h 22m,,,,22d 3h 1m,
BWEBDEV-7911,,3d 1h 35m,0d 1h 23m,,0d 22h 43m,0d 1h 52m,,,,22d 3h 1m,
BWEBDEV-7910,,4d 7h 40m,,,0d 17h 22m,5d 2h 15m,,,,16d 3h 28m,
BWEBDEV-7909,,6d 19h 3m,5d 21h 56m,,4d 3h 55m,10d 2h 43m,,,,,
BWEBDEV-7908,,6d 19h 10m,10d 21h 13m,,0d 5h 4m,9d 2h 16m,,,,,
BWEBDEV-7907,,17d 16h 16m,0d 5h 13m,,0d 19h 10m,0d 22h 38m,,,,7d 9h 31m,
BWEBDEV-7906,,2d 17h 13m,0d 0h 25m,,0d 21h 1m,10d 4h 30m,,,,13d 5h 58m,
BWEBDEV-7905,,2d 16h 49m,,,,0d 0h 10m,,,,24d 8h 46m,
BWEBDEV-7904,,12d 18h 4m,,,1d 7h 49m,2d 22h 34m,,,,10d 1h 19m,
BWEBDEV-7903,,3d 0h 46m,3d 19h 45m,,0d 3h 1m,9d 22h 35m,,,,10d 4h 52m,
BWEBDEV-7902,,2d 19h 4m,0d 0h 7m,,0d 1h 16m,24d 6h 34m,,,,,
BWEBDEV-7901,,3d 1h 5m,0d 19h 37m,,0d 0h 12m,0d 1h 6m,,,,23d 5h 23m,
BWEBDEV-7900,,3d 1h 13m,13d 18h 4m,,0d 3h 13m,8d 20h 26m,,,,1d 8h 34m,
BWEBDEV-7899,,2d 19h 1m,1d 1h 1m,,,1d 1h 37m,,,,22d 5h 53m,
BWEBDEV-7898,,21d 1h 28m,,,3d 23h 27m,2d 3h 19m,,,,,
BWEBDEV-7895,,0d 2h 40m,,,2d 20h 10m,0d 0h 25m,,,,24d 8h 13m,
BWEBDEV-7894,,0d 3h 13m,0d 0h 0m,,4d 0h 17m,0d 19h 58m,,,,22d 8h 8m,
BWEBDEV-7892,,0d 3h 58m,2d 22h 10m,,0d 0h 22m,0d 22h 11m,,,,23d 7h 38m,
BWEBDEV-7891,,0d 20h 22m,0d 0h 9m,,3d 21h 10m,23d 7h 36m,,,,,
BWEBDEV-7890,,3d 23h 20m,0d 0h 0m,,0d 16h 15m,0d 0h 46m,,,,23d 9h 0m,
BWEBDEV-7888,,0d 0h 13m,0d 18h 11m,,0d 2h 1m,27d 5h 32m,,,,,
BWEBDEV-7887,,12d 0h 40m,0d 21h 16m,,1d 22h 19m,10d 3h 49m,,,,3d 2h 16m,
BWEBDEV-7886,,0d 21h 31m,0d 0h 22m,,0d 0h 7m,0d 0h 19m,,,,27d 4h 10m,
BWEBDEV-7885,,0d 17h 7m,0d 4h 57m,,0d 0h 37m,21d 1h 56m,,,,6d 2h 5m,
BWEBDEV-7884,,0d 0h 54m,0d 0h 0m,,0d 0h 7m,5d 16h 16m,,,,22d 9h 32m,
BWEBDEV-7883,,0d 0h 49m,0d 0h 7m,,5d 18h 34m,22d 7h 31m,,,,,
BWEBDEV-7882,,0d 3h 4m,0d 0h 0m,,0d 0h 49m,5d 15h 22m,,,,22d 9h 34m,
BWEBDEV-7881,,0d 19h 7m,3d 6h 46m,,0d 1h 23m,2d 23h 19m,,,,21d 2h 30m,
BWEBDEV-7879,,0d 4h 25m,0d 19h 37m,,4d 1h 17m,0d 3h 15m,,,,23d 1h 32m,
BWEBDEV-7878,,0d 3h 12m,0d 0h 3m,,0d 0h 0m,0d 2h 28m,,,,28d 1h 43m,
BWEBDEV-7877,,0d 2h 53m,0d 0h 0m,,0d 0h 16m,0d 1h 13m,,,,28d 3h 4m,
BWEBDEV-7875,,0d 5h 9m,0d 0h 1m,,3d 18h 55m,0d 7h 52m,,,,24d 1h 19m,
BWEBDEV-7874,,0d 9h 24m,0d 2h 1m,,4d 4h 37m,3d 19h 9m,,,,20d 8h 6m,
BWEBDEV-7873,,7d 16h 4m,0d 0h 22m,,0d 5h 30m,4d 18h 37m,,,,16d 9h 3m,
BWEBDEV-7872,,0d 18h 18m,0d 0h 25m,,,18d 0h 55m,,,,10d 6h 7m,
BWEBDEV-7871,,0d 16h 48m,0d 0h 0m,,0d 0h 28m,14d 22h 53m,,,,13d 9h 43m,
BWEBDEV-7870,,0d 16h 52m,0d 0h 0m,,0d 0h 42m,0d 4h 19m,,,,28d 4h 19m,
BWEBDEV-7869,,0d 19h 10m,0d 23h 31m,,0d 0h 16m,2d 23h 2m,,,,24d 8h 31m,
BWEBDEV-7868,,0d 19h 58m,0d 21h 41m,,0d 1h 10m,0d 2h 8m,,,,27d 5h 34m,
BWEBDEV-7867,,0d 20h 48m,0d 0h 15m,,0d 0h 19m,7d 3h 10m,,,,21d 2h 4m,
BWEBDEV-7866,,0d 19h 19m,1d 0h 55m,,5d 1h 31m,12d 1h 40m,,,,10d 3h 13m,
BWEBDEV-7865,,0d 19h 23m,0d 0h 49m,,0d 1h 13m,3d 19h 58m,,,,24d 9h 19m,
BWEBDEV-7864,,0d 19h 16m,0d 23h 58m,,0d 0h 42m,4d 22h 19m,,,,22d 8h 30m,
BWEBDEV-7863,,0d 0h 22m,0d 21h 16m,,0d 2h 40m,13d 19h 41m,,,,14d 6h 45m,
BWEBDEV-7862,,0d 22h 23m,0d 0h 0m,,0d 1h 22m,3d 23h 13m,,,,24d 3h 58m,
BWEBDEV-7861,,0d 0h 31m,0d 21h 38m,,0d 0h 4m,0d 23h 41m,,,,27d 5h 6m,
BWEBDEV-7860,,7d 17h 40m,4d 7h 57m,,0d 18h 40m,9d 5h 58m,,,,7d 0h 56m,
BWEBDEV-7859,,14d 21h 40m,1d 3h 4m,,6d 18h 4m,6d 8h 25m,,,,,
BWEBDEV-7858,,14d 0h 45m,0d 18h 40m,,1d 4h 55m,13d 2h 55m,,,,,
BWEBDEV-7857,,14d 21h 41m,0d 22h 19m,,0d 23h 26m,12d 7h 48m,,,,,
BWEBDEV-7856,,14d 0h 46m,0d 23h 13m,,7d 18h 52m,6d 8h 25m,,,,,
BWEBDEV-7855,,0d 19h 55m,0d 0h 0m,,0d 2h 51m,0d 1h 46m,,,,28d 3h 4m,
BWEBDEV-7854,,13d 2h 1m,0d 21h 6m,,1d 22h 2m,5d 0h 22m,,,,8d 6h 9m,
BWEBDEV-7853,,3d 23h 28m,14d 21h 25m,,0d 22h 30m,8d 0h 46m,,,,1d 7h 28m,
BWEBDEV-7852,,0d 23h 28m,3d 21h 54m,,0d 1h 25m,24d 5h 1m,,,,,
BWEBDEV-7850,,1d 20h 4m,0d 3h 12m,,0d 0h 3m,0d 0h 22m,,,,27d 4h 37m,
BWEBDEV-7849,,5d 23h 16m,,,0d 1h 38m,0d 19h 48m,,,,22d 8h 13m,
BWEBDEV-7848,,1d 19h 12m,3d 1h 49m,,0d 4h 40m,3d 18h 37m,,,,20d 8h 46m,
BWEBDEV-7847,,0d 21h 45m,4d 5h 10m,,0d 18h 28m,23d 7h 46m,,,,,
BWEBDEV-7843,,1d 0h 43m,0d 0h 22m,,0d 0h 43m,0d 0h 34m,,,,28d 3h 52m,
BWEBDEV-7842,,0d 23h 43m,0d 0h 28m,,0d 1h 52m,6d 19h 26m,,,,21d 8h 46m,
BWEBDEV-7841,,1d 3h 30m,5d 0h 1m,,0d 0h 43m,23d 2h 7m,,,,,
BWEBDEV-7839,,2d 3h 34m,0d 2h 34m,,2d 16h 16m,2d 23h 35m,,,,21d 9h 37m,
BWEBDEV-7838,,0d 0h 16m,0d 0h 27m,,,29d 7h 19m,,,,,
BWEBDEV-7837,,0d 0h 24m,1d 2h 28m,,3d 23h 16m,1d 23h 15m,,,,22d 7h 22m,
BWEBDEV-7836,,0d 12h 4m,0d 0h 58m,,0d 4h 46m,23d 1h 43m,,,,6d 2h 4m,
BWEBDEV-7835,,0d 15h 37m,0d 2h 16m,,0d 21h 16m,1d 0h 0m,,,,27d 8h 2m,
BWEBDEV-7834,,0d 16h 16m,2d 3h 10m,,0d 1h 51m,0d 1h 4m,,,,27d 3h 28m,
BWEBDEV-7833,,0d 16h 30m,2d 2h 57m,,0d 1h 1m,0d 5h 7m,,,,27d 0h 28m,
BWEBDEV-7832,,0d 16h 49m,0d 0h 52m,,,0d 0h 49m,,,,29d 7h 52m,
BWEBDEV-7831,,0d 16h 51m,2d 3h 51m,,2d 2h 28m,5d 0h 40m,,,,20d 2h 34m,
BWEBDEV-7830,,13d 22h 40m,0d 0h 0m,,5d 15h 26m,10d 12h 30m,,,,,
BWEBDEV-7829,,0d 18h 1m,0d 0h 0m,,0d 1h 45m,5d 1h 50m,,,,24d 5h 25m,
BWEBDEV-7826,,2d 20h 7m,7d 1h 52m,,0d 1h 55m,2d 20h 4m,,,,17d 7h 43m,
BWEBDEV-7825,,0d 0h 31m,0d 0h 13m,,,30d 3h 23m,,,,,
BWEBDEV-7824,,2d 18h 58m,0d 1h 1m,,0d 5h 54m,2d 17h 9m,,,,24d 9h 17m,
BWEBDEV-7823,,0d 0h 10m,0d 1h 16m,,0d 19h 48m,19d 1h 28m,,,,10d 5h 40m,
BWEBDEV-7822,,0d 1h 3m,7d 20h 4m,,14d 2h 36m,8d 4h 40m,,,,,
BWEBDEV-7821,,0d 18h 52m,0d 6h 13m,,0d 0h 57m,6d 0h 22m,,,,23d 2h 1m,
BWEBDEV-7820,,0d 19h 38m,,,0d 2h 46m,0d 1h 46m,,,,29d 4h 17m,
BWEBDEV-7819,,0d 0h 31m,1d 20h 31m,,4d 9h 52m,22d 14h 46m,,,,1d 7h 33m,
BWEBDEV-7818,,0d 0h 24m,0d 0h 1m,,6d 1h 52m,0d 1h 21m,,,,24d 1h 58m,
BWEBDEV-7815,,12d 22h 46m,0d 5h 58m,,0d 16h 52m,6d 4h 34m,,,,10d 4h 15m,
BWEBDEV-7814,,0d 2h 0m,0d 0h 22m,,0d 0h 19m,0d 22h 43m,,,,29d 5h 16m,
BWEBDEV-7812,,0d 23h 13m,0d 0h 0m,,0d 1h 16m,0d 0h 21m,,,,29d 6h 16m,
BWEBDEV-7811,,0d 0h 13m,0d 0h 21m,,1d 3h 4m,29d 4h 52m,,,,,
BWEBDEV-7810,,0d 0h 18m,2d 0h 31m,,0d 0h 58m,28d 6h 47m,,,,,
BWEBDEV-7808,,8d 5h 52m,1d 2h 45m,,0d 18h 53m,5d 21h 43m,,,,14d 8h 7m,
BWEBDEV-7807,,0d 14h 34m,0d 3h 32m,,0d 1h 34m,1d 23h 55m,,,,28d 4h 37m,
BWEBDEV-7805,,0d 0h 16m,0d 17h 43m,,0d 0h 31m,5d 23h 18m,,,,24d 7h 37m,
BWEBDEV-7804,,0d 0h 19m,1d 16h 47m,,0d 0h 58m,0d 23h 26m,,,,28d 7h 58m,
BWEBDEV-7803,,0d 0h 16m,0d 16h 55m,,0d 5h 13m,0d 0h 46m,,,,30d 2h 25m,
BWEBDEV-7802,,0d 0h 22m,0d 21h 25m,,0d 1h 4m,0d 19h 0m,,,,29d 8h 31m,
BWEBDEV-7801,,7d 20h 19m,1d 1h 52m,,0d 0h 9m,1d 19h 31m,,,,20d 8h 46m,
BWEBDEV-7800,,0d 0h 57m,0d 19h 3m,,0d 1h 28m,30d 5h 12m,,,,,
BWEBDEV-7799,,0d 0h 0m,0d 0h 1m,,0d 0h 1m,3d 22h 42m,,,,27d 4h 8m,
BWEBDEV-7798,,0d 0h 16m,0d 0h 33m,,2d 22h 40m,28d 3h 43m,,,,,
BWEBDEV-7797,,0d 1h 42m,0d 0h 3m,,2d 12h 36m,28d 13h 34m,,,,,
BWEBDEV-7796,,3d 23h 47m,6d 1h 55m,,0d 22h 40m,0d 1h 10m,,,,20d 2h 36m,
BWEBDEV-7795,,0d 0h 31m,0d 1h 18m,,0d 0h 10m,1d 17h 40m,,,,29d 8h 52m,
BWEBDEV-7794,,0d 0h 36m,0d 1h 36m,,0d 0h 7m,9d 0h 16m,,,,22d 2h 1m,
BWEBDEV-7793,,0d 0h 40m,0d 20h 52m,,0d 2h 31m,13d 20h 31m,,,,16d 8h 4m,
BWEBDEV-7792,,0d 19h 4m,2d 6h 8m,,0d 1h 7m,0d 1h 34m,,,,28d 0h 47m,
BWEBDEV-7791,,9d 1h 13m,0d 1h 1m,,0d 21h 56m,6d 22h 46m,,,,14d 5h 51m,
BWEBDEV-7790,,0d 19h 38m,0d 0h 0m,,0d 0h 54m,3d 5h 34m,,,,27d 3h 1m,
BWEBDEV-7789,,10d 3h 26m,0d 0h 0m,,0d 18h 22m,0d 3h 51m,,,,20d 3h 41m,
BWEBDEV-7788,,0d 20h 26m,5d 20h 16m,,1d 4h 43m,0d 5h 22m,,,,23d 2h 43m,
BWEBDEV-7786,,0d 0h 25m,0d 21h 8m,,0d 1h 49m,27d 2h 37m,,,,3d 4h 28m,
BWEBDEV-7785,,0d 0h 40m,0d 0h 24m,,0d 1h 36m,0d 1h 34m,,,,31d 2h 28m,
BWEBDEV-7784,,0d 1h 51m,2d 21h 43m,,0d 0h 43m,,,,,28d 7h 0m,
BWEBDEV-7783,,0d 0h 34m,0d 4h 22m,,0d 19h 10m,2d 4h 19m,,,,28d 3h 13m,
BWEBDEV-7782,,0d 0h 10m,1d 4h 10m,,0d 0h 3m,6d 2h 49m,,,,24d 1h 19m,
BWEBDEV-7781,,0d 6h 1m,0d 0h 52m,,6d 17h 7m,0d 0h 31m,,,,24d 8h 6m,
BWEBDEV-7780,,2d 13h 1m,0d 3h 31m,,0d 2h 22m,1d 3h 55m,,,,30d 0h 6m,
BWEBDEV-7778,,2d 13h 31m,0d 4h 50m,,9d 1h 40m,7d 2h 58m,,,,15d 1h 7m,
BWEBDEV-7776,,2d 16h 27m,1d 2h 18m,,3d 5h 24m,20d 1h 10m,,,,7d 1h 0m,
BWEBDEV-7774,,0d 0h 52m,0d 0h 7m,,16d 17h 1m,7d 0h 7m,,,,10d 8h 31m,
BWEBDEV-7773,,2d 21h 52m,0d 20h 43m,,2d 2h 7m,0d 21h 25m,,,,27d 9h 7m,
BWEBDEV-7771,,0d 2h 7m,0d 0h 7m,,0d 0h 25m,2d 16h 50m,,,,31d 8h 37m,
BWEBDEV-7770,,0d 0h 10m,2d 17h 46m,,0d 5h 2m,22d 17h 40m,,,,8d 12h 7m,
BWEBDEV-7768,,0d 0h 21m,0d 0h 0m,,0d 2h 36m,0d 0h 28m,,,,34d 2h 40m,
BWEBDEV-7767,,24d 5h 52m,3d 21h 7m,,0d 0h 55m,2d 19h 40m,,,,3d 7h 0m,
BWEBDEV-7766,,0d 2h 51m,2d 20h 13m,,6d 23h 41m,9d 5h 20m,,,,15d 2h 38m,
BWEBDEV-7765,,2d 20h 50m,0d 3h 13m,,,0d 0h 18m,,,,31d 6h 25m,
BWEBDEV-7764,,0d 0h 13m,0d 0h 0m,,0d 0h 1m,34d 6h 43m,,,,,
BWEBDEV-7762,,0d 15h 49m,10d 2h 22m,,0d 4h 19m,24d 1h 52m,,,,,
BWEBDEV-7761,,0d 0h 37m,0d 17h 15m,,0d 3h 31m,,,,,34d 4h 28m,
BWEBDEV-7759,,0d 0h 9m,0d 19h 31m,,3d 2h 19m,0d 22h 48m,,,,30d 6h 32m,
BWEBDEV-7758,,0d 0h 13m,0d 0h 0m,,0d 0h 49m,1d 0h 28m,,,,34d 2h 21m,
BWEBDEV-7757,,0d 22h 13m,0d 1h 57m,,0d 0h 40m,5d 2h 7m,,,,29d 0h 58m,
BWEBDEV-7755,,0d 0h 24m,0d 0h 0m,,0d 0h 57m,0d 1h 33m,,,,35d 1h 25m,
BWEBDEV-7754,,0d 0h 19m,0d 0h 15m,,0d 0h 31m,0d 0h 28m,,,,35d 3h 0m,
BWEBDEV-7753,,0d 2h 55m,11d 19h 18m,,1d 15h 22m,21d 15h 31m,,,,,
BWEBDEV-7752,,0d 0h 18m,0d 0h 4m,,0d 0h 48m,0d 1h 10m,,,,35d 3h 13m,
BWEBDEV-7751,,0d 0h 25m,0d 0h 54m,,0d 2h 30m,17d 16h 37m,,,,17d 9h 16m,
BWEBDEV-7750,,0d 0h 12m,0d 3h 55m,,0d 21h 43m,2d 20h 10m,,,,31d 8h 32m,
BWEBDEV-7749,,0d 1h 18m,0d 1h 10m,,0d 5h 46m,3d 21h 32m,,,,31d 1h 37m,
BWEBDEV-7748,,0d 0h 24m,0d 0h 4m,,0d 4h 12m,35d 2h 51m,,,,,
BWEBDEV-7747,,0d 4h 9m,1d 0h 10m,,2d 19h 13m,,,,,31d 8h 4m,
BWEBDEV-7745,,0d 15h 22m,0d 0h 0m,,0d 0h 22m,0d 1h 49m,,,,35d 7h 31m,
BWEBDEV-7743,,0d 20h 52m,0d 4h 9m,,0d 16h 46m,11d 2h 31m,,,,23d 6h 40m,
BWEBDEV-7742,,0d 0h 13m,0d 0h 0m,,0d 18h 25m,25d 0h 51m,,,,10d 7h 46m,
BWEBDEV-7741,,0d 1h 11m,0d 0h 0m,,0d 22h 25m,4d 22h 40m,,,,30d 5h 8m,
BWEBDEV-7740,,0d 0h 1m,0d 0h 0m,,0d 2h 2m,0d 0h 37m,,,,36d 1h 52m,
BWEBDEV-7739,,0d 19h 40m,0d 0h 6m,,7d 7h 7m,7d 17h 52m,,,,20d 8h 13m,
BWEBDEV-7738,,0d 0h 46m,0d 0h 9m,,0d 0h 36m,1d 19h 13m,,,,34d 8h 32m,
BWEBDEV-7737,,0d 0h 31m,,,0d 21h 38m,6d 22h 25m,,,,28d 8h 49m,
BWEBDEV-7936,,12d 3h 56m,0d 0h 1m,,0d 0h 28m,0d 17h 49m,,,,23d 8h 0m,
BWEBDEV-7736,,0d 3h 16m,0d 1h 40m,,4d 18h 31m,1d 23h 23m,,,,29d 8h 25m,
BWEBDEV-7735,,0d 3h 7m,,,4d 20h 22m,1d 23h 16m,,,,29d 8h 31m,
BWEBDEV-7734,,0d 3h 19m,0d 1h 33m,,4d 18h 40m,1d 23h 15m,,,,29d 8h 30m,
BWEBDEV-7733,,0d 3h 19m,0d 1h 8m,,4d 19h 4m,21d 23h 53m,,,,9d 7h 52m,
BWEBDEV-7732,,0d 3h 23m,1d 22h 38m,,2d 21h 43m,23d 2h 52m,,,,8d 4h 45m,
BWEBDEV-7731,,0d 0h 16m,0d 0h 9m,,0d 0h 15m,13d 3h 58m,,,,23d 2h 45m,
BWEBDEV-7730,,0d 3h 28m,1d 22h 37m,,2d 21h 34m,23d 3h 15m,,,,8d 4h 31m,
BWEBDEV-7729,,1d 5h 46m,0d 21h 28m,,2d 20h 10m,0d 0h 46m,,,,31d 8h 10m,
BWEBDEV-7723,,0d 15h 26m,0d 0h 58m,,0d 0h 46m,5d 0h 31m,,,,31d 6h 37m,
BWEBDEV-7715,,0d 16h 52m,,,0d 3h 46m,36d 5h 1m,,,,,
BWEBDEV-7714,,0d 0h 1m,0d 20h 55m,,0d 22h 52m,10d 23h 52m,,,,24d 6h 16m,
BWEBDEV-7713,,0d 19h 36m,0d 0h 0m,,0d 1h 34m,0d 4h 37m,,,,36d 0h 28m,
BWEBDEV-7711,,1d 1h 7m,0d 0h 0m,,1d 0h 48m,0d 20h 53m,,,,34d 3h 52m,
BWEBDEV-7710,,1d 20h 37m,0d 0h 40m,,0d 3h 1m,0d 17h 25m,,,,34d 9h 2m,
BWEBDEV-7709,,0d 17h 3m,0d 0h 0m,,3d 3h 52m,6d 3h 0m,,,,27d 3h 1m,
BWEBDEV-7708,,1d 1h 40m,0d 0h 4m,,0d 17h 7m,0d 22h 45m,,,,34d 9h 46m,
BWEBDEV-7707,,1d 0h 43m,0d 0h 0m,,0d 1h 7m,0d 0h 34m,,,,36d 1h 1m,
BWEBDEV-7706,,0d 0h 9m,0d 23h 15m,,1d 0h 10m,21d 0h 6m,,,,14d 3h 58m,
BWEBDEV-7705,,0d 1h 25m,0d 0h 4m,,0d 0h 16m,29d 19h 25m,,,,7d 6h 46m,
BWEBDEV-7704,,0d 0h 4m,,,0d 0h 7m,14d 1h 0m,,,,23d 2h 45m,
BWEBDEV-7703,,0d 0h 51m,0d 0h 7m,,0d 18h 58m,0d 1h 37m,,,,36d 7h 22m,
BWEBDEV-7702,,1d 3h 23m,0d 0h 0m,,0d 16h 1m,5d 0h 4m,,,,30d 9h 43m,
BWEBDEV-7701,,0d 1h 10m,,,0d 0h 52m,0d 21h 58m,,,,36d 5h 34m,
BWEBDEV-7700,,1d 4h 15m,0d 0h 3m,,4d 12h 9m,15d 4h 37m,,,,16d 9h 4m,
BWEBDEV-7698,,0d 23h 22m,0d 0h 0m,,1d 3h 8m,0d 0h 24m,,,,35d 4h 34m,
BWEBDEV-7697,,0d 0h 0m,2d 0h 58m,,0d 3h 1m,0d 0h 10m,,,,35d 3h 34m,
BWEBDEV-7695,,0d 0h 27m,2d 3h 51m,,0d 0h 42m,0d 18h 43m,,,,34d 8h 22m,
BWEBDEV-7691,,6d 1h 13m,,,8d 5h 39m,23d 2h 57m,,,,,
BWEBDEV-7690,,0d 14h 1m,1d 7h 25m,,0d 0h 6m,6d 21h 4m,,,,29d 3h 21m,
BWEBDEV-7689,,0d 17h 51m,0d 1h 10m,,0d 0h 9m,0d 3h 45m,,,,37d 1h 55m,
BWEBDEV-7688,,0d 18h 34m,0d 0h 1m,,0d 0h 0m,0d 1h 10m,,,,37d 6h 28m,
BWEBDEV-7687,,0d 5h 1m,0d 11h 46m,,0d 0h 37m,7d 3h 50m,,,,30d 5h 0m,
BWEBDEV-7686,,0d 0h 18m,,,0d 0h 16m,3d 21h 4m,,,,34d 5h 1m,
BWEBDEV-7685,,0d 19h 16m,1d 1h 43m,,7d 4h 31m,12d 17h 55m,,,,16d 7h 31m,
BWEBDEV-7683,,0d 0h 40m,0d 0h 54m,,0d 18h 40m,1d 2h 16m,,,,36d 4h 49m,
BWEBDEV-7681,,0d 0h 16m,1d 0h 46m,,0d 0h 54m,8d 23h 34m,,,,28d 2h 25m,
BWEBDEV-7679,,0d 1h 43m,0d 18h 30m,,0d 1h 8m,13d 1h 19m,,,,24d 6h 12m,
BWEBDEV-7678,,0d 1h 49m,0d 1h 38m,,2d 22h 10m,,,,,35d 3h 21m,
BWEBDEV-7677,,1d 20h 12m,0d 0h 15m,,0d 0h 34m,0d 0h 34m,,,,36d 7h 22m,
BWEBDEV-7676,,0d 0h 33m,0d 2h 7m,,0d 1h 10m,13d 19h 19m,,,,24d 6h 10m,
BWEBDEV-7675,,0d 0h 1m,0d 2h 21m,,0d 0h 25m,13d 20h 33m,,,,24d 6h 10m,
BWEBDEV-7674,,0d 0h 9m,0d 0h 43m,,0d 1h 37m,13d 21h 1m,,,,24d 6h 10m,
BWEBDEV-7673,,0d 22h 8m,1d 3h 21m,,,11d 22h 10m,,,,24d 6h 12m,
BWEBDEV-7670,,2d 3h 46m,0d 0h 0m,,0d 1h 38m,0d 18h 36m,,,,35d 8h 23m,
BWEBDEV-7669,,0d 0h 31m,,,0d 0h 1m,0d 0h 16m,,,,38d 7h 47m,
BWEBDEV-7668,,0d 2h 27m,0d 5h 9m,,0d 0h 3m,0d 0h 18m,,,,38d 0h 53m,
BWEBDEV-7667,,3d 7h 46m,0d 21h 25m,,12d 19h 55m,19d 23h 53m,,,,1d 7h 55m,
